method: main.MainUI.createScriptInfoCom:251780582
0(251780582) -> 0(1479003639) 
this(251780582) -> this(1479003639) 
parent(251780582) -> parent(1479003639) 
itemtname(251780582) -> itemtname(1479003639) 
0(251780582) -> l6(1479003639) 
0(251780582) -> com(1479003639) 
0(251780582) -> script(1479003639) 
0(251780582) -> scriptname(1479003639) 
0(251780582) -> scrDisplayCom(1479003639) 
0(251780582) -> $r0(1479003639) 
0(251780582) -> $r1(1479003639) 
0(251780582) -> $r2(1479003639) 
0(251780582) -> $r3(1479003639) 
0(251780582) -> $r4(1479003639) 
0(251780582) -> $r5(1479003639) 
0(251780582) -> $r6(1479003639) 
0(251780582) -> $r7(1479003639) 
0(1479003639) -> 0(490946648) 
this(1479003639) -> this(490946648) 
parent(1479003639) -> parent(490946648) 
itemtname(1479003639) -> itemtname(490946648) 
l6(1479003639) -> l6(490946648) 
com(1479003639) -> com(490946648) 
script(1479003639) -> script(490946648) 
scriptname(1479003639) -> scriptname(490946648) 
scrDisplayCom(1479003639) -> scrDisplayCom(490946648) 
$r0(1479003639) -> $r0(490946648) 
$r1(1479003639) -> $r1(490946648) 
$r2(1479003639) -> $r2(490946648) 
$r3(1479003639) -> $r3(490946648) 
$r4(1479003639) -> $r4(490946648) 
$r5(1479003639) -> $r5(490946648) 
$r6(1479003639) -> $r6(490946648) 
$r7(1479003639) -> $r7(490946648) 
0(490946648) -> 0(708141162) 
this(490946648) -> this(708141162) 
parent(490946648) -> parent(708141162) 
itemtname(490946648) -> itemtname(708141162) 
l6(490946648) -> l6(708141162) 
com(490946648) -> com(708141162) 
script(490946648) -> script(708141162) 
scriptname(490946648) -> scriptname(708141162) 
scrDisplayCom(490946648) -> scrDisplayCom(708141162) 
$r0(490946648) -> $r0(708141162) 
$r1(490946648) -> $r1(708141162) 
$r2(490946648) -> $r2(708141162) 
$r3(490946648) -> $r3(708141162) 
$r4(490946648) -> $r4(708141162) 
$r5(490946648) -> $r5(708141162) 
$r6(490946648) -> $r6(708141162) 
$r7(490946648) -> $r7(708141162) 
0(708141162) -> 0(306256004) 
this(708141162) -> this(306256004) 
parent(708141162) -> parent(306256004) 
itemtname(708141162) -> itemtname(306256004) 
l6(708141162) -> l6(306256004) 
com(708141162) -> com(306256004) 
script(708141162) -> script(306256004) 
scriptname(708141162) -> scriptname(306256004) 
scrDisplayCom(708141162) -> scrDisplayCom(306256004) 
$r0(708141162) -> $r0(306256004) 
$r1(708141162) -> $r1(306256004) 
$r2(708141162) -> $r2(306256004) 
$r3(708141162) -> $r3(306256004) 
$r4(708141162) -> $r4(306256004) 
$r5(708141162) -> $r5(306256004) 
$r6(708141162) -> $r6(306256004) 
$r7(708141162) -> $r7(306256004) 
0(306256004) -> 0(-306256004) 
this(306256004) -> this(-306256004) 
parent(306256004) -> parent(-306256004) 
itemtname(306256004) -> itemtname(-306256004) 
l6(306256004) -> l6(-306256004) 
com(306256004) -> com(-306256004) 
script(306256004) -> script(-306256004) 
scriptname(306256004) -> scriptname(-306256004) 
scrDisplayCom(306256004) -> scrDisplayCom(-306256004) 
$r1(306256004) -> $r1(-306256004) 
$r2(306256004) -> $r2(-306256004) 
$r3(306256004) -> $r3(-306256004) 
$r4(306256004) -> $r4(-306256004) 
$r5(306256004) -> $r5(-306256004) 
$r6(306256004) -> $r6(-306256004) 
$r7(306256004) -> $r7(-306256004) 
0(-306256004) -> 0(798272657) 
this(-306256004) -> this(798272657) 
parent(-306256004) -> parent(798272657) 
itemtname(-306256004) -> itemtname(798272657) 
l6(-306256004) -> l6(798272657) 
com(-306256004) -> com(798272657) 
script(-306256004) -> script(798272657) 
scriptname(-306256004) -> scriptname(798272657) 
scrDisplayCom(-306256004) -> scrDisplayCom(798272657) 
$r0(-306256004) -> $r0(798272657) 
$r1(-306256004) -> $r1(798272657) 
$r2(-306256004) -> $r2(798272657) 
$r3(-306256004) -> $r3(798272657) 
$r4(-306256004) -> $r4(798272657) 
$r5(-306256004) -> $r5(798272657) 
$r6(-306256004) -> $r6(798272657) 
$r7(-306256004) -> $r7(798272657) 
0(798272657) -> 0(1367836300) 
this(798272657) -> this(1367836300) 
parent(798272657) -> parent(1367836300) 
itemtname(798272657) -> itemtname(1367836300) 
com(798272657) -> com(1367836300) 
script(798272657) -> script(1367836300) 
scriptname(798272657) -> scriptname(1367836300) 
scrDisplayCom(798272657) -> scrDisplayCom(1367836300) 
$r0(798272657) -> l6(1367836300) 
$r0(798272657) -> $r0(1367836300) 
$r1(798272657) -> $r1(1367836300) 
$r2(798272657) -> $r2(1367836300) 
$r3(798272657) -> $r3(1367836300) 
$r4(798272657) -> $r4(1367836300) 
$r5(798272657) -> $r5(1367836300) 
$r6(798272657) -> $r6(1367836300) 
$r7(798272657) -> $r7(1367836300) 
0(1367836300) -> 0(953337533) 
this(1367836300) -> this(953337533) 
parent(1367836300) -> parent(953337533) 
itemtname(1367836300) -> itemtname(953337533) 
l6(1367836300) -> l6(953337533) 
com(1367836300) -> com(953337533) 
script(1367836300) -> script(953337533) 
scriptname(1367836300) -> scriptname(953337533) 
scrDisplayCom(1367836300) -> scrDisplayCom(953337533) 
$r0(1367836300) -> $r0(953337533) 
$r1(1367836300) -> $r1(953337533) 
$r2(1367836300) -> $r2(953337533) 
$r3(1367836300) -> $r3(953337533) 
$r4(1367836300) -> $r4(953337533) 
$r5(1367836300) -> $r5(953337533) 
$r6(1367836300) -> $r6(953337533) 
$r7(1367836300) -> $r7(953337533) 
0(953337533) -> 0(368426864) 
this(953337533) -> this(368426864) 
parent(953337533) -> parent(368426864) 
itemtname(953337533) -> itemtname(368426864) 
l6(953337533) -> l6(368426864) 
com(953337533) -> com(368426864) 
script(953337533) -> script(368426864) 
scriptname(953337533) -> scriptname(368426864) 
scrDisplayCom(953337533) -> scrDisplayCom(368426864) 
$r0(953337533) -> $r0(368426864) 
$r1(953337533) -> $r1(368426864) 
$r2(953337533) -> $r2(368426864) 
$r3(953337533) -> $r3(368426864) 
$r4(953337533) -> $r4(368426864) 
$r5(953337533) -> $r5(368426864) 
$r6(953337533) -> $r6(368426864) 
$r7(953337533) -> $r7(368426864) 
0(368426864) -> 0(976154692) 
this(368426864) -> this(976154692) 
parent(368426864) -> parent(976154692) 
