method: org.apache.fop.area.AreaTreeParser$Handler.getAttributeAsBoolean:21582763
67462 -> 67463
67464 -> 67465
67466 -> 67467
67468 -> 67469
67462 -> 67470
67462 -> 67471
67463 -> 67472
67465 -> 67473
67467 -> 67474
67469 -> 67475
67470 -> 67476
67471 -> 67477
67472 -> 67478
67473 -> 67479
67474 -> 67480
67475 -> 67481
67476 -> 67482
67477 -> 67483
67478 -> 67484
67479 -> 67485
67480 -> 67486
67481 -> 67487
67482 -> 67488
67483 -> 67489
67484 -> 67490
67485 -> 67491
67486 -> 67492
67487 -> 67493
67488 -> 67494
67489 -> 67495
67490 -> 67496
67491 -> 67497
67492 -> 67498
67493 -> 67499
67495 -> 67500
67496 -> 67501
67497 -> 67502
67498 -> 67503
67499 -> 67504
67505 -> 67506
67500 -> 67507
67501 -> 67508
67502 -> 67509
67503 -> 67510
67504 -> 67511
67506 -> 67512
67507 -> 67513
67501 -> 67514
67502 -> 67515
67503 -> 67516
67504 -> 67517
67506 -> 67518
67507 -> 67519
67514 -> 67520
67515 -> 67521
67516 -> 67522
67517 -> 67523
67518 -> 67524
67519 -> 67525
67514 -> 67526
67508 -> 67527
67509 -> 67528
67510 -> 67529
67511 -> 67530
67512 -> 67531
67527 -> 67532
67528 -> 67533
67529 -> 67534
67530 -> 67535
67531 -> 67536
67537 -> 67538
67532 -> 67539
67533 -> 67540
67534 -> 67541
67535 -> 67542
67536 -> 67543
67538 -> 67544
67539 -> 67545
67540 -> 67546
67541 -> 67547
67542 -> 67548
67543 -> 67549
67544 -> 67550
67545 -> 67520
67546 -> 67521
67547 -> 67522
67548 -> 67523
67549 -> 67524
67550 -> 67525
67545 -> 67526
