method: org.apache.fop.area.Span.isEmpty:148975701
110983 -> 110984
110985 -> 110986
110983 -> 110987
110983 -> 110988
110983 -> 110989
110984 -> 110990
110986 -> 110991
110987 -> 110992
110988 -> 110993
110989 -> 110994
110990 -> 110995
110991 -> 110996
110992 -> 110997
110993 -> 110998
110994 -> 110999
110995 -> 111000
110996 -> 111001
110997 -> 111002
110998 -> 111003
110999 -> 111004
111000 -> 111005
111001 -> 111006
111002 -> 111007
111003 -> 111008
111004 -> 111009
111005 -> 111010
111006 -> 111011
111007 -> 111012
111008 -> 111013
111009 -> 111014
111010 -> 111015
111011 -> 111016
111012 -> 111017
111013 -> 111018
111014 -> 111019
111010 -> 111020
111011 -> 111021
111012 -> 111022
111013 -> 111023
111014 -> 111024
111020 -> 111025
111021 -> 111026
111023 -> 111027
111024 -> 111028
111025 -> 111029
111026 -> 111030
111031 -> 111032
111027 -> 111033
111028 -> 111034
111029 -> 111035
111030 -> 111036
111032 -> 111037
111033 -> 111038
111034 -> 111039
111029 -> 111040
111030 -> 111041
111032 -> 111042
111033 -> 111043
111034 -> 111044
111040 -> 111045
111041 -> 111046
111042 -> 111047
111044 -> 111048
111045 -> 111049
111046 -> 111050
111047 -> 111051
111052 -> 111053
111048 -> 111054
111049 -> 111035
111050 -> 111036
111051 -> 111037
111053 -> 111038
111054 -> 111039
111049 -> 111055
111050 -> 111056
111051 -> 111057
111053 -> 111058
111054 -> 111059
111055 -> 111060
111056 -> 111061
111057 -> 111062
111058 -> 111063
111060 -> 111064
111061 -> 111065
111062 -> 111066
111063 -> 111067
111068 -> 111069
111064 -> 111070
111065 -> 111071
111066 -> 111072
111067 -> 111073
111069 -> 111074
111070 -> 111075
111071 -> 111076
111072 -> 111077
111073 -> 111078
111074 -> 111079
111075 -> 111035
111076 -> 111036
111077 -> 111037
111078 -> 111038
111079 -> 111039
111035 -> 111080
111036 -> 111081
111037 -> 111082
111038 -> 111083
111039 -> 111084
111080 -> 111000
111081 -> 111001
111082 -> 111002
111083 -> 111003
111084 -> 111004
111015 -> 111085
111016 -> 111086
111017 -> 111087
111018 -> 111088
111019 -> 111089
111015 -> 111090
111016 -> 111091
111017 -> 111092
111018 -> 111093
111019 -> 111094
111090 -> 111095
111091 -> 111096
111092 -> 111097
111093 -> 111098
111094 -> 111099
111095 -> 111100
111096 -> 111101
111097 -> 111102
111098 -> 111103
111099 -> 111104
111085 -> 111100
111086 -> 111101
111087 -> 111102
111088 -> 111103
111089 -> 111104
111100 -> 111105
111101 -> 111106
111102 -> 111107
111103 -> 111108
111104 -> 111109
111100 -> 111110
