method: org.apache.fop.fo.FOElementMapping$TableRowMaker.make:1367000569
0(1367000569) -> 0(2008817604) 
this(1367000569) -> this(2008817604) 
parent(1367000569) -> parent(2008817604) 
0(1367000569) -> $r0(2008817604) 
0(2008817604) -> 0(1607055941) 
this(2008817604) -> this(1607055941) 
parent(2008817604) -> parent(1607055941) 
$r0(2008817604) -> $r0(1607055941) 
0(1607055941) -> 0(887372068) 
this(1607055941) -> this(887372068) 
parent(1607055941) -> parent(887372068) 
$r0(1607055941) -> $r0(887372068) 
0(887372068) -> 0(747352085) 
this(887372068) -> this(747352085) 
parent(887372068) -> parent(747352085) 
0(747352085) -> 0(114641292) 
this(747352085) -> this(114641292) 
parent(747352085) -> parent(114641292) 
$r0(747352085) -> $r0(114641292) 
0(114641292) -> 0(-1367000569) 
this(114641292) -> this(-1367000569) 
parent(114641292) -> parent(-1367000569) 
$r0(114641292) -> $r0(-1367000569) 
$r0(114641292) -> .return(-1367000569) 
