method: org.apache.fop.fo.FOText.createBlockPointers:370912071
325436 -> 325437
325438 -> 325439
325440 -> 325441
325436 -> 325442
325436 -> 325443
325436 -> 325444
325436 -> 325445
325437 -> 325446
325439 -> 325447
325441 -> 325448
325442 -> 325449
325443 -> 325450
325444 -> 325451
325445 -> 325452
325446 -> 325453
325447 -> 325454
325448 -> 325455
325449 -> 325456
325450 -> 325457
325451 -> 325458
325452 -> 325459
325453 -> 325460
325454 -> 325461
325455 -> 325462
325456 -> 325463
325457 -> 325464
325458 -> 325465
325459 -> 325466
325460 -> 325467
325461 -> 325468
325462 -> 325469
325463 -> 325470
325464 -> 325471
325465 -> 325472
325466 -> 325473
325467 -> 325474
325468 -> 325475
325469 -> 325476
325470 -> 325477
325471 -> 325478
325472 -> 325479
325473 -> 325480
325467 -> 325481
325468 -> 325482
325469 -> 325483
325470 -> 325484
325471 -> 325485
325472 -> 325486
325473 -> 325487
325481 -> 325488
325482 -> 325489
325483 -> 325490
325484 -> 325491
325485 -> 325492
325486 -> 325493
325487 -> 325494
325488 -> 325495
325489 -> 325496
325490 -> 325497
325491 -> 325498
325492 -> 325499
325493 -> 325500
325494 -> 325501
325495 -> 325502
325496 -> 325503
325497 -> 325504
325498 -> 325505
325499 -> 325506
325500 -> 325507
325501 -> 325508
325502 -> 325509
325503 -> 325510
325504 -> 325511
325505 -> 325512
325506 -> 325513
325507 -> 325514
325508 -> 325515
325502 -> 325516
325503 -> 325517
325504 -> 325518
325505 -> 325519
325506 -> 325520
325507 -> 325521
325508 -> 325522
325516 -> 325523
325517 -> 325524
325518 -> 325525
325519 -> 325526
325520 -> 325527
325521 -> 325528
325522 -> 325529
325523 -> 325530
325524 -> 325531
325525 -> 325532
325526 -> 325533
325527 -> 325534
325528 -> 325535
325529 -> 325536
325530 -> 325537
325531 -> 325538
325532 -> 325539
325533 -> 325540
325534 -> 325541
325535 -> 325542
325536 -> 325543
325537 -> 325544
325538 -> 325545
325539 -> 325546
325540 -> 325547
325541 -> 325548
325542 -> 325549
325543 -> 325550
325544 -> 325474
325545 -> 325475
325546 -> 325476
325547 -> 325477
325548 -> 325478
325549 -> 325479
325550 -> 325480
325509 -> 325474
325510 -> 325475
325511 -> 325476
325512 -> 325477
325513 -> 325478
325514 -> 325479
325515 -> 325480
325474 -> 325551
325475 -> 325552
325476 -> 325553
325477 -> 325554
325478 -> 325555
325479 -> 325556
325480 -> 325557
325474 -> 325558
