method: org.apache.fop.fo.FOText.endOfNode:1758105793
0(1758105793) -> 0(147852219) 
this(1758105793) -> this(147852219) 
0(1758105793) -> $r0(147852219) 
0(1758105793) -> $r1(147852219) 
0(147852219) -> 0(1845373540) 
this(147852219) -> this(1845373540) 
$r0(147852219) -> $r0(1845373540) 
$r1(147852219) -> $r1(1845373540) 
0(1845373540) -> 0(1609592069) 
this(1845373540) -> this(1609592069) 
$r0(1845373540) -> $r0(1609592069) 
$r1(1845373540) -> $r1(1609592069) 
0(1609592069) -> 0(-1609592069) 
this(1609592069) -> this(-1609592069) 
$r1(1609592069) -> $r1(-1609592069) 
0(-1609592069) -> 0(1222009721) 
this(-1609592069) -> this(1222009721) 
$r0(-1609592069) -> $r0(1222009721) 
$r1(-1609592069) -> $r1(1222009721) 
0(1222009721) -> 0(1696056144) 
this(1222009721) -> this(1696056144) 
$r0(1222009721) -> $r0(1696056144) 
$r1(1222009721) -> $r1(1696056144) 
0(1696056144) -> 0(1607149825) 
this(1696056144) -> this(1607149825) 
$r0(1696056144) -> $r0(1607149825) 
$r1(1696056144) -> $r1(1607149825) 
0(1607149825) -> 0(317796809) 
this(1607149825) -> this(317796809) 
$r0(1607149825) -> $r0(317796809) 
$r1(1607149825) -> $r1(317796809) 
0(317796809) -> 0(419138774) 
this(317796809) -> this(419138774) 
$r0(317796809) -> $r0(419138774) 
$r1(317796809) -> $r1(419138774) 
0(419138774) -> 0(-1758105793) 
this(419138774) -> this(-1758105793) 
$r0(419138774) -> $r0(-1758105793) 
$r1(419138774) -> $r1(-1758105793) 
0(419138774) -> .return(-1758105793) 
