method: org.apache.fop.fo.PropertyList.getParentFObj:598202711
0(598202711) -> 0(632769198) 
this(598202711) -> this(632769198) 
0(598202711) -> $r0(632769198) 
0(598202711) -> $r1(632769198) 
0(632769198) -> 0(1524810482) 
this(632769198) -> this(1524810482) 
$r0(632769198) -> $r0(1524810482) 
$r1(632769198) -> $r1(1524810482) 
0(1524810482) -> 0(1567411323) 
this(1524810482) -> this(1567411323) 
$r0(1524810482) -> $r0(1567411323) 
$r1(1524810482) -> $r1(1567411323) 
0(1567411323) -> 0(1987529627) 
this(1567411323) -> this(1987529627) 
$r0(1567411323) -> $r0(1987529627) 
$r1(1567411323) -> $r1(1987529627) 
0(1567411323) -> 0(1155290181) 
this(1567411323) -> this(1155290181) 
$r0(1567411323) -> $r0(1155290181) 
$r1(1567411323) -> $r1(1155290181) 
0(1155290181) -> 0(1562419540) 
this(1155290181) -> this(1562419540) 
$r0(1155290181) -> $r0(1562419540) 
$r1(1155290181) -> $r1(1562419540) 
0(1562419540) -> 0(-1562419540) 
this(1562419540) -> this(-1562419540) 
$r0(1562419540) -> $r0(-1562419540) 
0(-1562419540) -> 0(155173264) 
this(-1562419540) -> this(155173264) 
$r0(-1562419540) -> $r0(155173264) 
$r1(-1562419540) -> $r1(155173264) 
0(155173264) -> 0(-598202711) 
this(155173264) -> this(-598202711) 
$r0(155173264) -> $r0(-598202711) 
$r1(155173264) -> $r1(-598202711) 
$r1(155173264) -> .return(-598202711) 
0(1987529627) -> 0(-598202711) 
this(1987529627) -> this(-598202711) 
$r0(1987529627) -> $r0(-598202711) 
$r1(1987529627) -> $r1(-598202711) 
0(1987529627) -> .return(-598202711) 
