method: org.apache.fop.fo.expr.PropertyInfo.getPercentBase:70600300
162132 -> 162133
162134 -> 162135
162132 -> 162136
162132 -> 162137
162132 -> 162138
162132 -> 162139
162133 -> 162140
162135 -> 162141
162136 -> 162142
162137 -> 162143
162138 -> 162144
162139 -> 162145
162140 -> 162146
162141 -> 162147
162143 -> 162148
162144 -> 162149
162145 -> 162150
162146 -> 162151
162147 -> 162152
162153 -> 162154
162148 -> 162155
162149 -> 162156
162150 -> 162157
162151 -> 162158
162152 -> 162159
162154 -> 162160
162155 -> 162161
162156 -> 162162
162157 -> 162163
162151 -> 162164
162152 -> 162165
162154 -> 162166
162155 -> 162167
162156 -> 162168
162157 -> 162169
162164 -> 162170
162165 -> 162171
162166 -> 162172
162166 -> 162173
162168 -> 162174
162169 -> 162175
162170 -> 162176
162171 -> 162177
162173 -> 162178
162172 -> 162179
162174 -> 162180
162175 -> 162181
162158 -> 162182
162159 -> 162183
162160 -> 162184
162161 -> 162185
162162 -> 162186
162163 -> 162187
162182 -> 162188
162183 -> 162189
162184 -> 162190
162185 -> 162191
162186 -> 162192
162187 -> 162193
162188 -> 162194
162189 -> 162195
162190 -> 162196
162192 -> 162197
162193 -> 162198
162194 -> 162176
162195 -> 162177
162196 -> 162178
162199 -> 162179
162197 -> 162180
162198 -> 162181
162176 -> 162200
162177 -> 162201
162178 -> 162202
162179 -> 162203
162180 -> 162204
162181 -> 162205
162179 -> 162206
