method: org.apache.fop.fo.extensions.svg.SVGElement.getContentHandlerFactory:1575040132
179081 -> 179082
179083 -> 179084
179081 -> 179085
179081 -> 179086
179081 -> 179087
179082 -> 179088
179084 -> 179089
179085 -> 179090
179086 -> 179091
179087 -> 179092
179088 -> 179093
179089 -> 179094
179091 -> 179095
179092 -> 179096
179093 -> 179097
179094 -> 179098
179099 -> 179100
179095 -> 179101
179097 -> 179102
179098 -> 179103
179100 -> 179104
179101 -> 179105
179106 -> 179107
179102 -> 179108
179103 -> 179109
179104 -> 179110
179107 -> 179111
179108 -> 179112
179109 -> 179113
179110 -> 179114
179115 -> 179116
179111 -> 179117
179112 -> 179118
179113 -> 179119
179114 -> 179120
179116 -> 179121
179117 -> 179122
179118 -> 179123
179119 -> 179124
179120 -> 179125
179121 -> 179126
179122 -> 179127
179120 -> 179128
