method: org.apache.fop.fo.flow.Footnote.addChildNode:169115774
193600 -> 193601
193602 -> 193603
193604 -> 193605
193600 -> 193606
193600 -> 193607
193600 -> 193608
193601 -> 193609
193603 -> 193610
193605 -> 193611
193606 -> 193612
193607 -> 193613
193608 -> 193614
193609 -> 193615
193610 -> 193616
193611 -> 193617
193612 -> 193618
193613 -> 193619
193614 -> 193620
193615 -> 193621
193616 -> 193622
193617 -> 193623
193617 -> 193624
193619 -> 193625
193620 -> 193626
193621 -> 193627
193622 -> 193628
193624 -> 193629
193623 -> 193630
193625 -> 193631
193626 -> 193632
193627 -> 193633
193628 -> 193634
193629 -> 193635
193630 -> 193636
193631 -> 193637
193632 -> 193638
193633 -> 193639
193634 -> 193640
193635 -> 193641
193636 -> 193642
193637 -> 193643
193638 -> 193644
193633 -> 193645
193634 -> 193646
193635 -> 193647
193636 -> 193648
193637 -> 193649
193638 -> 193650
193645 -> 193651
193646 -> 193652
193647 -> 193653
193647 -> 193654
193648 -> 193655
193650 -> 193656
193651 -> 193657
193652 -> 193658
193654 -> 193659
193655 -> 193660
193653 -> 193661
193656 -> 193662
193657 -> 193663
193658 -> 193664
193659 -> 193665
193660 -> 193666
193661 -> 193667
193662 -> 193668
193639 -> 193669
193640 -> 193670
193641 -> 193671
193641 -> 193672
193643 -> 193673
193644 -> 193674
193669 -> 193675
193670 -> 193676
193672 -> 193677
193671 -> 193678
193673 -> 193679
193674 -> 193680
193675 -> 193681
193676 -> 193682
193677 -> 193683
193678 -> 193684
193679 -> 193685
193680 -> 193686
193681 -> 193663
193682 -> 193664
193683 -> 193665
193684 -> 193666
193685 -> 193667
193686 -> 193668
193681 -> 193687
193682 -> 193688
193683 -> 193689
193684 -> 193690
193685 -> 193691
193686 -> 193692
193687 -> 193693
193688 -> 193694
193689 -> 193695
193689 -> 193696
193690 -> 193697
193691 -> 193698
193693 -> 193663
193694 -> 193664
193696 -> 193665
193697 -> 193666
193698 -> 193667
193695 -> 193668
193663 -> 193699
193664 -> 193700
193665 -> 193701
193666 -> 193702
193667 -> 193703
193668 -> 193704
193663 -> 193705
