method: org.apache.fop.fo.flow.Inline.validateChildNode:1745742400
0(1745742400) -> 0(1117508156) 
this(1745742400) -> this(1117508156) 
loc(1745742400) -> loc(1117508156) 
nsURI(1745742400) -> nsURI(1117508156) 
localName(1745742400) -> localName(1117508156) 
0(1745742400) -> $r0(1117508156) 
0(1745742400) -> ruleViolated(1117508156) 
0(1117508156) -> 0(67601230) 
this(1117508156) -> this(67601230) 
loc(1117508156) -> loc(67601230) 
nsURI(1117508156) -> nsURI(67601230) 
localName(1117508156) -> localName(67601230) 
$r0(1117508156) -> $r0(67601230) 
ruleViolated(1117508156) -> ruleViolated(67601230) 
0(67601230) -> 0(155023347) 
this(67601230) -> this(155023347) 
loc(67601230) -> loc(155023347) 
nsURI(67601230) -> nsURI(155023347) 
localName(67601230) -> localName(155023347) 
$r0(67601230) -> $r0(155023347) 
ruleViolated(67601230) -> ruleViolated(155023347) 
0(155023347) -> 0(579729218) 
this(155023347) -> this(579729218) 
loc(155023347) -> loc(579729218) 
nsURI(155023347) -> nsURI(579729218) 
localName(155023347) -> localName(579729218) 
$r0(155023347) -> $r0(579729218) 
ruleViolated(155023347) -> ruleViolated(579729218) 
0(579729218) -> 0(375660487) 
this(579729218) -> this(375660487) 
loc(579729218) -> loc(375660487) 
nsURI(579729218) -> nsURI(375660487) 
localName(579729218) -> localName(375660487) 
$r0(579729218) -> $r0(375660487) 
ruleViolated(579729218) -> ruleViolated(375660487) 
0(375660487) -> 0(1187053060) 
this(375660487) -> this(1187053060) 
loc(375660487) -> loc(1187053060) 
nsURI(375660487) -> nsURI(1187053060) 
localName(375660487) -> localName(1187053060) 
$r0(375660487) -> $r0(1187053060) 
ruleViolated(375660487) -> ruleViolated(1187053060) 
0(1187053060) -> 0(-1187053060) 
this(1187053060) -> this(-1187053060) 
loc(1187053060) -> loc(-1187053060) 
nsURI(1187053060) -> nsURI(-1187053060) 
localName(1187053060) -> localName(-1187053060) 
$r0(1187053060) -> $r0(-1187053060) 
ruleViolated(1187053060) -> ruleViolated(-1187053060) 
0(-1187053060) -> 0(677698790) 
this(-1187053060) -> this(677698790) 
loc(-1187053060) -> loc(677698790) 
nsURI(-1187053060) -> nsURI(677698790) 
localName(-1187053060) -> localName(677698790) 
$r0(-1187053060) -> $r0(677698790) 
ruleViolated(-1187053060) -> ruleViolated(677698790) 
0(677698790) -> 0(1070289455) 
this(677698790) -> this(1070289455) 
loc(677698790) -> loc(1070289455) 
nsURI(677698790) -> nsURI(1070289455) 
localName(677698790) -> localName(1070289455) 
$r0(677698790) -> $r0(1070289455) 
ruleViolated(677698790) -> ruleViolated(1070289455) 
0(677698790) -> 0(1222206306) 
this(677698790) -> this(1222206306) 
