method: org.apache.fop.fo.flow.table.CollapsingBorderResolver$Resolver.integrateTrailingBorders:1596671109
207284 -> 207285
207286 -> 207287
207288 -> 207289
207284 -> 207290
207284 -> 207291
207284 -> 207292
207284 -> 207293
207284 -> 207294
207284 -> 207295
207284 -> 207296
207285 -> 207297
207287 -> 207298
207289 -> 207299
207290 -> 207300
207291 -> 207301
207292 -> 207302
207293 -> 207303
207294 -> 207304
207295 -> 207305
207296 -> 207306
207297 -> 207307
207298 -> 207308
207299 -> 207309
207300 -> 207310
207301 -> 207311
207302 -> 207312
207303 -> 207313
207304 -> 207314
207305 -> 207315
207306 -> 207316
207307 -> 207317
207308 -> 207318
207309 -> 207319
207310 -> 207320
207311 -> 207321
207312 -> 207322
207313 -> 207323
207314 -> 207324
207315 -> 207325
207316 -> 207326
207317 -> 207327
207318 -> 207328
207319 -> 207329
207320 -> 207330
207321 -> 207331
207322 -> 207332
207323 -> 207333
207324 -> 207334
207325 -> 207335
207326 -> 207336
207327 -> 207337
207328 -> 207338
207329 -> 207339
207330 -> 207340
207331 -> 207341
207332 -> 207342
207334 -> 207343
207335 -> 207344
207336 -> 207345
207337 -> 207346
207338 -> 207347
207339 -> 207348
207340 -> 207349
207341 -> 207350
207342 -> 207351
207352 -> 207353
207343 -> 207354
207344 -> 207355
207345 -> 207356
207346 -> 207357
207347 -> 207358
207348 -> 207359
207349 -> 207360
207350 -> 207361
207351 -> 207362
207353 -> 207363
207354 -> 207364
207355 -> 207365
207356 -> 207366
207357 -> 207367
207358 -> 207368
207359 -> 207369
207360 -> 207370
207361 -> 207371
207362 -> 207372
207363 -> 207373
207364 -> 207374
207365 -> 207375
207366 -> 207376
207367 -> 207377
207368 -> 207378
207369 -> 207379
207370 -> 207380
207371 -> 207381
207372 -> 207382
207373 -> 207383
207374 -> 207384
207375 -> 207385
207376 -> 207386
207367 -> 207387
207368 -> 207388
207369 -> 207389
207370 -> 207390
207371 -> 207391
207372 -> 207392
207373 -> 207393
207374 -> 207394
207375 -> 207395
207376 -> 207396
207387 -> 207397
207388 -> 207398
207389 -> 207399
207390 -> 207400
207391 -> 207401
207392 -> 207402
207393 -> 207403
207395 -> 207404
207396 -> 207405
207397 -> 207406
207398 -> 207407
207399 -> 207408
207400 -> 207409
207401 -> 207410
207402 -> 207411
207403 -> 207412
207413 -> 207414
207404 -> 207415
207405 -> 207416
207406 -> 207417
207407 -> 207418
207408 -> 207419
207410 -> 207420
207411 -> 207421
207412 -> 207422
207414 -> 207423
207414 -> 207424
207415 -> 207425
207416 -> 207426
207417 -> 207427
207418 -> 207428
207419 -> 207429
207423 -> 207430
207420 -> 207431
207421 -> 207432
207422 -> 207433
207424 -> 207434
207425 -> 207435
207426 -> 207436
207427 -> 207437
207428 -> 207438
207429 -> 207439
207430 -> 207440
207431 -> 207441
207432 -> 207442
207433 -> 207443
207434 -> 207444
207435 -> 207445
207437 -> 207446
207438 -> 207447
207439 -> 207448
207440 -> 207449
207441 -> 207450
207442 -> 207451
207443 -> 207452
207444 -> 207453
207445 -> 207454
207455 -> 207456
207446 -> 207457
207447 -> 207458
207448 -> 207459
207449 -> 207460
207450 -> 207461
207451 -> 207462
207452 -> 207463
207454 -> 207464
207456 -> 207465
207457 -> 207466
207458 -> 207467
207459 -> 207468
207460 -> 207469
207461 -> 207470
207462 -> 207471
207463 -> 207472
207473 -> 207474
207464 -> 207475
207465 -> 207476
207466 -> 207477
207467 -> 207478
207468 -> 207479
207469 -> 207480
207471 -> 207481
207472 -> 207482
207474 -> 207483
207474 -> 207484
207475 -> 207485
207476 -> 207486
207477 -> 207487
207478 -> 207488
207479 -> 207489
207480 -> 207490
207483 -> 207491
207481 -> 207492
207482 -> 207493
207484 -> 207494
207485 -> 207495
207486 -> 207496
207487 -> 207497
207488 -> 207498
207489 -> 207499
207490 -> 207500
207491 -> 207501
207492 -> 207502
207493 -> 207503
207494 -> 207504
207495 -> 207505
207496 -> 207506
207497 -> 207317
207498 -> 207318
207499 -> 207319
207500 -> 207320
207501 -> 207321
207502 -> 207322
207503 -> 207323
207504 -> 207324
207505 -> 207325
207506 -> 207326
207377 -> 207507
207378 -> 207508
207379 -> 207509
207380 -> 207510
207381 -> 207511
207382 -> 207512
207383 -> 207513
207384 -> 207514
207385 -> 207515
207386 -> 207516
207377 -> 207517
