method: org.apache.fop.fo.flow.table.CollapsingBorderResolver$ResolverInFooter.<init>:1088350065
211113 -> 211114
211115 -> 211116
211117 -> 211118
211119 -> 211120
211114 -> 211121
211116 -> 211122
211118 -> 211123
211120 -> 211124
211121 -> 211125
211122 -> 211126
211123 -> 211127
211124 -> 211128
211125 -> 211129
211126 -> 211130
211127 -> 211131
211128 -> 211132
211129 -> 211133
211130 -> 211134
211131 -> 211135
211132 -> 211136
211133 -> 211137
211134 -> 211138
211135 -> 211139
211136 -> 211140
211133 -> 211141
