method: org.apache.fop.fo.flow.table.EffRow.safelyGetGridUnit:927186230
216505 -> 216506
216507 -> 216508
216505 -> 216509
216505 -> 216510
216505 -> 216511
216505 -> 216512
216506 -> 216513
216508 -> 216514
216509 -> 216515
216510 -> 216516
216511 -> 216517
216512 -> 216518
216513 -> 216519
216514 -> 216520
216515 -> 216521
216516 -> 216522
216517 -> 216523
216518 -> 216524
216519 -> 216525
216520 -> 216526
216521 -> 216527
216522 -> 216528
216523 -> 216529
216524 -> 216530
216525 -> 216531
216526 -> 216532
216527 -> 216533
216528 -> 216534
216529 -> 216535
216530 -> 216536
216531 -> 216537
216532 -> 216538
216533 -> 216539
216534 -> 216540
216535 -> 216541
216536 -> 216542
216537 -> 216543
216538 -> 216544
216539 -> 216545
216540 -> 216546
216541 -> 216547
216542 -> 216548
216537 -> 216549
216538 -> 216550
216539 -> 216551
216540 -> 216552
216541 -> 216553
216542 -> 216554
216549 -> 216555
216550 -> 216556
216551 -> 216557
216552 -> 216558
216553 -> 216559
216554 -> 216560
216555 -> 216561
216556 -> 216562
216557 -> 216563
216558 -> 216564
216560 -> 216565
216561 -> 216566
216562 -> 216567
216563 -> 216568
216564 -> 216569
216570 -> 216571
216565 -> 216572
216566 -> 216573
216567 -> 216574
216568 -> 216575
216569 -> 216576
216571 -> 216577
216571 -> 216578
216573 -> 216579
216574 -> 216580
216575 -> 216581
216576 -> 216582
216578 -> 216583
216577 -> 216584
216577 -> 216585
216543 -> 216579
216544 -> 216580
216545 -> 216581
216546 -> 216582
216547 -> 216583
216548 -> 216584
216543 -> 216585
