method: org.apache.fop.fo.flow.table.PrimaryGridUnit.getBeforeBorderWidth:1591012210
224222 -> 224223
224224 -> 224225
224222 -> 224226
224222 -> 224227
224222 -> 224228
224222 -> 224229
224222 -> 224230
224222 -> 224231
224222 -> 224232
224222 -> 224233
224222 -> 224234
224222 -> 224235
224222 -> 224236
224223 -> 224237
224225 -> 224238
224226 -> 224239
224227 -> 224240
224228 -> 224241
224229 -> 224242
224230 -> 224243
224231 -> 224244
224232 -> 224245
224233 -> 224246
224234 -> 224247
224235 -> 224248
224236 -> 224249
224237 -> 224250
224238 -> 224251
224239 -> 224252
224240 -> 224253
224241 -> 224254
224242 -> 224255
224243 -> 224256
224244 -> 224257
224245 -> 224258
224246 -> 224259
224247 -> 224260
224248 -> 224261
224249 -> 224262
224250 -> 224263
224251 -> 224264
224252 -> 224265
224253 -> 224266
224254 -> 224267
224255 -> 224268
224256 -> 224269
224257 -> 224270
224258 -> 224271
224259 -> 224272
224260 -> 224273
224261 -> 224274
224262 -> 224275
224263 -> 224276
224264 -> 224277
224265 -> 224278
224266 -> 224279
224267 -> 224280
224268 -> 224281
224269 -> 224282
224270 -> 224283
224271 -> 224284
224272 -> 224285
224273 -> 224286
224274 -> 224287
224275 -> 224288
224276 -> 224289
224277 -> 224290
224278 -> 224291
224279 -> 224292
224280 -> 224293
224281 -> 224294
224282 -> 224295
224283 -> 224296
224284 -> 224297
224285 -> 224298
224286 -> 224299
224287 -> 224300
224288 -> 224301
224276 -> 224302
224277 -> 224303
224278 -> 224304
224279 -> 224305
224280 -> 224306
224281 -> 224307
224282 -> 224308
224283 -> 224309
224284 -> 224310
224285 -> 224311
224286 -> 224312
224287 -> 224313
224288 -> 224314
224302 -> 224315
224303 -> 224316
224304 -> 224317
224305 -> 224318
224307 -> 224319
224308 -> 224320
224309 -> 224321
224310 -> 224322
224311 -> 224323
224312 -> 224324
224313 -> 224325
224314 -> 224326
224315 -> 224327
224316 -> 224328
224317 -> 224329
224318 -> 224330
224331 -> 224332
224319 -> 224333
224320 -> 224334
224321 -> 224335
224322 -> 224336
224323 -> 224337
224324 -> 224338
224325 -> 224339
224326 -> 224340
224327 -> 224341
224328 -> 224342
224329 -> 224343
224330 -> 224344
224332 -> 224345
224333 -> 224346
224334 -> 224347
224335 -> 224348
224336 -> 224349
224337 -> 224350
224338 -> 224351
224339 -> 224352
224340 -> 224353
224327 -> 224354
224328 -> 224355
224329 -> 224356
224330 -> 224357
224332 -> 224358
224333 -> 224359
224334 -> 224360
224335 -> 224361
224336 -> 224362
224337 -> 224363
224338 -> 224364
224339 -> 224365
224340 -> 224366
224354 -> 224367
224355 -> 224368
224356 -> 224369
224357 -> 224370
224358 -> 224371
224359 -> 224372
224360 -> 224373
224361 -> 224374
224362 -> 224375
224363 -> 224376
224364 -> 224377
224365 -> 224378
224366 -> 224379
224354 -> 224380
224341 -> 224381
224342 -> 224382
224343 -> 224383
224344 -> 224384
224346 -> 224385
224347 -> 224386
224348 -> 224387
224349 -> 224388
224350 -> 224389
224351 -> 224390
224352 -> 224391
224353 -> 224392
224381 -> 224393
224382 -> 224394
224383 -> 224395
224384 -> 224396
224397 -> 224398
224385 -> 224399
224386 -> 224400
224387 -> 224401
224388 -> 224402
224389 -> 224403
224390 -> 224404
224391 -> 224405
224392 -> 224406
224393 -> 224407
224394 -> 224408
224396 -> 224409
224398 -> 224410
224399 -> 224411
224400 -> 224412
224401 -> 224413
224402 -> 224414
224403 -> 224415
224404 -> 224416
224405 -> 224417
224406 -> 224418
224407 -> 224419
224408 -> 224420
224421 -> 224422
224409 -> 224423
224410 -> 224424
224411 -> 224425
224412 -> 224426
224413 -> 224427
224414 -> 224428
224415 -> 224429
224416 -> 224430
224417 -> 224431
224418 -> 224432
224419 -> 224433
224420 -> 224434
224422 -> 224435
224423 -> 224436
224424 -> 224437
224425 -> 224438
224426 -> 224439
224427 -> 224440
224428 -> 224441
224429 -> 224442
224430 -> 224443
224431 -> 224444
224432 -> 224445
224419 -> 224446
224420 -> 224447
224422 -> 224448
224423 -> 224449
224424 -> 224450
224425 -> 224451
224426 -> 224452
224427 -> 224453
224428 -> 224454
224429 -> 224455
224430 -> 224456
224431 -> 224457
224432 -> 224458
224419 -> 224446
224420 -> 224447
224422 -> 224448
224423 -> 224449
224424 -> 224450
224425 -> 224451
224426 -> 224452
224427 -> 224453
224428 -> 224454
224429 -> 224455
224430 -> 224456
224431 -> 224457
224432 -> 224458
224419 -> 224459
224420 -> 224460
224422 -> 224461
224423 -> 224462
224424 -> 224463
224425 -> 224464
