method: org.apache.fop.fo.flow.table.TableBody.getCommonBorderPaddingBackground:1926495474
0(1926495474) -> 0(749485842) 
this(1926495474) -> this(749485842) 
0(1926495474) -> $r0(749485842) 
0(749485842) -> 0(1935523935) 
this(749485842) -> this(1935523935) 
$r0(749485842) -> $r0(1935523935) 
0(1935523935) -> 0(268490789) 
this(1935523935) -> this(268490789) 
$r0(1935523935) -> $r0(268490789) 
0(268490789) -> 0(-1926495474) 
this(268490789) -> this(-1926495474) 
$r0(268490789) -> $r0(-1926495474) 
$r0(268490789) -> .return(-1926495474) 
