method: org.apache.fop.fo.flow.table.TableFObj.getTable:1719219146
0(1719219146) -> 0(1063781784) 
this(1719219146) -> this(1063781784) 
0(1719219146) -> $r0(1063781784) 
0(1719219146) -> $r1(1063781784) 
0(1719219146) -> $r2(1063781784) 
0(1063781784) -> 0(2006504422) 
this(1063781784) -> this(2006504422) 
$r0(1063781784) -> $r0(2006504422) 
$r1(1063781784) -> $r1(2006504422) 
$r2(1063781784) -> $r2(2006504422) 
0(2006504422) -> 0(1384111713) 
this(2006504422) -> this(1384111713) 
$r0(2006504422) -> $r0(1384111713) 
$r1(2006504422) -> $r1(1384111713) 
$r2(2006504422) -> $r2(1384111713) 
0(1384111713) -> 0(1222696087) 
this(1384111713) -> this(1222696087) 
$r0(1384111713) -> $r1(1222696087) 
$r0(1384111713) -> $r0(1222696087) 
$r2(1384111713) -> $r2(1222696087) 
0(1222696087) -> 0(-1222696087) 
this(1222696087) -> this(-1222696087) 
$r0(1222696087) -> $r0(-1222696087) 
$r1(1222696087) -> $r1(-1222696087) 
0(-1222696087) -> 0(582116066) 
this(-1222696087) -> this(582116066) 
$r0(-1222696087) -> $r0(582116066) 
$r1(-1222696087) -> $r1(582116066) 
$r2(-1222696087) -> $r2(582116066) 
0(582116066) -> 0(-1719219146) 
this(582116066) -> this(-1719219146) 
$r0(582116066) -> $r0(-1719219146) 
$r1(582116066) -> $r1(-1719219146) 
$r2(582116066) -> $r2(-1719219146) 
$r2(582116066) -> .return(-1719219146) 
