method: org.apache.fop.fo.pagination.LayoutMasterSet.getSimplePageMaster:460849347
0(460849347) -> 0(1669215980) 
this(460849347) -> this(1669215980) 
masterName(460849347) -> masterName(1669215980) 
0(460849347) -> $r0(1669215980) 
0(460849347) -> $r1(1669215980) 
0(460849347) -> $r2(1669215980) 
0(1669215980) -> 0(1934095099) 
this(1669215980) -> this(1934095099) 
masterName(1669215980) -> masterName(1934095099) 
$r0(1669215980) -> $r0(1934095099) 
$r1(1669215980) -> $r1(1934095099) 
$r2(1669215980) -> $r2(1934095099) 
0(1934095099) -> 0(818187274) 
this(1934095099) -> this(818187274) 
masterName(1934095099) -> masterName(818187274) 
$r0(1934095099) -> $r0(818187274) 
$r1(1934095099) -> $r1(818187274) 
$r2(1934095099) -> $r2(818187274) 
0(818187274) -> 0(663243258) 
this(818187274) -> this(663243258) 
masterName(818187274) -> masterName(663243258) 
$r0(818187274) -> $r0(663243258) 
$r1(818187274) -> $r1(663243258) 
$r2(818187274) -> $r2(663243258) 
0(663243258) -> 0(-663243258) 
this(663243258) -> this(-663243258) 
masterName(663243258) -> masterName(-663243258) 
$r0(663243258) -> $r0(-663243258) 
$r2(663243258) -> $r2(-663243258) 
0(-663243258) -> 0(1689309276) 
this(-663243258) -> this(1689309276) 
masterName(-663243258) -> masterName(1689309276) 
$r0(-663243258) -> $r0(1689309276) 
$r1(-663243258) -> $r1(1689309276) 
$r2(-663243258) -> $r2(1689309276) 
0(1689309276) -> 0(339704745) 
this(1689309276) -> this(339704745) 
masterName(1689309276) -> masterName(339704745) 
$r0(1689309276) -> $r0(339704745) 
$r1(1689309276) -> $r2(339704745) 
$r1(1689309276) -> $r1(339704745) 
0(339704745) -> 0(-460849347) 
this(339704745) -> this(-460849347) 
masterName(339704745) -> masterName(-460849347) 
$r0(339704745) -> $r0(-460849347) 
$r1(339704745) -> $r1(-460849347) 
$r2(339704745) -> $r2(-460849347) 
$r2(339704745) -> .return(-460849347) 
