method: org.apache.fop.fo.properties.CommonFont.getInstance:1271103604
0(1271103604) -> 0(1057264009) 
pList(1271103604) -> pList(1057264009) 
0(1271103604) -> fontFamily(1057264009) 
0(1271103604) -> fontSelectionStrategy(1057264009) 
0(1271103604) -> fontStretch(1057264009) 
0(1271103604) -> fontStyle(1057264009) 
0(1271103604) -> fontVariant(1057264009) 
0(1271103604) -> fontWeight(1057264009) 
0(1271103604) -> cachedCommonFont(1057264009) 
0(1271103604) -> fontSizeAdjust(1057264009) 
0(1271103604) -> fontSize(1057264009) 
0(1271103604) -> cf(1057264009) 
0(1271103604) -> $r0(1057264009) 
0(1271103604) -> $r1(1057264009) 
0(1271103604) -> $r2(1057264009) 
0(1057264009) -> 0(355746793) 
pList(1057264009) -> pList(355746793) 
fontFamily(1057264009) -> fontFamily(355746793) 
fontSelectionStrategy(1057264009) -> fontSelectionStrategy(355746793) 
fontStretch(1057264009) -> fontStretch(355746793) 
fontStyle(1057264009) -> fontStyle(355746793) 
fontVariant(1057264009) -> fontVariant(355746793) 
fontWeight(1057264009) -> fontWeight(355746793) 
cachedCommonFont(1057264009) -> cachedCommonFont(355746793) 
fontSizeAdjust(1057264009) -> fontSizeAdjust(355746793) 
fontSize(1057264009) -> fontSize(355746793) 
cf(1057264009) -> cf(355746793) 
$r0(1057264009) -> $r0(355746793) 
$r1(1057264009) -> $r1(355746793) 
$r2(1057264009) -> $r2(355746793) 
0(355746793) -> 0(-355746793) 
pList(355746793) -> pList(-355746793) 
fontFamily(355746793) -> fontFamily(-355746793) 
fontSelectionStrategy(355746793) -> fontSelectionStrategy(-355746793) 
fontStretch(355746793) -> fontStretch(-355746793) 
fontStyle(355746793) -> fontStyle(-355746793) 
fontVariant(355746793) -> fontVariant(-355746793) 
fontWeight(355746793) -> fontWeight(-355746793) 
cachedCommonFont(355746793) -> cachedCommonFont(-355746793) 
fontSizeAdjust(355746793) -> fontSizeAdjust(-355746793) 
fontSize(355746793) -> fontSize(-355746793) 
cf(355746793) -> cf(-355746793) 
$r1(355746793) -> $r1(-355746793) 
$r2(355746793) -> $r2(-355746793) 
0(-355746793) -> 0(623295995) 
pList(-355746793) -> pList(623295995) 
fontFamily(-355746793) -> fontFamily(623295995) 
fontSelectionStrategy(-355746793) -> fontSelectionStrategy(623295995) 
fontStretch(-355746793) -> fontStretch(623295995) 
fontStyle(-355746793) -> fontStyle(623295995) 
fontVariant(-355746793) -> fontVariant(623295995) 
fontWeight(-355746793) -> fontWeight(623295995) 
cachedCommonFont(-355746793) -> cachedCommonFont(623295995) 
fontSizeAdjust(-355746793) -> fontSizeAdjust(623295995) 
fontSize(-355746793) -> fontSize(623295995) 
cf(-355746793) -> cf(623295995) 
$r0(-355746793) -> $r0(623295995) 
$r1(-355746793) -> $r1(623295995) 
$r2(-355746793) -> $r2(623295995) 
0(623295995) -> 0(268110798) 
pList(623295995) -> pList(268110798) 
fontSelectionStrategy(623295995) -> fontSelectionStrategy(268110798) 
fontStretch(623295995) -> fontStretch(268110798) 
fontStyle(623295995) -> fontStyle(268110798) 
fontVariant(623295995) -> fontVariant(268110798) 
fontWeight(623295995) -> fontWeight(268110798) 
cachedCommonFont(623295995) -> cachedCommonFont(268110798) 
fontSizeAdjust(623295995) -> fontSizeAdjust(268110798) 
fontSize(623295995) -> fontSize(268110798) 
cf(623295995) -> cf(268110798) 
$r0(623295995) -> fontFamily(268110798) 
$r0(623295995) -> $r0(268110798) 
$r1(623295995) -> $r1(268110798) 
$r2(623295995) -> $r2(268110798) 
0(268110798) -> 0(-268110798) 
pList(268110798) -> pList(-268110798) 
fontFamily(268110798) -> fontFamily(-268110798) 
fontSelectionStrategy(268110798) -> fontSelectionStrategy(-268110798) 
fontStretch(268110798) -> fontStretch(-268110798) 
fontStyle(268110798) -> fontStyle(-268110798) 
fontVariant(268110798) -> fontVariant(-268110798) 
fontWeight(268110798) -> fontWeight(-268110798) 
cachedCommonFont(268110798) -> cachedCommonFont(-268110798) 
fontSizeAdjust(268110798) -> fontSizeAdjust(-268110798) 
fontSize(268110798) -> fontSize(-268110798) 
cf(268110798) -> cf(-268110798) 
$r1(268110798) -> $r1(-268110798) 
$r2(268110798) -> $r2(-268110798) 
0(-268110798) -> 0(743500155) 
pList(-268110798) -> pList(743500155) 
fontFamily(-268110798) -> fontFamily(743500155) 
fontSelectionStrategy(-268110798) -> fontSelectionStrategy(743500155) 
fontStretch(-268110798) -> fontStretch(743500155) 
fontStyle(-268110798) -> fontStyle(743500155) 
fontVariant(-268110798) -> fontVariant(743500155) 
fontWeight(-268110798) -> fontWeight(743500155) 
