method: org.apache.fop.fo.properties.CommonHyphenation.equals:19901025
374196 -> 374197
374198 -> 374199
374200 -> 374201
374196 -> 374202
374196 -> 374203
374196 -> 374204
374196 -> 374205
374196 -> 374206
374196 -> 374207
374196 -> 374208
374196 -> 374209
374196 -> 374210
374197 -> 374211
374199 -> 374212
374201 -> 374213
374202 -> 374214
374203 -> 374215
374204 -> 374216
374205 -> 374217
374206 -> 374218
374207 -> 374219
374208 -> 374220
374209 -> 374221
374210 -> 374222
374211 -> 374223
374212 -> 374224
374213 -> 374225
374214 -> 374226
374215 -> 374227
374216 -> 374228
374217 -> 374229
374218 -> 374230
374219 -> 374231
374220 -> 374232
374221 -> 374233
374222 -> 374234
374223 -> 374235
374224 -> 374236
374225 -> 374237
374226 -> 374238
374227 -> 374239
374228 -> 374240
374229 -> 374241
374230 -> 374242
374231 -> 374243
374232 -> 374244
374233 -> 374245
374234 -> 374246
374223 -> 374247
374224 -> 374248
374225 -> 374249
374226 -> 374250
374227 -> 374251
374228 -> 374252
374229 -> 374253
374230 -> 374254
374231 -> 374255
374232 -> 374256
374233 -> 374257
374234 -> 374258
374247 -> 374259
374248 -> 374260
374249 -> 374261
374250 -> 374262
374251 -> 374263
374252 -> 374264
374253 -> 374265
374254 -> 374266
374255 -> 374267
374256 -> 374268
374257 -> 374269
374258 -> 374270
374247 -> 374271
374235 -> 374272
374236 -> 374273
374237 -> 374274
374238 -> 374275
374239 -> 374276
374240 -> 374277
374241 -> 374278
374242 -> 374279
374243 -> 374280
374244 -> 374281
374245 -> 374282
374246 -> 374283
374272 -> 374284
374273 -> 374285
374274 -> 374286
374275 -> 374287
374276 -> 374288
374277 -> 374289
374278 -> 374290
374279 -> 374291
374280 -> 374292
374281 -> 374293
374282 -> 374294
374283 -> 374295
374272 -> 374296
374273 -> 374297
374274 -> 374298
374275 -> 374299
374276 -> 374300
374277 -> 374301
374278 -> 374302
374279 -> 374303
374280 -> 374304
374281 -> 374305
374282 -> 374306
374283 -> 374307
374296 -> 374308
374297 -> 374309
374298 -> 374310
374298 -> 374311
374300 -> 374312
374301 -> 374313
374302 -> 374314
374303 -> 374315
374304 -> 374316
374305 -> 374317
374306 -> 374318
374307 -> 374319
374308 -> 374320
374309 -> 374321
374311 -> 374322
374310 -> 374323
374312 -> 374324
374313 -> 374325
374314 -> 374326
374315 -> 374327
374316 -> 374328
374317 -> 374329
374318 -> 374330
374319 -> 374331
374320 -> 374332
374321 -> 374333
374322 -> 374334
374323 -> 374335
374324 -> 374336
374325 -> 374337
374326 -> 374338
374327 -> 374339
374328 -> 374340
374329 -> 374341
374330 -> 374342
374331 -> 374343
374332 -> 374344
374333 -> 374345
374334 -> 374346
374335 -> 374347
374336 -> 374348
374337 -> 374349
374338 -> 374350
374339 -> 374351
374340 -> 374352
374341 -> 374353
374342 -> 374354
374343 -> 374355
374332 -> 374356
374333 -> 374357
374334 -> 374358
374335 -> 374359
374336 -> 374360
374337 -> 374361
374338 -> 374362
374339 -> 374363
374340 -> 374364
374341 -> 374365
374342 -> 374366
374343 -> 374367
374356 -> 374368
374357 -> 374369
374358 -> 374370
374359 -> 374371
374360 -> 374372
374361 -> 374373
374362 -> 374374
374363 -> 374375
374364 -> 374376
374365 -> 374377
374366 -> 374378
374367 -> 374379
374368 -> 374380
374369 -> 374381
374370 -> 374382
374371 -> 374383
374372 -> 374384
374373 -> 374385
374374 -> 374386
374375 -> 374387
374376 -> 374388
374377 -> 374389
374378 -> 374390
374379 -> 374391
374380 -> 374344
374381 -> 374345
374382 -> 374346
374383 -> 374347
374384 -> 374348
374385 -> 374349
374386 -> 374350
374387 -> 374351
374388 -> 374352
374389 -> 374353
374390 -> 374354
374391 -> 374355
374380 -> 374392
374381 -> 374393
374382 -> 374394
374383 -> 374395
374384 -> 374396
374385 -> 374397
374386 -> 374398
374387 -> 374399
374388 -> 374400
374389 -> 374401
374390 -> 374402
374391 -> 374403
374392 -> 374404
374393 -> 374405
374394 -> 374406
374395 -> 374407
374396 -> 374408
374397 -> 374409
374398 -> 374410
374399 -> 374411
374400 -> 374412
374401 -> 374413
374402 -> 374414
374403 -> 374415
374404 -> 374416
374405 -> 374417
374406 -> 374418
374407 -> 374419
374408 -> 374420
374409 -> 374421
374410 -> 374422
374411 -> 374423
374412 -> 374424
374413 -> 374425
374414 -> 374426
374415 -> 374427
374416 -> 374344
374417 -> 374345
374418 -> 374346
374419 -> 374347
374420 -> 374348
374421 -> 374349
374422 -> 374350
374423 -> 374351
374424 -> 374352
374425 -> 374353
374426 -> 374354
374427 -> 374355
374416 -> 374428
374417 -> 374429
374418 -> 374430
374419 -> 374431
374420 -> 374432
374421 -> 374433
374422 -> 374434
374423 -> 374435
374424 -> 374436
374425 -> 374437
374426 -> 374438
374427 -> 374439
374428 -> 374440
374429 -> 374441
374430 -> 374442
374431 -> 374443
374432 -> 374444
374433 -> 374445
374434 -> 374446
374435 -> 374447
374436 -> 374448
374437 -> 374449
374438 -> 374450
374439 -> 374451
374440 -> 374452
374441 -> 374453
374442 -> 374454
374443 -> 374455
374444 -> 374456
374445 -> 374457
374446 -> 374458
374447 -> 374459
374448 -> 374460
374449 -> 374461
374450 -> 374462
374451 -> 374463
374452 -> 374344
374453 -> 374345
374454 -> 374346
374455 -> 374347
374456 -> 374348
374457 -> 374349
374458 -> 374350
374459 -> 374351
374460 -> 374352
374461 -> 374353
374462 -> 374354
374463 -> 374355
374452 -> 374464
374453 -> 374465
374454 -> 374466
374455 -> 374467
374456 -> 374468
374457 -> 374469
374458 -> 374470
374459 -> 374471
374460 -> 374472
374461 -> 374473
374462 -> 374474
374463 -> 374475
374464 -> 374476
374465 -> 374477
374466 -> 374478
374467 -> 374479
374468 -> 374480
374469 -> 374481
374470 -> 374482
374471 -> 374483
374472 -> 374484
374473 -> 374485
374474 -> 374486
374475 -> 374487
374476 -> 374488
374477 -> 374489
374478 -> 374490
374479 -> 374491
374480 -> 374492
374481 -> 374493
374482 -> 374494
374483 -> 374495
374484 -> 374496
374485 -> 374497
374486 -> 374498
374487 -> 374499
374488 -> 374344
374489 -> 374345
374490 -> 374346
374491 -> 374347
374492 -> 374348
374493 -> 374349
374494 -> 374350
374495 -> 374351
374496 -> 374352
374497 -> 374353
374498 -> 374354
374499 -> 374355
374488 -> 374500
374489 -> 374501
374490 -> 374502
374491 -> 374503
374492 -> 374504
374493 -> 374505
374494 -> 374506
374495 -> 374507
374496 -> 374508
374497 -> 374509
374498 -> 374510
374499 -> 374511
374500 -> 374512
374501 -> 374513
374502 -> 374514
374503 -> 374515
374504 -> 374516
374505 -> 374517
