method: org.apache.fop.fo.properties.CorrespondingPropertyMaker.getWMPropertyList:429721740
381453 -> 381454
381455 -> 381456
381457 -> 381458
381453 -> 381459
381454 -> 381460
381456 -> 381461
381458 -> 381462
381459 -> 381463
381460 -> 381464
381461 -> 381465
381462 -> 381466
381463 -> 381467
381464 -> 381468
381465 -> 381469
381466 -> 381470
381467 -> 381471
381468 -> 381472
381469 -> 381473
381470 -> 381474
381471 -> 381475
381468 -> 381476
381469 -> 381477
381470 -> 381478
381471 -> 381479
381476 -> 381480
381477 -> 381481
381478 -> 381482
381480 -> 381483
381481 -> 381484
381482 -> 381485
381486 -> 381487
381483 -> 381488
381484 -> 381489
381485 -> 381490
381487 -> 381491
381487 -> 381492
381472 -> 381488
381473 -> 381489
381474 -> 381490
381475 -> 381491
381474 -> 381492
