method: org.apache.fop.fo.properties.KeepProperty$Maker.makeNewProperty:476468501
0(476468501) -> 0(1125017838) 
this(476468501) -> this(1125017838) 
0(476468501) -> $r0(1125017838) 
0(1125017838) -> 0(1728775078) 
this(1125017838) -> this(1728775078) 
$r0(1125017838) -> $r0(1728775078) 
0(1728775078) -> 0(2055463319) 
this(1728775078) -> this(2055463319) 
0(2055463319) -> 0(1750056791) 
this(2055463319) -> this(1750056791) 
$r0(2055463319) -> $r0(1750056791) 
0(1750056791) -> 0(-476468501) 
this(1750056791) -> this(-476468501) 
$r0(1750056791) -> $r0(-476468501) 
$r0(1750056791) -> .return(-476468501) 
