method: org.apache.fop.fonts.CodePointMapping.<clinit>:827447132
747162 -> 747163
747162 -> 747164
747162 -> 747165
747162 -> 747166
747162 -> 747167
747163 -> 747168
747165 -> 747169
747166 -> 747170
747167 -> 747171
747168 -> 747172
747173 -> 747174
747169 -> 747175
747170 -> 747176
747171 -> 747177
747172 -> 747178
747174 -> 747179
747176 -> 747180
747177 -> 747181
747178 -> 747182
747179 -> 747183
747184 -> 747185
747180 -> 747186
747181 -> 747187
747182 -> 747188
747183 -> 747189
747185 -> 747190
747186 -> 747191
747187 -> 747192
747188 -> 747193
747189 -> 747194
747190 -> 747195
747192 -> 747196
747193 -> 747197
747194 -> 747198
747195 -> 747199
747200 -> 747201
747196 -> 747202
747197 -> 747203
747198 -> 747204
747199 -> 747205
747201 -> 747206
747202 -> 747207
747203 -> 747208
747204 -> 747209
747205 -> 747210
747206 -> 747211
747207 -> 747212
747208 -> 747213
747209 -> 747214
747210 -> 747215
747211 -> 747216
747212 -> 747217
747213 -> 747218
747214 -> 747219
747215 -> 747220
747216 -> 747221
747217 -> 747222
747218 -> 747223
747219 -> 747224
747220 -> 747225
747221 -> 747226
747222 -> 747227
747223 -> 747228
747224 -> 747229
747225 -> 747230
747226 -> 747231
747227 -> 747232
747228 -> 747233
747229 -> 747234
747230 -> 747235
747231 -> 747236
747232 -> 747237
747233 -> 747238
747234 -> 747239
747235 -> 747240
747236 -> 747241
747237 -> 747242
747238 -> 747243
747239 -> 747244
747240 -> 747245
747241 -> 747246
747242 -> 747247
747243 -> 747248
747244 -> 747249
747245 -> 747250
747246 -> 747251
747247 -> 747252
747248 -> 747253
747249 -> 747254
747250 -> 747255
747251 -> 747256
747252 -> 747257
747253 -> 747258
747254 -> 747259
747255 -> 747260
747256 -> 747261
747257 -> 747262
747258 -> 747263
747259 -> 747264
747260 -> 747265
747261 -> 747266
747262 -> 747267
747263 -> 747268
747264 -> 747269
747265 -> 747270
747266 -> 747271
747267 -> 747272
747268 -> 747273
747269 -> 747274
747270 -> 747275
747271 -> 747276
747272 -> 747277
747273 -> 747278
747274 -> 747279
747275 -> 747280
747276 -> 747281
747277 -> 747282
747278 -> 747283
747279 -> 747284
747280 -> 747285
747281 -> 747286
747282 -> 747287
747283 -> 747288
747284 -> 747289
747285 -> 747290
747286 -> 747291
747287 -> 747292
747288 -> 747293
747289 -> 747294
747290 -> 747295
747291 -> 747296
747292 -> 747297
747293 -> 747298
747294 -> 747299
747295 -> 747300
747296 -> 747301
747297 -> 747302
747298 -> 747303
747299 -> 747304
747300 -> 747305
747301 -> 747306
747302 -> 747307
747303 -> 747308
747304 -> 747309
747305 -> 747310
747306 -> 747311
747307 -> 747312
747308 -> 747313
747309 -> 747314
747310 -> 747315
747311 -> 747316
747312 -> 747317
747313 -> 747318
747314 -> 747319
747315 -> 747320
747316 -> 747321
747317 -> 747322
747318 -> 747323
747319 -> 747324
747320 -> 747325
747321 -> 747326
747322 -> 747327
747323 -> 747328
747324 -> 747329
747325 -> 747330
747326 -> 747331
747327 -> 747332
747328 -> 747333
747329 -> 747334
747330 -> 747335
747331 -> 747336
747332 -> 747337
747333 -> 747338
747334 -> 747339
747335 -> 747340
747336 -> 747341
747337 -> 747342
747338 -> 747343
747339 -> 747344
747340 -> 747345
747341 -> 747346
747342 -> 747347
747343 -> 747348
747344 -> 747349
747345 -> 747350
747346 -> 747351
747347 -> 747352
747348 -> 747353
747349 -> 747354
747350 -> 747355
747351 -> 747356
747352 -> 747357
747353 -> 747358
747354 -> 747359
747355 -> 747360
747356 -> 747361
747357 -> 747362
747358 -> 747363
747359 -> 747364
747360 -> 747365
747361 -> 747366
747362 -> 747367
747363 -> 747368
747364 -> 747369
747365 -> 747370
747366 -> 747371
747367 -> 747372
747368 -> 747373
747369 -> 747374
747370 -> 747375
747371 -> 747376
747372 -> 747377
747373 -> 747378
747374 -> 747379
747375 -> 747380
747376 -> 747381
747377 -> 747382
747378 -> 747383
747379 -> 747384
747380 -> 747385
747381 -> 747386
747382 -> 747387
747383 -> 747388
747384 -> 747389
747385 -> 747390
747386 -> 747391
747387 -> 747392
747388 -> 747393
747389 -> 747394
747390 -> 747395
747391 -> 747396
747392 -> 747397
747393 -> 747398
747394 -> 747399
747395 -> 747400
