method: org.apache.fop.fonts.Font.getCharWidth:2099765440
0(2099765440) -> 0(2035676333) 
this(2099765440) -> this(2035676333) 
0(2035676333) -> 0(2050148374) 
this(2035676333) -> this(2050148374) 
0(2050148374) -> 0(1468650068) 
this(2050148374) -> this(1468650068) 
0(1468650068) -> 0(157988592) 
this(1468650068) -> this(157988592) 
0(1468650068) -> 0(1767158835) 
this(1468650068) -> this(1767158835) 
0(1767158835) -> 0(157988592) 
this(1767158835) -> this(157988592) 
0(1767158835) -> 0(1911205815) 
this(1767158835) -> this(1911205815) 
0(1911205815) -> 0(157988592) 
this(1911205815) -> this(157988592) 
0(1911205815) -> 0(1340236100) 
this(1911205815) -> this(1340236100) 
0(1340236100) -> 0(1209462800) 
this(1340236100) -> this(1209462800) 
0(1340236100) -> 0(157988592) 
this(1340236100) -> this(157988592) 
0(157988592) -> 0(-157988592) 
this(157988592) -> this(-157988592) 
0(-157988592) -> 0(1024478052) 
this(-157988592) -> this(1024478052) 
0(1024478052) -> 0(1417961253) 
this(1024478052) -> this(1417961253) 
0(1209462800) -> 0(-1209462800) 
this(1209462800) -> this(-1209462800) 
0(-1209462800) -> 0(1508560745) 
this(-1209462800) -> this(1508560745) 
0(1508560745) -> 0(138946511) 
this(1508560745) -> this(138946511) 
0(1508560745) -> 0(1522108362) 
this(1508560745) -> this(1522108362) 
0(1522108362) -> 0(-1522108362) 
this(1522108362) -> this(-1522108362) 
0(-1522108362) -> 0(540516889) 
this(-1522108362) -> this(540516889) 
0(540516889) -> 0(-540516889) 
this(540516889) -> this(-540516889) 
0(-540516889) -> 0(611526613) 
this(-540516889) -> this(611526613) 
0(611526613) -> 0(1561542987) 
this(611526613) -> this(1561542987) 
0(138946511) -> 0(1561542987) 
this(138946511) -> this(1561542987) 
0(1561542987) -> 0(1417961253) 
this(1561542987) -> this(1417961253) 
0(1561542987) -> 0(1747041474) 
this(1561542987) -> this(1747041474) 
0(1747041474) -> 0(-1747041474) 
this(1747041474) -> this(-1747041474) 
0(-1747041474) -> 0(1129226998) 
this(-1747041474) -> this(1129226998) 
0(1129226998) -> 0(1406859791) 
this(1129226998) -> this(1406859791) 
0(1406859791) -> 0(247105027) 
this(1406859791) -> this(247105027) 
0(1406859791) -> 0(291407384) 
this(1406859791) -> this(291407384) 
0(291407384) -> 0(1421187728) 
this(291407384) -> this(1421187728) 
0(1421187728) -> 0(1417961253) 
this(1421187728) -> this(1417961253) 
0(247105027) -> 0(1394792339) 
this(247105027) -> this(1394792339) 
0(247105027) -> 0(1483132467) 
this(247105027) -> this(1483132467) 
0(1483132467) -> 0(1164682140) 
this(1483132467) -> this(1164682140) 
0(1164682140) -> 0(1417961253) 
this(1164682140) -> this(1417961253) 
0(1394792339) -> 0(1383181243) 
this(1394792339) -> this(1383181243) 
0(1394792339) -> 0(410369758) 
this(1394792339) -> this(410369758) 
0(410369758) -> 0(1514532189) 
this(410369758) -> this(1514532189) 
0(1514532189) -> 0(1417961253) 
this(1514532189) -> this(1417961253) 
0(1383181243) -> 0(1947261880) 
this(1383181243) -> this(1947261880) 
0(1383181243) -> 0(1236930321) 
this(1383181243) -> this(1236930321) 
0(1236930321) -> 0(1446202087) 
this(1236930321) -> this(1446202087) 
0(1446202087) -> 0(1417961253) 
this(1446202087) -> this(1417961253) 
0(1947261880) -> 0(1747404731) 
this(1947261880) -> this(1747404731) 
0(1947261880) -> 0(505745560) 
this(1947261880) -> this(505745560) 
0(505745560) -> 0(-505745560) 
this(505745560) -> this(-505745560) 
0(-505745560) -> 0(325352094) 
this(-505745560) -> this(325352094) 
0(325352094) -> 0(1417961253) 
this(325352094) -> this(1417961253) 
0(1747404731) -> 0(2071626019) 
this(1747404731) -> this(2071626019) 
0(1747404731) -> 0(852141728) 
this(1747404731) -> this(852141728) 
0(852141728) -> 0(377580653) 
this(852141728) -> this(377580653) 
0(377580653) -> 0(1417961253) 
this(377580653) -> this(1417961253) 
0(2071626019) -> 0(1815649612) 
this(2071626019) -> this(1815649612) 
0(2071626019) -> 0(1955069240) 
this(2071626019) -> this(1955069240) 
0(1955069240) -> 0(201433933) 
this(1955069240) -> this(201433933) 
0(201433933) -> 0(1417961253) 
this(201433933) -> this(1417961253) 
0(1815649612) -> 0(1680305363) 
this(1815649612) -> this(1680305363) 
0(1815649612) -> 0(151525398) 
this(1815649612) -> this(151525398) 
0(151525398) -> 0(1919242491) 
this(151525398) -> this(1919242491) 
0(1919242491) -> 0(1417961253) 
this(1919242491) -> this(1417961253) 
0(1680305363) -> 0(1085151186) 
this(1680305363) -> this(1085151186) 
0(1680305363) -> 0(883967282) 
this(1680305363) -> this(883967282) 
0(883967282) -> 0(-883967282) 
this(883967282) -> this(-883967282) 
0(-883967282) -> 0(546238628) 
this(-883967282) -> this(546238628) 
0(546238628) -> 0(1417961253) 
this(546238628) -> this(1417961253) 
0(1085151186) -> 0(1381284064) 
this(1085151186) -> this(1381284064) 
0(1085151186) -> 0(1322393490) 
this(1085151186) -> this(1322393490) 
0(1322393490) -> 0(-1322393490) 
this(1322393490) -> this(-1322393490) 
0(-1322393490) -> 0(1159123627) 
this(-1322393490) -> this(1159123627) 
0(1159123627) -> 0(1417961253) 
this(1159123627) -> this(1417961253) 
0(1381284064) -> 0(47418487) 
this(1381284064) -> this(47418487) 
0(1381284064) -> 0(380873766) 
this(1381284064) -> this(380873766) 
0(380873766) -> 0(1844117102) 
this(380873766) -> this(1844117102) 
0(1844117102) -> 0(1417961253) 
this(1844117102) -> this(1417961253) 
0(47418487) -> 0(1614003747) 
this(47418487) -> this(1614003747) 
0(47418487) -> 0(683244181) 
this(47418487) -> this(683244181) 
0(683244181) -> 0(689889558) 
this(683244181) -> this(689889558) 
0(689889558) -> 0(1417961253) 
this(689889558) -> this(1417961253) 
0(1614003747) -> 0(372822475) 
this(1614003747) -> this(372822475) 
0(1614003747) -> 0(2008246149) 
