method: org.apache.fop.fonts.FontInfo.<init>:1180322278
781528 -> 781529
781530 -> 781531
781528 -> 781532
781529 -> 781533
781531 -> 781534
781532 -> 781535
781533 -> 781536
781534 -> 781537
781535 -> 781538
781536 -> 781539
781537 -> 781540
781539 -> 781541
781540 -> 781542
781543 -> 781544
781541 -> 781545
781542 -> 781546
781544 -> 781547
781545 -> 781548
781546 -> 781549
781548 -> 781550
781549 -> 781551
781552 -> 781553
781550 -> 781554
781551 -> 781555
781553 -> 781556
781554 -> 781557
781555 -> 781558
781557 -> 781559
781558 -> 781560
781561 -> 781562
781559 -> 781563
781560 -> 781564
781562 -> 781565
781563 -> 781566
781564 -> 781567
781566 -> 781568
781567 -> 781569
781570 -> 781571
781568 -> 781572
781569 -> 781573
781571 -> 781574
781572 -> 781575
781573 -> 781576
781575 -> 781577
781576 -> 781578
781579 -> 781580
781577 -> 781581
781578 -> 781582
781580 -> 781583
781581 -> 781584
781582 -> 781585
781583 -> 781586
781581 -> 781587
