method: org.apache.fop.fonts.SingleByteFont.<clinit>:1072489272
0(1072489272) -> 0(108276224) 
0(1072489272) -> $r0(108276224) 
0(1072489272) -> $r1(108276224) 
0(108276224) -> 0(879847759) 
$r0(108276224) -> $r0(879847759) 
$r1(108276224) -> $r1(879847759) 
0(879847759) -> 0(865937845) 
$r0(879847759) -> $r0(865937845) 
$r1(879847759) -> $r1(865937845) 
0(879847759) -> 0(261094475) 
$r0(879847759) -> $r0(261094475) 
$r1(879847759) -> $r1(261094475) 
0(261094475) -> 0(-261094475) 
$r1(261094475) -> $r1(-261094475) 
0(-261094475) -> 0(1584630792) 
$r0(-261094475) -> $r0(1584630792) 
$r1(-261094475) -> $r1(1584630792) 
0(1584630792) -> 0(1945014697) 
$r0(1584630792) -> $r0(1945014697) 
$r1(1584630792) -> $r1(1945014697) 
0(1945014697) -> 0(320685196) 
$r0(1945014697) -> $r0(320685196) 
$r1(1945014697) -> $r1(320685196) 
0(865937845) -> 0(320685196) 
$r0(865937845) -> $r0(320685196) 
$r1(865937845) -> $r1(320685196) 
0(320685196) -> 0(-320685196) 
$r0(320685196) -> $r0(-320685196) 
0(-320685196) -> 0(1719618849) 
$r0(-320685196) -> $r0(1719618849) 
$r1(-320685196) -> $r1(1719618849) 
0(1719618849) -> 0(799073817) 
$r0(1719618849) -> $r0(799073817) 
$r1(1719618849) -> $r1(799073817) 
0(799073817) -> 0(-1072489272) 
$r0(799073817) -> $r0(-1072489272) 
$r1(799073817) -> $r1(-1072489272) 
0(799073817) -> .return(-1072489272) 
