method: org.apache.fop.fonts.SingleByteFont.setWidth:1498349275
0(1498349275) -> 0(1110179215) 
this(1498349275) -> this(1110179215) 
0(1498349275) -> $r0(1110179215) 
0(1498349275) -> $r1(1110179215) 
0(1110179215) -> 0(1444141369) 
this(1110179215) -> this(1444141369) 
$r0(1110179215) -> $r0(1444141369) 
$r1(1110179215) -> $r1(1444141369) 
0(1444141369) -> 0(823810389) 
this(1444141369) -> this(823810389) 
$r0(1444141369) -> $r0(823810389) 
$r1(1444141369) -> $r1(823810389) 
0(823810389) -> 0(898553049) 
this(823810389) -> this(898553049) 
$r0(823810389) -> $r0(898553049) 
$r1(823810389) -> $r1(898553049) 
0(898553049) -> 0(876088839) 
this(898553049) -> this(876088839) 
$r0(898553049) -> $r0(876088839) 
$r1(898553049) -> $r1(876088839) 
0(876088839) -> 0(778691193) 
this(876088839) -> this(778691193) 
$r0(876088839) -> $r0(778691193) 
$r1(876088839) -> $r1(778691193) 
0(876088839) -> 0(996577564) 
this(876088839) -> this(996577564) 
$r0(876088839) -> $r0(996577564) 
$r1(876088839) -> $r1(996577564) 
0(996577564) -> 0(-996577564) 
this(996577564) -> this(-996577564) 
$r0(996577564) -> $r0(-996577564) 
$r1(996577564) -> $r1(-996577564) 
0(-996577564) -> 0(1034367060) 
this(-996577564) -> this(1034367060) 
$r0(-996577564) -> $r0(1034367060) 
$r1(-996577564) -> $r1(1034367060) 
0(1034367060) -> 0(-1034367060) 
this(1034367060) -> this(-1034367060) 
$r0(1034367060) -> $r0(-1034367060) 
$r1(1034367060) -> $r1(-1034367060) 
0(-1034367060) -> 0(727054955) 
this(-1034367060) -> this(727054955) 
$r0(-1034367060) -> $r0(727054955) 
$r1(-1034367060) -> $r1(727054955) 
0(727054955) -> 0(1372734395) 
this(727054955) -> this(1372734395) 
$r0(727054955) -> $r0(1372734395) 
$r1(727054955) -> $r1(1372734395) 
0(1372734395) -> 0(1130157044) 
this(1372734395) -> this(1130157044) 
$r0(1372734395) -> $r0(1130157044) 
$r1(1372734395) -> $r1(1130157044) 
0(1130157044) -> 0(56580793) 
this(1130157044) -> this(56580793) 
$r0(1130157044) -> $r0(56580793) 
0(56580793) -> 0(778691193) 
this(56580793) -> this(778691193) 
$r0(56580793) -> $r0(778691193) 
$r1(56580793) -> $r1(778691193) 
0(778691193) -> 0(1669023866) 
this(778691193) -> this(1669023866) 
$r0(778691193) -> $r0(1669023866) 
$r1(778691193) -> $r1(1669023866) 
0(1669023866) -> 0(-1669023866) 
this(1669023866) -> this(-1669023866) 
$r0(1669023866) -> $r0(-1669023866) 
$r1(1669023866) -> $r1(-1669023866) 
0(-1669023866) -> 0(852718748) 
this(-1669023866) -> this(852718748) 
$r0(-1669023866) -> $r0(852718748) 
$r1(-1669023866) -> $r1(852718748) 
0(852718748) -> 0(43228766) 
this(852718748) -> this(43228766) 
$r0(852718748) -> $r0(43228766) 
$r1(852718748) -> $r1(43228766) 
0(43228766) -> 0(696397476) 
this(43228766) -> this(696397476) 
$r0(43228766) -> $r0(696397476) 
$r1(43228766) -> $r1(696397476) 
0(696397476) -> 0(-1498349275) 
this(696397476) -> this(-1498349275) 
$r0(696397476) -> $r0(-1498349275) 
$r1(696397476) -> $r1(-1498349275) 
0(696397476) -> .return(-1498349275) 
