method: org.apache.fop.fonts.apps.AbstractFontReader.parseArguments:1255444609
439213 -> 439214
439215 -> 439216
439217 -> 439218
439213 -> 439219
439213 -> 439220
439213 -> 439221
439213 -> 439222
439213 -> 439223
439213 -> 439224
439213 -> 439225
439213 -> 439226
439214 -> 439227
439216 -> 439228
439218 -> 439229
439219 -> 439230
439220 -> 439231
439221 -> 439232
439222 -> 439233
439223 -> 439234
439224 -> 439235
439225 -> 439236
439226 -> 439237
439227 -> 439238
439228 -> 439239
439229 -> 439240
439230 -> 439241
439231 -> 439242
439232 -> 439243
439233 -> 439244
439234 -> 439245
439235 -> 439246
439236 -> 439247
439237 -> 439248
439238 -> 439249
439239 -> 439250
439240 -> 439251
439242 -> 439252
439243 -> 439253
439244 -> 439254
439245 -> 439255
439246 -> 439256
439247 -> 439257
439248 -> 439258
439249 -> 439259
439250 -> 439260
439251 -> 439261
439262 -> 439263
439252 -> 439264
439253 -> 439265
439254 -> 439266
439255 -> 439267
439256 -> 439268
439257 -> 439269
439258 -> 439270
439259 -> 439271
439260 -> 439272
439261 -> 439273
439263 -> 439274
439263 -> 439275
439265 -> 439276
439266 -> 439277
439267 -> 439278
439268 -> 439279
439269 -> 439280
439270 -> 439281
439271 -> 439282
439272 -> 439283
439273 -> 439284
439275 -> 439285
439274 -> 439286
439276 -> 439287
439277 -> 439288
439278 -> 439289
439279 -> 439290
439280 -> 439291
439281 -> 439292
439282 -> 439293
439283 -> 439294
439284 -> 439295
439285 -> 439296
439286 -> 439297
439287 -> 439298
439288 -> 439299
439289 -> 439300
439290 -> 439301
439291 -> 439302
439292 -> 439303
439293 -> 439304
439294 -> 439305
439295 -> 439306
439296 -> 439307
439297 -> 439308
439298 -> 439309
439299 -> 439310
439300 -> 439311
439301 -> 439312
439302 -> 439313
439303 -> 439314
439293 -> 439315
439294 -> 439316
439295 -> 439317
439296 -> 439318
439297 -> 439319
439298 -> 439320
439299 -> 439321
439300 -> 439322
439301 -> 439323
439302 -> 439324
439303 -> 439325
439315 -> 439326
439316 -> 439327
439317 -> 439328
439318 -> 439329
439319 -> 439330
439320 -> 439331
439321 -> 439332
439322 -> 439333
439323 -> 439334
439324 -> 439335
439325 -> 439336
439326 -> 439337
439327 -> 439338
439328 -> 439339
439329 -> 439340
439330 -> 439341
439331 -> 439342
439332 -> 439343
439333 -> 439344
439334 -> 439345
439335 -> 439346
439336 -> 439347
439337 -> 439348
439338 -> 439349
439339 -> 439350
439340 -> 439351
439341 -> 439352
439342 -> 439353
439343 -> 439354
439344 -> 439355
439345 -> 439356
439346 -> 439357
439347 -> 439358
439348 -> 439359
439349 -> 439360
439350 -> 439361
439351 -> 439362
439352 -> 439363
439353 -> 439364
439354 -> 439365
439355 -> 439366
439356 -> 439367
439357 -> 439368
439358 -> 439369
439348 -> 439370
439349 -> 439371
439350 -> 439372
439351 -> 439373
439352 -> 439374
439353 -> 439375
439354 -> 439376
439355 -> 439377
439356 -> 439378
439357 -> 439379
439358 -> 439380
439370 -> 439381
439371 -> 439382
439372 -> 439383
439373 -> 439384
439374 -> 439385
