method: org.apache.fop.fonts.base14.HelveticaBoldOblique.hasChar:1966031883
547774 -> 547775
547776 -> 547777
547774 -> 547778
547775 -> 547779
547777 -> 547780
547778 -> 547781
547779 -> 547782
547780 -> 547783
547781 -> 547784
547782 -> 547785
547783 -> 547786
547784 -> 547787
547785 -> 547788
547786 -> 547789
547787 -> 547790
547788 -> 547791
547789 -> 547792
547790 -> 547793
547791 -> 547794
547792 -> 547795
547793 -> 547796
547791 -> 547797
547792 -> 547798
547793 -> 547799
547797 -> 547800
547798 -> 547801
547799 -> 547802
547800 -> 547803
547801 -> 547804
547802 -> 547805
547794 -> 547803
547795 -> 547804
547796 -> 547805
547803 -> 547806
547804 -> 547807
547805 -> 547808
547803 -> 547809
