method: org.apache.fop.fonts.truetype.TTFSubSetFile.createPrep:295273231
872968 -> 872969
872970 -> 872971
872972 -> 872973
872968 -> 872974
872968 -> 872975
872968 -> 872976
872968 -> 872977
872968 -> 872978
872969 -> 872979
872971 -> 872980
872973 -> 872981
872974 -> 872982
872975 -> 872983
872976 -> 872984
872977 -> 872985
872978 -> 872986
872979 -> 872987
872980 -> 872988
872981 -> 872989
872982 -> 872990
872983 -> 872991
872984 -> 872992
872985 -> 872993
872986 -> 872994
872987 -> 872995
872988 -> 872996
872989 -> 872997
872990 -> 872998
872991 -> 872999
872992 -> 873000
872993 -> 873001
872994 -> 873002
872995 -> 873003
872996 -> 873004
872997 -> 873005
872998 -> 873006
872999 -> 873007
873001 -> 873008
873002 -> 873009
873003 -> 873010
873004 -> 873011
873005 -> 873012
873006 -> 873013
873007 -> 873014
873015 -> 873016
873008 -> 873017
873009 -> 873018
873010 -> 873019
873011 -> 873020
873012 -> 873021
873014 -> 873022
873016 -> 873023
873016 -> 873024
873017 -> 873025
873018 -> 873026
873019 -> 873027
873020 -> 873028
873021 -> 873029
873023 -> 873030
873022 -> 873031
873024 -> 873032
873025 -> 873033
873026 -> 873034
873019 -> 873035
873020 -> 873036
873021 -> 873037
873023 -> 873038
873022 -> 873039
873024 -> 873040
873025 -> 873041
873026 -> 873042
873035 -> 873043
873036 -> 873044
873037 -> 873045
873038 -> 873046
873039 -> 873047
873040 -> 873048
873041 -> 873049
873042 -> 873050
873043 -> 873051
873044 -> 873052
873045 -> 873053
873046 -> 873054
873047 -> 873055
873048 -> 873056
873049 -> 873057
873050 -> 873058
873051 -> 873059
873052 -> 873060
873053 -> 873061
873054 -> 873062
873055 -> 873063
873056 -> 873064
873057 -> 873065
873058 -> 873066
873059 -> 873067
873060 -> 873068
873061 -> 873069
873062 -> 873070
873063 -> 873071
873064 -> 873072
873065 -> 873073
873066 -> 873074
873067 -> 873075
873068 -> 873076
873069 -> 873077
873070 -> 873078
873071 -> 873079
873072 -> 873080
873073 -> 873081
873074 -> 873082
873075 -> 873083
873076 -> 873084
873077 -> 873085
873078 -> 873086
873079 -> 873087
873080 -> 873088
873081 -> 873089
873082 -> 873090
873083 -> 873091
873084 -> 873092
873085 -> 873093
873086 -> 873094
873087 -> 873095
873088 -> 873096
873089 -> 873097
873090 -> 873098
873091 -> 873099
873092 -> 873100
873093 -> 873101
873094 -> 873102
873095 -> 873103
873096 -> 873104
873097 -> 873105
873098 -> 873106
873099 -> 873107
873100 -> 873108
873101 -> 873109
873102 -> 873110
873103 -> 873111
873104 -> 873112
873106 -> 873113
873107 -> 873114
873108 -> 873115
873109 -> 873116
873110 -> 873117
873111 -> 873118
873112 -> 873119
873120 -> 873121
873113 -> 873122
873114 -> 873123
873115 -> 873124
873116 -> 873125
873117 -> 873126
873118 -> 873127
873119 -> 873128
873121 -> 873129
873122 -> 873130
873123 -> 873131
873124 -> 873132
873125 -> 873133
873126 -> 873134
873127 -> 873135
873128 -> 873136
873129 -> 873137
873130 -> 873138
873131 -> 873139
873132 -> 873140
873133 -> 873141
873134 -> 873142
873135 -> 873143
873136 -> 873144
873137 -> 873145
873138 -> 873146
873139 -> 873147
873140 -> 873148
873141 -> 873149
873142 -> 873150
873143 -> 873151
873144 -> 873152
873145 -> 873153
