method: org.apache.fop.fonts.type1.AFMParser$FontBBox.parseBBox:895874973
0(895874973) -> 0(1983370742) 
this(895874973) -> this(1983370742) 
line(895874973) -> line(1983370742) 
0(895874973) -> $r0(1983370742) 
0(895874973) -> rect(1983370742) 
0(895874973) -> $r1(1983370742) 
0(895874973) -> $r2(1983370742) 
0(1983370742) -> 0(1270892060) 
this(1983370742) -> this(1270892060) 
line(1983370742) -> line(1270892060) 
$r0(1983370742) -> $r0(1270892060) 
rect(1983370742) -> rect(1270892060) 
$r1(1983370742) -> $r1(1270892060) 
$r2(1983370742) -> $r2(1270892060) 
0(1270892060) -> 0(1010499358) 
this(1270892060) -> this(1010499358) 
line(1270892060) -> line(1010499358) 
$r0(1270892060) -> $r0(1010499358) 
rect(1270892060) -> rect(1010499358) 
$r1(1270892060) -> $r1(1010499358) 
$r2(1270892060) -> $r2(1010499358) 
0(1010499358) -> 0(1162029430) 
this(1010499358) -> this(1162029430) 
line(1010499358) -> line(1162029430) 
$r0(1010499358) -> $r0(1162029430) 
rect(1010499358) -> rect(1162029430) 
$r1(1010499358) -> $r1(1162029430) 
$r2(1010499358) -> $r2(1162029430) 
0(1162029430) -> 0(2103383410) 
this(1162029430) -> this(2103383410) 
line(1162029430) -> line(2103383410) 
rect(1162029430) -> rect(2103383410) 
$r1(1162029430) -> $r1(2103383410) 
$r2(1162029430) -> $r2(2103383410) 
0(2103383410) -> 0(1836658603) 
this(2103383410) -> this(1836658603) 
line(2103383410) -> line(1836658603) 
$r0(2103383410) -> $r0(1836658603) 
rect(2103383410) -> rect(1836658603) 
$r1(2103383410) -> $r1(1836658603) 
$r2(2103383410) -> $r2(1836658603) 
0(1836658603) -> 0(2125158527) 
this(1836658603) -> this(2125158527) 
line(1836658603) -> line(2125158527) 
$r0(1836658603) -> rect(2125158527) 
$r0(1836658603) -> $r0(2125158527) 
$r1(1836658603) -> $r1(2125158527) 
$r2(1836658603) -> $r2(2125158527) 
0(2125158527) -> 0(-2125158527) 
this(2125158527) -> this(-2125158527) 
line(2125158527) -> line(-2125158527) 
$r0(2125158527) -> $r0(-2125158527) 
rect(2125158527) -> rect(-2125158527) 
$r1(2125158527) -> $r1(-2125158527) 
$r2(2125158527) -> $r2(-2125158527) 
0(-2125158527) -> 0(1058075571) 
this(-2125158527) -> this(1058075571) 
line(-2125158527) -> line(1058075571) 
$r0(-2125158527) -> $r0(1058075571) 
rect(-2125158527) -> rect(1058075571) 
$r1(-2125158527) -> $r1(1058075571) 
$r2(-2125158527) -> $r2(1058075571) 
0(1058075571) -> 0(-1058075571) 
this(1058075571) -> this(-1058075571) 
line(1058075571) -> line(-1058075571) 
$r0(1058075571) -> $r0(-1058075571) 
rect(1058075571) -> rect(-1058075571) 
$r2(1058075571) -> $r2(-1058075571) 
0(-1058075571) -> 0(1911524637) 
this(-1058075571) -> this(1911524637) 
line(-1058075571) -> line(1911524637) 
$r0(-1058075571) -> $r0(1911524637) 
rect(-1058075571) -> rect(1911524637) 
$r1(-1058075571) -> $r1(1911524637) 
$r2(-1058075571) -> $r2(1911524637) 
0(1911524637) -> 0(-1911524637) 
this(1911524637) -> this(-1911524637) 
line(1911524637) -> line(-1911524637) 
$r0(1911524637) -> $r0(-1911524637) 
rect(1911524637) -> rect(-1911524637) 
$r1(1911524637) -> $r1(-1911524637) 
$r2(1911524637) -> $r2(-1911524637) 
0(-1911524637) -> 0(639214939) 
this(-1911524637) -> this(639214939) 
line(-1911524637) -> line(639214939) 
$r0(-1911524637) -> $r0(639214939) 
rect(-1911524637) -> rect(639214939) 
$r1(-1911524637) -> $r1(639214939) 
$r2(-1911524637) -> $r2(639214939) 
0(639214939) -> 0(214296510) 
this(639214939) -> this(214296510) 
line(639214939) -> line(214296510) 
$r0(639214939) -> $r0(214296510) 
rect(639214939) -> rect(214296510) 
$r1(639214939) -> $r1(214296510) 
$r2(639214939) -> $r2(214296510) 
