method: org.apache.fop.fonts.type1.AFMParser$KPXHandler.parse:1572388787
890421 -> 890422
890423 -> 890424
890425 -> 890426
890427 -> 890428
890421 -> 890429
890421 -> 890430
890421 -> 890431
890421 -> 890432
890421 -> 890433
890422 -> 890434
890424 -> 890435
890426 -> 890436
890428 -> 890437
890429 -> 890438
890430 -> 890439
890431 -> 890440
890432 -> 890441
890433 -> 890442
890434 -> 890443
890435 -> 890444
890436 -> 890445
890437 -> 890446
890438 -> 890447
890439 -> 890448
890440 -> 890449
890441 -> 890450
890442 -> 890451
890443 -> 890452
890444 -> 890453
890445 -> 890454
890446 -> 890455
890447 -> 890456
890448 -> 890457
890449 -> 890458
890450 -> 890459
890451 -> 890460
890452 -> 890461
890453 -> 890462
890454 -> 890463
890455 -> 890464
890456 -> 890465
890457 -> 890466
890458 -> 890467
890459 -> 890468
890460 -> 890469
890461 -> 890470
890462 -> 890471
890463 -> 890472
890464 -> 890473
890465 -> 890474
890466 -> 890475
890467 -> 890476
890469 -> 890477
890470 -> 890478
890471 -> 890479
890472 -> 890480
890473 -> 890481
890474 -> 890482
890475 -> 890483
890476 -> 890484
890485 -> 890486
890477 -> 890487
890478 -> 890488
890479 -> 890489
890480 -> 890490
890481 -> 890491
890483 -> 890492
890484 -> 890493
890486 -> 890494
890486 -> 890495
890487 -> 890496
890488 -> 890497
890489 -> 890498
890490 -> 890499
890491 -> 890500
890494 -> 890501
890492 -> 890502
890493 -> 890503
890495 -> 890504
890496 -> 890505
890497 -> 890506
890498 -> 890507
890499 -> 890508
890500 -> 890509
890501 -> 890510
890502 -> 890511
890503 -> 890512
890504 -> 890513
890505 -> 890514
890506 -> 890515
890507 -> 890516
890508 -> 890517
890509 -> 890518
890510 -> 890519
890512 -> 890520
890513 -> 890521
890514 -> 890522
890515 -> 890523
890516 -> 890524
890517 -> 890525
890518 -> 890526
890519 -> 890527
890528 -> 890529
890520 -> 890530
890521 -> 890531
890522 -> 890532
890523 -> 890533
890524 -> 890534
890525 -> 890535
890526 -> 890536
890527 -> 890537
890529 -> 890538
890530 -> 890539
890531 -> 890540
890532 -> 890541
890533 -> 890542
890534 -> 890543
890535 -> 890544
890536 -> 890545
890537 -> 890546
890538 -> 890547
890539 -> 890548
890540 -> 890549
890541 -> 890550
890542 -> 890551
890543 -> 890552
890544 -> 890553
890545 -> 890554
890546 -> 890555
890547 -> 890556
890548 -> 890557
890549 -> 890558
890550 -> 890559
890551 -> 890560
890552 -> 890561
890553 -> 890562
890554 -> 890563
890555 -> 890564
890556 -> 890565
890557 -> 890566
890558 -> 890567
890559 -> 890568
890560 -> 890569
890561 -> 890570
890562 -> 890571
890563 -> 890572
890564 -> 890573
890565 -> 890574
890567 -> 890575
890568 -> 890576
890569 -> 890577
890570 -> 890578
890571 -> 890579
890572 -> 890580
890573 -> 890581
890574 -> 890582
890583 -> 890584
890575 -> 890585
890576 -> 890586
890577 -> 890587
890578 -> 890588
890579 -> 890589
890580 -> 890590
890581 -> 890591
890582 -> 890592
890584 -> 890593
890585 -> 890594
890586 -> 890595
890587 -> 890596
890588 -> 890597
890589 -> 890598
890590 -> 890599
890591 -> 890600
890592 -> 890601
890593 -> 890602
890594 -> 890603
890595 -> 890604
890596 -> 890605
890597 -> 890606
890598 -> 890607
890599 -> 890608
890600 -> 890609
890601 -> 890610
890602 -> 890611
890603 -> 890612
890604 -> 890613
890605 -> 890614
890606 -> 890615
890607 -> 890616
890608 -> 890617
890609 -> 890618
890610 -> 890619
890611 -> 890620
890612 -> 890621
890613 -> 890622
890614 -> 890623
890615 -> 890624
890616 -> 890625
890617 -> 890626
890618 -> 890627
890619 -> 890628
890620 -> 890629
890621 -> 890630
890623 -> 890631
890624 -> 890632
890625 -> 890633
890626 -> 890634
890627 -> 890635
890628 -> 890636
890629 -> 890637
890630 -> 890638
890639 -> 890640
890631 -> 890641
890632 -> 890642
890633 -> 890643
890634 -> 890644
890635 -> 890645
890636 -> 890646
890637 -> 890647
890638 -> 890648
890640 -> 890649
890641 -> 890650
890642 -> 890651
890643 -> 890652
890644 -> 890653
890645 -> 890654
890646 -> 890655
890647 -> 890656
890648 -> 890657
890649 -> 890658
890650 -> 890659
890651 -> 890660
890652 -> 890661
890653 -> 890662
890654 -> 890663
890655 -> 890664
890656 -> 890665
890657 -> 890666
890658 -> 890667
890659 -> 890668
890660 -> 890669
890661 -> 890670
890662 -> 890671
890663 -> 890672
890664 -> 890673
890665 -> 890674
890666 -> 890675
890667 -> 890676
890668 -> 890677
890669 -> 890678
890670 -> 890679
890671 -> 890680
890672 -> 890681
890673 -> 890682
890674 -> 890683
890675 -> 890684
890676 -> 890685
890668 -> 890686
