method: org.apache.fop.fonts.type1.AFMParser$WritingDirBooleanSetter.getContextObject:1027995444
0(1027995444) -> 0(163493589) 
this(1027995444) -> this(163493589) 
stack(1027995444) -> stack(163493589) 
0(1027995444) -> afm(163493589) 
0(1027995444) -> wdm(163493589) 
0(1027995444) -> $r0(163493589) 
0(1027995444) -> $r1(163493589) 
0(163493589) -> 0(1205165810) 
this(163493589) -> this(1205165810) 
stack(163493589) -> stack(1205165810) 
afm(163493589) -> afm(1205165810) 
wdm(163493589) -> wdm(1205165810) 
$r0(163493589) -> $r0(1205165810) 
$r1(163493589) -> $r1(1205165810) 
0(1205165810) -> 0(2132810622) 
this(1205165810) -> this(2132810622) 
stack(1205165810) -> stack(2132810622) 
afm(1205165810) -> afm(2132810622) 
wdm(1205165810) -> wdm(2132810622) 
$r0(1205165810) -> $r0(2132810622) 
$r1(1205165810) -> $r1(2132810622) 
0(2132810622) -> 0(-2132810622) 
this(2132810622) -> this(-2132810622) 
stack(2132810622) -> stack(-2132810622) 
afm(2132810622) -> afm(-2132810622) 
wdm(2132810622) -> wdm(-2132810622) 
$r1(2132810622) -> $r1(-2132810622) 
0(-2132810622) -> 0(351088230) 
this(-2132810622) -> this(351088230) 
stack(-2132810622) -> stack(351088230) 
afm(-2132810622) -> afm(351088230) 
wdm(-2132810622) -> wdm(351088230) 
$r0(-2132810622) -> $r0(351088230) 
$r1(-2132810622) -> $r1(351088230) 
0(351088230) -> 0(1602303301) 
this(351088230) -> this(1602303301) 
stack(351088230) -> stack(1602303301) 
afm(351088230) -> afm(1602303301) 
wdm(351088230) -> wdm(1602303301) 
$r0(351088230) -> $r0(1602303301) 
$r1(351088230) -> $r1(1602303301) 
0(1602303301) -> 0(81117403) 
this(1602303301) -> this(81117403) 
stack(1602303301) -> stack(81117403) 
afm(1602303301) -> afm(81117403) 
wdm(1602303301) -> wdm(81117403) 
$r0(1602303301) -> $r0(81117403) 
$r1(1602303301) -> $r1(81117403) 
0(1602303301) -> 0(317900445) 
this(1602303301) -> this(317900445) 
stack(1602303301) -> stack(317900445) 
afm(1602303301) -> afm(317900445) 
wdm(1602303301) -> wdm(317900445) 
$r0(1602303301) -> $r0(317900445) 
$r1(1602303301) -> $r1(317900445) 
0(317900445) -> 0(-317900445) 
this(317900445) -> this(-317900445) 
stack(317900445) -> stack(-317900445) 
afm(317900445) -> afm(-317900445) 
wdm(317900445) -> wdm(-317900445) 
$r1(317900445) -> $r1(-317900445) 
0(-317900445) -> 0(13465379) 
this(-317900445) -> this(13465379) 
stack(-317900445) -> stack(13465379) 
afm(-317900445) -> afm(13465379) 
wdm(-317900445) -> wdm(13465379) 
$r0(-317900445) -> $r0(13465379) 
$r1(-317900445) -> $r1(13465379) 
0(13465379) -> 0(826841918) 
this(13465379) -> this(826841918) 
stack(13465379) -> stack(826841918) 
afm(13465379) -> afm(826841918) 
wdm(13465379) -> wdm(826841918) 
$r0(13465379) -> $r1(826841918) 
$r0(13465379) -> $r0(826841918) 
0(826841918) -> 0(-1027995444) 
this(826841918) -> this(-1027995444) 
stack(826841918) -> stack(-1027995444) 
afm(826841918) -> afm(-1027995444) 
wdm(826841918) -> wdm(-1027995444) 
$r0(826841918) -> $r0(-1027995444) 
$r1(826841918) -> $r1(-1027995444) 
$r1(826841918) -> .return(-1027995444) 
0(81117403) -> 0(-81117403) 
this(81117403) -> this(-81117403) 
stack(81117403) -> stack(-81117403) 
afm(81117403) -> afm(-81117403) 
wdm(81117403) -> wdm(-81117403) 
$r1(81117403) -> $r1(-81117403) 
0(-81117403) -> 0(1654717406) 
this(-81117403) -> this(1654717406) 
stack(-81117403) -> stack(1654717406) 
afm(-81117403) -> afm(1654717406) 
wdm(-81117403) -> wdm(1654717406) 
$r0(-81117403) -> $r0(1654717406) 
$r1(-81117403) -> $r1(1654717406) 
0(1654717406) -> 0(1198140816) 
this(1654717406) -> this(1198140816) 
stack(1654717406) -> stack(1198140816) 
wdm(1654717406) -> wdm(1198140816) 
$r0(1654717406) -> afm(1198140816) 
$r0(1654717406) -> $r0(1198140816) 
$r1(1654717406) -> $r1(1198140816) 
0(1198140816) -> 0(-1198140816) 
this(1198140816) -> this(-1198140816) 
stack(1198140816) -> stack(-1198140816) 
afm(1198140816) -> afm(-1198140816) 
$r0(1198140816) -> $r0(-1198140816) 
$r1(1198140816) -> $r1(-1198140816) 
0(-1198140816) -> 0(1762414760) 
this(-1198140816) -> this(1762414760) 
stack(-1198140816) -> stack(1762414760) 
afm(-1198140816) -> afm(1762414760) 
wdm(-1198140816) -> wdm(1762414760) 
$r0(-1198140816) -> $r0(1762414760) 
$r1(-1198140816) -> $r1(1762414760) 
0(1762414760) -> 0(1875308755) 
this(1762414760) -> this(1875308755) 
stack(1762414760) -> stack(1875308755) 
afm(1762414760) -> afm(1875308755) 
wdm(1762414760) -> wdm(1875308755) 
$r0(1762414760) -> $r0(1875308755) 
$r1(1762414760) -> $r1(1875308755) 
0(1762414760) -> 0(662928249) 
this(1762414760) -> this(662928249) 
stack(1762414760) -> stack(662928249) 
afm(1762414760) -> afm(662928249) 
wdm(1762414760) -> wdm(662928249) 
$r0(1762414760) -> $r0(662928249) 
$r1(1762414760) -> $r1(662928249) 
0(662928249) -> 0(1226389596) 
this(662928249) -> this(1226389596) 
stack(662928249) -> stack(1226389596) 
afm(662928249) -> afm(1226389596) 
wdm(662928249) -> wdm(1226389596) 
$r0(662928249) -> $r0(1226389596) 
0(1226389596) -> 0(381896066) 
this(1226389596) -> this(381896066) 
stack(1226389596) -> stack(381896066) 
afm(1226389596) -> afm(381896066) 
wdm(1226389596) -> wdm(381896066) 
$r0(1226389596) -> $r0(381896066) 
$r1(1226389596) -> $r1(381896066) 
0(381896066) -> 0(111553821) 
this(381896066) -> this(111553821) 
stack(381896066) -> stack(111553821) 
afm(381896066) -> afm(111553821) 
$r0(381896066) -> $r0(111553821) 
$r1(381896066) -> wdm(111553821) 
$r1(381896066) -> $r1(111553821) 
0(111553821) -> 0(1875308755) 
this(111553821) -> this(1875308755) 
stack(111553821) -> stack(1875308755) 
afm(111553821) -> afm(1875308755) 
wdm(111553821) -> wdm(1875308755) 
$r0(111553821) -> $r0(1875308755) 
$r1(111553821) -> $r1(1875308755) 
0(1875308755) -> 0(-1027995444) 
this(1875308755) -> this(-1027995444) 
stack(1875308755) -> stack(-1027995444) 
afm(1875308755) -> afm(-1027995444) 
wdm(1875308755) -> wdm(-1027995444) 
$r0(1875308755) -> $r0(-1027995444) 
$r1(1875308755) -> $r1(-1027995444) 
wdm(1875308755) -> .return(-1027995444) 
