method: org.apache.fop.hyphenation.ByteVector.trimToSize:1076321021
920200 -> 920201
920202 -> 920203
920200 -> 920204
920200 -> 920205
920200 -> 920206
920201 -> 920207
920203 -> 920208
920204 -> 920209
920205 -> 920210
920206 -> 920211
920207 -> 920212
920208 -> 920213
920209 -> 920214
920210 -> 920215
920211 -> 920216
920212 -> 920217
920213 -> 920218
920214 -> 920219
920215 -> 920220
920216 -> 920221
920217 -> 920222
920218 -> 920223
920219 -> 920224
920220 -> 920225
920221 -> 920226
920222 -> 920227
920223 -> 920228
920224 -> 920229
920225 -> 920230
920226 -> 920231
920222 -> 920232
920223 -> 920233
920224 -> 920234
920225 -> 920235
920226 -> 920236
920232 -> 920237
920233 -> 920238
920234 -> 920239
920235 -> 920240
920236 -> 920241
920237 -> 920242
920238 -> 920243
920240 -> 920244
920241 -> 920245
920242 -> 920246
920243 -> 920247
920248 -> 920249
920244 -> 920250
920245 -> 920251
920246 -> 920252
920247 -> 920253
920249 -> 920254
920250 -> 920255
920251 -> 920256
920252 -> 920257
920253 -> 920258
920254 -> 920259
920255 -> 920260
920256 -> 920261
920257 -> 920227
920258 -> 920228
920259 -> 920229
920260 -> 920230
920261 -> 920231
920227 -> 920262
920228 -> 920263
920229 -> 920264
920230 -> 920265
920231 -> 920266
920227 -> 920267
