method: org.apache.fop.hyphenation.TernaryTree$Iterator.nextElement:1127175694
0(1127175694) -> 0(2100258358) 
this(1127175694) -> this(2100258358) 
0(1127175694) -> $r0(2100258358) 
0(1127175694) -> res(2100258358) 
0(1127175694) -> $r1(2100258358) 
0(2100258358) -> 0(853517167) 
this(2100258358) -> this(853517167) 
$r0(2100258358) -> $r0(853517167) 
res(2100258358) -> res(853517167) 
$r1(2100258358) -> $r1(853517167) 
0(853517167) -> 0(2083117080) 
this(853517167) -> this(2083117080) 
res(853517167) -> res(2083117080) 
$r1(853517167) -> $r1(2083117080) 
0(2083117080) -> 0(522866519) 
this(2083117080) -> this(522866519) 
$r0(2083117080) -> $r0(522866519) 
res(2083117080) -> res(522866519) 
$r1(2083117080) -> $r1(522866519) 
0(522866519) -> 0(314501309) 
this(522866519) -> this(314501309) 
$r0(522866519) -> $r0(314501309) 
res(522866519) -> res(314501309) 
$r1(522866519) -> $r1(314501309) 
0(314501309) -> 0(1970755843) 
this(314501309) -> this(1970755843) 
$r0(314501309) -> res(1970755843) 
$r0(314501309) -> $r0(1970755843) 
$r1(314501309) -> $r1(1970755843) 
0(1970755843) -> 0(-1970755843) 
this(1970755843) -> this(-1970755843) 
$r0(1970755843) -> $r0(-1970755843) 
res(1970755843) -> res(-1970755843) 
$r1(1970755843) -> $r1(-1970755843) 
0(-1970755843) -> 0(1853165620) 
this(-1970755843) -> this(1853165620) 
$r0(-1970755843) -> $r0(1853165620) 
res(-1970755843) -> res(1853165620) 
$r1(-1970755843) -> $r1(1853165620) 
0(1853165620) -> 0(1283779597) 
this(1853165620) -> this(1283779597) 
$r0(1853165620) -> $r0(1283779597) 
res(1853165620) -> res(1283779597) 
$r1(1853165620) -> $r1(1283779597) 
0(1283779597) -> 0(1792310831) 
this(1283779597) -> this(1792310831) 
$r0(1283779597) -> $r0(1792310831) 
res(1283779597) -> res(1792310831) 
$r1(1283779597) -> $r1(1792310831) 
0(1792310831) -> 0(-1127175694) 
this(1792310831) -> this(-1127175694) 
$r0(1792310831) -> $r0(-1127175694) 
res(1792310831) -> res(-1127175694) 
$r1(1792310831) -> $r1(-1127175694) 
res(1792310831) -> .return(-1127175694) 
