method: org.apache.fop.image.loader.batik.ImageConverterWMF2G2D.<clinit>:1568369485
963500 -> 963501
963500 -> 963502
963500 -> 963503
963501 -> 963504
963502 -> 963505
963503 -> 963506
963504 -> 963507
963505 -> 963508
963506 -> 963509
963504 -> 963510
963505 -> 963511
963506 -> 963512
963510 -> 963513
963512 -> 963514
963513 -> 963515
963516 -> 963517
963514 -> 963518
963515 -> 963519
963517 -> 963520
963518 -> 963521
963519 -> 963522
963520 -> 963523
963521 -> 963524
963507 -> 963522
963508 -> 963523
963509 -> 963524
963522 -> 963525
963523 -> 963526
963525 -> 963527
963526 -> 963528
963529 -> 963530
963527 -> 963531
963528 -> 963532
963530 -> 963533
963531 -> 963534
963532 -> 963535
963533 -> 963536
963531 -> 963537
