method: org.apache.fop.image.loader.batik.PreloaderSVG$Loader.<init>:624879090
0(624879090) -> 0(334093127) 
this(624879090) -> this(334093127) 
this$0(624879090) -> this$0(334093127) 
0(334093127) -> 0(1580932231) 
this(334093127) -> this(1580932231) 
this$0(334093127) -> this$0(1580932231) 
0(1580932231) -> 0(1660579734) 
this(1580932231) -> this(1660579734) 
this$0(1580932231) -> this$0(1660579734) 
0(1660579734) -> 0(527695471) 
this(1660579734) -> this(527695471) 
this$0(1660579734) -> this$0(527695471) 
0(527695471) -> 0(2017802634) 
this(527695471) -> this(2017802634) 
this$0(527695471) -> this$0(2017802634) 
0(2017802634) -> 0(-624879090) 
this(2017802634) -> this(-624879090) 
this$0(2017802634) -> this$0(-624879090) 
0(2017802634) -> .return(-624879090) 
