method: org.apache.fop.layoutmgr.AbstractBaseLayoutManager.<init>:1136290988
972118 -> 972119
972120 -> 972121
972122 -> 972123
972119 -> 972124
972121 -> 972125
972123 -> 972126
972124 -> 972127
972125 -> 972128
972126 -> 972129
972127 -> 972130
972128 -> 972131
972129 -> 972132
972130 -> 972133
972131 -> 972134
972132 -> 972135
972133 -> 972136
972134 -> 972137
972135 -> 972138
972136 -> 972139
972137 -> 972140
972138 -> 972141
972139 -> 972142
972140 -> 972143
972141 -> 972144
972142 -> 972145
972143 -> 972146
972144 -> 972147
972145 -> 972148
972146 -> 972149
972147 -> 972150
972148 -> 972151
972149 -> 972152
972150 -> 972153
972151 -> 972154
972152 -> 972155
972153 -> 972156
972154 -> 972157
972155 -> 972158
972156 -> 972159
972157 -> 972160
972158 -> 972161
972159 -> 972162
972157 -> 972163
972158 -> 972164
972159 -> 972165
972163 -> 972160
972164 -> 972161
972165 -> 972162
972160 -> 972166
972161 -> 972167
972162 -> 972168
972160 -> 972169
