method: org.apache.fop.layoutmgr.BlockContainerLayoutManager$BlockContainerBreaker.addAreas:1118848541
1008958 -> 1008959
1008960 -> 1008961
1008962 -> 1008963
1008964 -> 1008965
1008958 -> 1008966
1008959 -> 1008967
1008961 -> 1008968
1008963 -> 1008969
1008965 -> 1008970
1008966 -> 1008971
1008967 -> 1008972
1008968 -> 1008973
1008969 -> 1008974
1008970 -> 1008975
1008971 -> 1008976
1008972 -> 1008977
1008973 -> 1008978
1008974 -> 1008979
1008975 -> 1008980
1008976 -> 1008981
1008977 -> 1008982
1008978 -> 1008983
1008979 -> 1008984
1008980 -> 1008985
1008981 -> 1008986
1008982 -> 1008987
1008983 -> 1008988
1008984 -> 1008989
1008985 -> 1008990
1008986 -> 1008991
1008987 -> 1008992
1008988 -> 1008993
1008989 -> 1008994
1008990 -> 1008995
1008991 -> 1008996
1008987 -> 1008997
