method: org.apache.fop.layoutmgr.BlockStackingLayoutManager.addKnuthElementsForSpaceBefore:2036558785
0(2036558785) -> 0(152880460) 
this(2036558785) -> this(152880460) 
returnList(2036558785) -> returnList(152880460) 
0(2036558785) -> spaceBefore(152880460) 
0(2036558785) -> $r0(152880460) 
0(2036558785) -> $r1(152880460) 
0(2036558785) -> $r2(152880460) 
0(2036558785) -> $r3(152880460) 
0(2036558785) -> $r4(152880460) 
0(152880460) -> 0(1071449408) 
this(152880460) -> this(1071449408) 
returnList(152880460) -> returnList(1071449408) 
spaceBefore(152880460) -> spaceBefore(1071449408) 
$r0(152880460) -> $r0(1071449408) 
$r1(152880460) -> $r1(1071449408) 
$r2(152880460) -> $r2(1071449408) 
$r3(152880460) -> $r3(1071449408) 
$r4(152880460) -> $r4(1071449408) 
0(1071449408) -> 0(1199820161) 
this(1071449408) -> this(1199820161) 
returnList(1071449408) -> returnList(1199820161) 
spaceBefore(1071449408) -> spaceBefore(1199820161) 
$r0(1071449408) -> $r0(1199820161) 
$r1(1071449408) -> $r1(1199820161) 
$r2(1071449408) -> $r2(1199820161) 
$r3(1071449408) -> $r3(1199820161) 
$r4(1071449408) -> $r4(1199820161) 
0(1199820161) -> 0(705451900) 
this(1199820161) -> this(705451900) 
returnList(1199820161) -> returnList(705451900) 
spaceBefore(1199820161) -> spaceBefore(705451900) 
$r0(1199820161) -> $r0(705451900) 
$r1(1199820161) -> $r1(705451900) 
$r2(1199820161) -> $r2(705451900) 
$r3(1199820161) -> $r3(705451900) 
$r4(1199820161) -> $r4(705451900) 
0(705451900) -> 0(-705451900) 
this(705451900) -> this(-705451900) 
returnList(705451900) -> returnList(-705451900) 
$r0(705451900) -> $r0(-705451900) 
$r1(705451900) -> $r1(-705451900) 
$r2(705451900) -> $r2(-705451900) 
$r3(705451900) -> $r3(-705451900) 
$r4(705451900) -> $r4(-705451900) 
0(-705451900) -> 0(1218469546) 
this(-705451900) -> this(1218469546) 
returnList(-705451900) -> returnList(1218469546) 
spaceBefore(-705451900) -> spaceBefore(1218469546) 
$r0(-705451900) -> $r0(1218469546) 
$r1(-705451900) -> $r1(1218469546) 
$r2(-705451900) -> $r2(1218469546) 
$r3(-705451900) -> $r3(1218469546) 
$r4(-705451900) -> $r4(1218469546) 
0(1218469546) -> 0(242830161) 
this(1218469546) -> this(242830161) 
returnList(1218469546) -> returnList(242830161) 
spaceBefore(1218469546) -> spaceBefore(242830161) 
$r0(1218469546) -> $r0(242830161) 
$r1(1218469546) -> $r1(242830161) 
$r2(1218469546) -> $r2(242830161) 
$r3(1218469546) -> $r3(242830161) 
$r4(1218469546) -> $r4(242830161) 
0(1218469546) -> 0(1911616627) 
this(1218469546) -> this(1911616627) 
returnList(1218469546) -> returnList(1911616627) 
spaceBefore(1218469546) -> spaceBefore(1911616627) 
$r0(1218469546) -> $r0(1911616627) 
$r1(1218469546) -> $r1(1911616627) 
$r2(1218469546) -> $r2(1911616627) 
$r3(1218469546) -> $r3(1911616627) 
$r4(1218469546) -> $r4(1911616627) 
0(1911616627) -> 0(-1911616627) 
this(1911616627) -> this(-1911616627) 
returnList(1911616627) -> returnList(-1911616627) 
spaceBefore(1911616627) -> spaceBefore(-1911616627) 
$r0(1911616627) -> $r0(-1911616627) 
$r2(1911616627) -> $r2(-1911616627) 
$r3(1911616627) -> $r3(-1911616627) 
$r4(1911616627) -> $r4(-1911616627) 
0(-1911616627) -> 0(37807222) 
this(-1911616627) -> this(37807222) 
returnList(-1911616627) -> returnList(37807222) 
spaceBefore(-1911616627) -> spaceBefore(37807222) 
$r0(-1911616627) -> $r0(37807222) 
$r1(-1911616627) -> $r1(37807222) 
$r2(-1911616627) -> $r2(37807222) 
$r3(-1911616627) -> $r3(37807222) 
$r4(-1911616627) -> $r4(37807222) 
0(37807222) -> 0(-37807222) 
this(37807222) -> this(-37807222) 
returnList(37807222) -> returnList(-37807222) 
spaceBefore(37807222) -> spaceBefore(-37807222) 
$r0(37807222) -> $r0(-37807222) 
$r1(37807222) -> $r1(-37807222) 
$r3(37807222) -> $r3(-37807222) 
$r4(37807222) -> $r4(-37807222) 
0(-37807222) -> 0(768192812) 
this(-37807222) -> this(768192812) 
returnList(-37807222) -> returnList(768192812) 
spaceBefore(-37807222) -> spaceBefore(768192812) 
$r0(-37807222) -> $r0(768192812) 
$r1(-37807222) -> $r1(768192812) 
$r2(-37807222) -> $r2(768192812) 
$r3(-37807222) -> $r3(768192812) 
$r4(-37807222) -> $r4(768192812) 
0(768192812) -> 0(-768192812) 
this(768192812) -> this(-768192812) 
returnList(768192812) -> returnList(-768192812) 
spaceBefore(768192812) -> spaceBefore(-768192812) 
$r0(768192812) -> $r0(-768192812) 
$r1(768192812) -> $r1(-768192812) 
$r2(768192812) -> $r2(-768192812) 
$r3(768192812) -> $r3(-768192812) 
$r4(768192812) -> $r4(-768192812) 
0(-768192812) -> 0(344905520) 
this(-768192812) -> this(344905520) 
returnList(-768192812) -> returnList(344905520) 
spaceBefore(-768192812) -> spaceBefore(344905520) 
$r0(-768192812) -> $r0(344905520) 
$r1(-768192812) -> $r1(344905520) 
$r2(-768192812) -> $r2(344905520) 
$r3(-768192812) -> $r3(344905520) 
$r4(-768192812) -> $r4(344905520) 
0(344905520) -> 0(191572200) 
this(344905520) -> this(191572200) 
returnList(344905520) -> returnList(191572200) 
spaceBefore(344905520) -> spaceBefore(191572200) 
$r0(344905520) -> $r0(191572200) 
$r1(344905520) -> $r1(191572200) 
$r2(344905520) -> $r2(191572200) 
$r3(344905520) -> $r3(191572200) 
$r4(344905520) -> $r4(191572200) 
0(344905520) -> 0(1216432398) 
this(344905520) -> this(1216432398) 
returnList(344905520) -> returnList(1216432398) 
spaceBefore(344905520) -> spaceBefore(1216432398) 
$r0(344905520) -> $r0(1216432398) 
$r1(344905520) -> $r1(1216432398) 
$r2(344905520) -> $r2(1216432398) 
$r3(344905520) -> $r3(1216432398) 
$r4(344905520) -> $r4(1216432398) 
0(1216432398) -> 0(-1216432398) 
this(1216432398) -> this(-1216432398) 
returnList(1216432398) -> returnList(-1216432398) 
spaceBefore(1216432398) -> spaceBefore(-1216432398) 
$r0(1216432398) -> $r0(-1216432398) 
$r2(1216432398) -> $r2(-1216432398) 
$r3(1216432398) -> $r3(-1216432398) 
$r4(1216432398) -> $r4(-1216432398) 
0(-1216432398) -> 0(534993746) 
this(-1216432398) -> this(534993746) 
returnList(-1216432398) -> returnList(534993746) 
spaceBefore(-1216432398) -> spaceBefore(534993746) 
$r0(-1216432398) -> $r0(534993746) 
$r1(-1216432398) -> $r1(534993746) 
$r2(-1216432398) -> $r2(534993746) 
$r3(-1216432398) -> $r3(534993746) 
$r4(-1216432398) -> $r4(534993746) 
0(534993746) -> 0(-534993746) 
this(534993746) -> this(-534993746) 
returnList(534993746) -> returnList(-534993746) 
spaceBefore(534993746) -> spaceBefore(-534993746) 
$r0(534993746) -> $r0(-534993746) 
$r1(534993746) -> $r1(-534993746) 
$r3(534993746) -> $r3(-534993746) 
$r4(534993746) -> $r4(-534993746) 
0(-534993746) -> 0(41375336) 
