method: org.apache.fop.layoutmgr.BlockStackingLayoutManager$StackingIter.getLM:224650352
1060180 -> 1060181
1060182 -> 1060183
1060184 -> 1060185
1060180 -> 1060186
1060180 -> 1060187
1060181 -> 1060188
1060183 -> 1060189
1060185 -> 1060190
1060186 -> 1060191
1060187 -> 1060192
1060188 -> 1060193
1060189 -> 1060194
1060190 -> 1060195
1060191 -> 1060196
1060192 -> 1060197
1060193 -> 1060198
1060194 -> 1060199
1060195 -> 1060200
1060195 -> 1060201
1060197 -> 1060202
1060198 -> 1060203
1060199 -> 1060204
1060201 -> 1060205
1060200 -> 1060206
1060203 -> 1060207
1060204 -> 1060208
1060205 -> 1060209
1060206 -> 1060210
1060211 -> 1060212
1060207 -> 1060213
1060208 -> 1060214
1060209 -> 1060215
1060210 -> 1060216
1060212 -> 1060217
1060212 -> 1060218
