method: org.apache.fop.layoutmgr.BreakingAlgorithm.findContextFO:624145848
0(624145848) -> 0(85826220) 
this(624145848) -> this(85826220) 
seq(624145848) -> seq(85826220) 
0(624145848) -> el(85826220) 
0(624145848) -> pos(85826220) 
0(624145848) -> lm(85826220) 
0(624145848) -> $r0(85826220) 
0(624145848) -> $r1(85826220) 
0(624145848) -> $r2(85826220) 
0(624145848) -> $r3(85826220) 
0(85826220) -> 0(1519752403) 
this(85826220) -> this(1519752403) 
seq(85826220) -> seq(1519752403) 
el(85826220) -> el(1519752403) 
pos(85826220) -> pos(1519752403) 
lm(85826220) -> lm(1519752403) 
$r0(85826220) -> $r0(1519752403) 
$r1(85826220) -> $r1(1519752403) 
$r2(85826220) -> $r2(1519752403) 
$r3(85826220) -> $r3(1519752403) 
0(1519752403) -> 0(308139803) 
this(1519752403) -> this(308139803) 
seq(1519752403) -> seq(308139803) 
el(1519752403) -> el(308139803) 
pos(1519752403) -> pos(308139803) 
lm(1519752403) -> lm(308139803) 
$r0(1519752403) -> $r0(308139803) 
$r1(1519752403) -> $r1(308139803) 
$r2(1519752403) -> $r2(308139803) 
$r3(1519752403) -> $r3(308139803) 
0(308139803) -> 0(637406807) 
this(308139803) -> this(637406807) 
seq(308139803) -> seq(637406807) 
el(308139803) -> el(637406807) 
pos(308139803) -> pos(637406807) 
lm(308139803) -> lm(637406807) 
$r0(308139803) -> $r0(637406807) 
$r1(308139803) -> $r1(637406807) 
$r2(308139803) -> $r2(637406807) 
$r3(308139803) -> $r3(637406807) 
0(637406807) -> 0(-637406807) 
this(637406807) -> this(-637406807) 
seq(637406807) -> seq(-637406807) 
pos(637406807) -> pos(-637406807) 
lm(637406807) -> lm(-637406807) 
$r0(637406807) -> $r0(-637406807) 
$r1(637406807) -> $r1(-637406807) 
$r2(637406807) -> $r2(-637406807) 
$r3(637406807) -> $r3(-637406807) 
0(-637406807) -> 0(1160023536) 
this(-637406807) -> this(1160023536) 
seq(-637406807) -> seq(1160023536) 
el(-637406807) -> el(1160023536) 
pos(-637406807) -> pos(1160023536) 
lm(-637406807) -> lm(1160023536) 
$r0(-637406807) -> $r0(1160023536) 
$r1(-637406807) -> $r1(1160023536) 
$r2(-637406807) -> $r2(1160023536) 
$r3(-637406807) -> $r3(1160023536) 
0(1160023536) -> 0(-1160023536) 
this(1160023536) -> this(-1160023536) 
seq(1160023536) -> seq(-1160023536) 
el(1160023536) -> el(-1160023536) 
pos(1160023536) -> pos(-1160023536) 
lm(1160023536) -> lm(-1160023536) 
$r1(1160023536) -> $r1(-1160023536) 
$r2(1160023536) -> $r2(-1160023536) 
$r3(1160023536) -> $r3(-1160023536) 
0(-1160023536) -> 0(1659022086) 
this(-1160023536) -> this(1659022086) 
seq(-1160023536) -> seq(1659022086) 
el(-1160023536) -> el(1659022086) 
pos(-1160023536) -> pos(1659022086) 
lm(-1160023536) -> lm(1659022086) 
$r0(-1160023536) -> $r0(1659022086) 
$r1(-1160023536) -> $r1(1659022086) 
$r2(-1160023536) -> $r2(1659022086) 
$r3(-1160023536) -> $r3(1659022086) 
0(1659022086) -> 0(1985760194) 
this(1659022086) -> this(1985760194) 
seq(1659022086) -> seq(1985760194) 
el(1659022086) -> el(1985760194) 
pos(1659022086) -> pos(1985760194) 
lm(1659022086) -> lm(1985760194) 
$r0(1659022086) -> $r0(1985760194) 
$r1(1659022086) -> $r1(1985760194) 
$r2(1659022086) -> $r2(1985760194) 
$r3(1659022086) -> $r3(1985760194) 
0(1659022086) -> 0(1762452979) 
this(1659022086) -> this(1762452979) 
seq(1659022086) -> seq(1762452979) 
el(1659022086) -> el(1762452979) 
pos(1659022086) -> pos(1762452979) 
lm(1659022086) -> lm(1762452979) 
$r0(1659022086) -> $r0(1762452979) 
$r1(1659022086) -> $r1(1762452979) 
$r2(1659022086) -> $r2(1762452979) 
$r3(1659022086) -> $r3(1762452979) 
0(1762452979) -> 0(-1762452979) 
this(1762452979) -> this(-1762452979) 
seq(1762452979) -> seq(-1762452979) 
el(1762452979) -> el(-1762452979) 
pos(1762452979) -> pos(-1762452979) 
lm(1762452979) -> lm(-1762452979) 
$r0(1762452979) -> $r0(-1762452979) 
$r1(1762452979) -> $r1(-1762452979) 
$r2(1762452979) -> $r2(-1762452979) 
$r3(1762452979) -> $r3(-1762452979) 
0(-1762452979) -> 0(1211168369) 
this(-1762452979) -> this(1211168369) 
seq(-1762452979) -> seq(1211168369) 
el(-1762452979) -> el(1211168369) 
pos(-1762452979) -> pos(1211168369) 
lm(-1762452979) -> lm(1211168369) 
$r0(-1762452979) -> $r0(1211168369) 
$r1(-1762452979) -> $r1(1211168369) 
$r2(-1762452979) -> $r2(1211168369) 
$r3(-1762452979) -> $r3(1211168369) 
0(1211168369) -> 0(109287870) 
this(1211168369) -> this(109287870) 
seq(1211168369) -> seq(109287870) 
el(1211168369) -> el(109287870) 
pos(1211168369) -> pos(109287870) 
lm(1211168369) -> lm(109287870) 
$r0(1211168369) -> $r0(109287870) 
$r1(1211168369) -> $r1(109287870) 
$r2(1211168369) -> $r2(109287870) 
$r3(1211168369) -> $r3(109287870) 
0(109287870) -> 0(1985760194) 
this(109287870) -> this(1985760194) 
seq(109287870) -> seq(1985760194) 
el(109287870) -> el(1985760194) 
pos(109287870) -> pos(1985760194) 
lm(109287870) -> lm(1985760194) 
$r0(109287870) -> $r0(1985760194) 
$r1(109287870) -> $r1(1985760194) 
$r2(109287870) -> $r2(1985760194) 
$r3(109287870) -> $r3(1985760194) 
0(109287870) -> 0(702712905) 
this(109287870) -> this(702712905) 
seq(109287870) -> seq(702712905) 
el(109287870) -> el(702712905) 
pos(109287870) -> pos(702712905) 
lm(109287870) -> lm(702712905) 
$r0(109287870) -> $r0(702712905) 
$r1(109287870) -> $r1(702712905) 
$r2(109287870) -> $r2(702712905) 
$r3(109287870) -> $r3(702712905) 
0(702712905) -> 0(1251038688) 
this(702712905) -> this(1251038688) 
seq(702712905) -> seq(1251038688) 
el(702712905) -> el(1251038688) 
pos(702712905) -> pos(1251038688) 
lm(702712905) -> lm(1251038688) 
$r0(702712905) -> $r0(1251038688) 
$r1(702712905) -> $r1(1251038688) 
$r2(702712905) -> $r2(1251038688) 
$r3(702712905) -> $r3(1251038688) 
0(1251038688) -> 0(-1251038688) 
this(1251038688) -> this(-1251038688) 
seq(1251038688) -> seq(-1251038688) 
pos(1251038688) -> pos(-1251038688) 
lm(1251038688) -> lm(-1251038688) 
$r0(1251038688) -> $r0(-1251038688) 
$r1(1251038688) -> $r1(-1251038688) 
$r2(1251038688) -> $r2(-1251038688) 
$r3(1251038688) -> $r3(-1251038688) 
0(-1251038688) -> 0(194841439) 
this(-1251038688) -> this(194841439) 
seq(-1251038688) -> seq(194841439) 
el(-1251038688) -> el(194841439) 
pos(-1251038688) -> pos(194841439) 
lm(-1251038688) -> lm(194841439) 
$r0(-1251038688) -> $r0(194841439) 
$r1(-1251038688) -> $r1(194841439) 
$r2(-1251038688) -> $r2(194841439) 
$r3(-1251038688) -> $r3(194841439) 
0(194841439) -> 0(1160023536) 
this(194841439) -> this(1160023536) 
seq(194841439) -> seq(1160023536) 
el(194841439) -> el(1160023536) 
pos(194841439) -> pos(1160023536) 
lm(194841439) -> lm(1160023536) 
$r0(194841439) -> $r0(1160023536) 
$r1(194841439) -> $r1(1160023536) 
$r2(194841439) -> $r2(1160023536) 
$r3(194841439) -> $r3(1160023536) 
0(1985760194) -> 0(2032452074) 
this(1985760194) -> this(2032452074) 
seq(1985760194) -> seq(2032452074) 
el(1985760194) -> el(2032452074) 
pos(1985760194) -> pos(2032452074) 
lm(1985760194) -> lm(2032452074) 
$r0(1985760194) -> $r0(2032452074) 
$r1(1985760194) -> $r1(2032452074) 
$r2(1985760194) -> $r2(2032452074) 
$r3(1985760194) -> $r3(2032452074) 
0(1985760194) -> 0(1506469865) 
this(1985760194) -> this(1506469865) 
seq(1985760194) -> seq(1506469865) 
el(1985760194) -> el(1506469865) 
pos(1985760194) -> pos(1506469865) 
lm(1985760194) -> lm(1506469865) 
$r0(1985760194) -> $r0(1506469865) 
$r1(1985760194) -> $r1(1506469865) 
$r2(1985760194) -> $r2(1506469865) 
$r3(1985760194) -> $r3(1506469865) 
0(1506469865) -> 0(-1506469865) 
this(1506469865) -> this(-1506469865) 
seq(1506469865) -> seq(-1506469865) 
el(1506469865) -> el(-1506469865) 
pos(1506469865) -> pos(-1506469865) 
lm(1506469865) -> lm(-1506469865) 
$r0(1506469865) -> $r0(-1506469865) 
$r2(1506469865) -> $r2(-1506469865) 
$r3(1506469865) -> $r3(-1506469865) 
0(-1506469865) -> 0(406822925) 
this(-1506469865) -> this(406822925) 
seq(-1506469865) -> seq(406822925) 
el(-1506469865) -> el(406822925) 
pos(-1506469865) -> pos(406822925) 
lm(-1506469865) -> lm(406822925) 
$r0(-1506469865) -> $r0(406822925) 
$r1(-1506469865) -> $r1(406822925) 
$r2(-1506469865) -> $r2(406822925) 
$r3(-1506469865) -> $r3(406822925) 
0(406822925) -> 0(1547118536) 
this(406822925) -> this(1547118536) 
seq(406822925) -> seq(1547118536) 
el(406822925) -> el(1547118536) 
pos(406822925) -> pos(1547118536) 
lm(406822925) -> lm(1547118536) 
$r0(406822925) -> $r0(1547118536) 
$r1(406822925) -> $r1(1547118536) 
$r2(406822925) -> $r2(1547118536) 
$r3(406822925) -> $r3(1547118536) 
0(2032452074) -> 0(1547118536) 
0(2032452074) -> $r1(1547118536) 
this(2032452074) -> this(1547118536) 
seq(2032452074) -> seq(1547118536) 
el(2032452074) -> el(1547118536) 
pos(2032452074) -> pos(1547118536) 
lm(2032452074) -> lm(1547118536) 
$r0(2032452074) -> $r0(1547118536) 
$r2(2032452074) -> $r2(1547118536) 
$r3(2032452074) -> $r3(1547118536) 
0(1547118536) -> 0(474021614) 
this(1547118536) -> this(474021614) 
seq(1547118536) -> seq(474021614) 
el(1547118536) -> el(474021614) 
lm(1547118536) -> lm(474021614) 
$r0(1547118536) -> $r0(474021614) 
$r1(1547118536) -> pos(474021614) 
$r1(1547118536) -> $r1(474021614) 
$r2(1547118536) -> $r2(474021614) 
$r3(1547118536) -> $r3(474021614) 
0(474021614) -> 0(1708680487) 
this(474021614) -> this(1708680487) 
seq(474021614) -> seq(1708680487) 
el(474021614) -> el(1708680487) 
pos(474021614) -> pos(1708680487) 
lm(474021614) -> lm(1708680487) 
$r0(474021614) -> $r0(1708680487) 
$r1(474021614) -> $r1(1708680487) 
$r2(474021614) -> $r2(1708680487) 
$r3(474021614) -> $r3(1708680487) 
0(474021614) -> 0(1369265048) 
this(474021614) -> this(1369265048) 
seq(474021614) -> seq(1369265048) 
el(474021614) -> el(1369265048) 
pos(474021614) -> pos(1369265048) 
lm(474021614) -> lm(1369265048) 
$r0(474021614) -> $r0(1369265048) 
$r1(474021614) -> $r1(1369265048) 
$r2(474021614) -> $r2(1369265048) 
$r3(474021614) -> $r3(1369265048) 
0(1369265048) -> 0(-1369265048) 
this(1369265048) -> this(-1369265048) 
seq(1369265048) -> seq(-1369265048) 
el(1369265048) -> el(-1369265048) 
pos(1369265048) -> pos(-1369265048) 
lm(1369265048) -> lm(-1369265048) 
$r1(1369265048) -> $r1(-1369265048) 
$r2(1369265048) -> $r2(-1369265048) 
$r3(1369265048) -> $r3(-1369265048) 
0(-1369265048) -> 0(802900484) 
this(-1369265048) -> this(802900484) 
seq(-1369265048) -> seq(802900484) 
el(-1369265048) -> el(802900484) 
pos(-1369265048) -> pos(802900484) 
lm(-1369265048) -> lm(802900484) 
$r0(-1369265048) -> $r0(802900484) 
$r1(-1369265048) -> $r1(802900484) 
$r2(-1369265048) -> $r2(802900484) 
$r3(-1369265048) -> $r3(802900484) 
0(802900484) -> 0(1641617325) 
this(802900484) -> this(1641617325) 
seq(802900484) -> seq(1641617325) 
el(802900484) -> el(1641617325) 
pos(802900484) -> pos(1641617325) 
lm(802900484) -> lm(1641617325) 
$r0(802900484) -> $r0(1641617325) 
$r1(802900484) -> $r1(1641617325) 
$r2(802900484) -> $r2(1641617325) 
$r3(802900484) -> $r3(1641617325) 
0(1708680487) -> 0(1641617325) 
0(1708680487) -> $r0(1641617325) 
this(1708680487) -> this(1641617325) 
seq(1708680487) -> seq(1641617325) 
el(1708680487) -> el(1641617325) 
pos(1708680487) -> pos(1641617325) 
lm(1708680487) -> lm(1641617325) 
$r1(1708680487) -> $r1(1641617325) 
$r2(1708680487) -> $r2(1641617325) 
$r3(1708680487) -> $r3(1641617325) 
0(1641617325) -> 0(1949917908) 
this(1641617325) -> this(1949917908) 
seq(1641617325) -> seq(1949917908) 
el(1641617325) -> el(1949917908) 
pos(1641617325) -> pos(1949917908) 
$r0(1641617325) -> lm(1949917908) 
$r0(1641617325) -> $r0(1949917908) 
$r1(1641617325) -> $r1(1949917908) 
$r2(1641617325) -> $r2(1949917908) 
$r3(1641617325) -> $r3(1949917908) 
0(1949917908) -> 0(1669826536) 
this(1949917908) -> this(1669826536) 
seq(1949917908) -> seq(1669826536) 
