method: org.apache.fop.layoutmgr.InlineKnuthSequence.appendSequence:1770745725
0(1770745725) -> 0(1644958204) 
this(1770745725) -> this(1644958204) 
sequence(1770745725) -> sequence(1644958204) 
breakElement(1770745725) -> breakElement(1644958204) 
0(1644958204) -> 0(108063150) 
this(1644958204) -> this(108063150) 
sequence(1644958204) -> sequence(108063150) 
breakElement(1644958204) -> breakElement(108063150) 
0(108063150) -> 0(1593680335) 
this(108063150) -> this(1593680335) 
sequence(108063150) -> sequence(1593680335) 
breakElement(108063150) -> breakElement(1593680335) 
0(1593680335) -> 0(1569344961) 
this(1593680335) -> this(1569344961) 
sequence(1593680335) -> sequence(1569344961) 
breakElement(1593680335) -> breakElement(1569344961) 
0(1569344961) -> 0(1914603765) 
this(1569344961) -> this(1914603765) 
sequence(1569344961) -> sequence(1914603765) 
breakElement(1569344961) -> breakElement(1914603765) 
0(1914603765) -> 0(-1914603765) 
this(1914603765) -> this(-1914603765) 
sequence(1914603765) -> sequence(-1914603765) 
breakElement(1914603765) -> breakElement(-1914603765) 
0(-1914603765) -> 0(850511707) 
this(-1914603765) -> this(850511707) 
sequence(-1914603765) -> sequence(850511707) 
breakElement(-1914603765) -> breakElement(850511707) 
0(850511707) -> 0(-1770745725) 
this(850511707) -> this(-1770745725) 
sequence(850511707) -> sequence(-1770745725) 
breakElement(850511707) -> breakElement(-1770745725) 
0(850511707) -> .return(-1770745725) 
