method: org.apache.fop.layoutmgr.LayoutContext.startsNewArea:229983228
1327240 -> 1327241
1327242 -> 1327243
1327240 -> 1327244
1327241 -> 1327245
1327243 -> 1327246
1327244 -> 1327247
1327245 -> 1327248
1327246 -> 1327249
1327247 -> 1327250
1327248 -> 1327251
1327249 -> 1327252
1327250 -> 1327253
1327251 -> 1327254
1327252 -> 1327255
1327253 -> 1327256
1327251 -> 1327257
1327252 -> 1327258
1327253 -> 1327259
1327257 -> 1327260
1327258 -> 1327261
1327259 -> 1327262
1327260 -> 1327254
1327261 -> 1327255
1327262 -> 1327256
1327260 -> 1327263
1327261 -> 1327264
1327262 -> 1327265
1327263 -> 1327266
1327264 -> 1327267
1327265 -> 1327268
1327266 -> 1327269
1327267 -> 1327270
1327268 -> 1327271
1327254 -> 1327269
1327255 -> 1327270
1327256 -> 1327271
1327269 -> 1327272
1327270 -> 1327273
1327271 -> 1327274
1327269 -> 1327275
