method: org.apache.fop.layoutmgr.inline.InlineLayoutManager.<clinit>:671787893
0(671787893) -> 0(372901870) 
0(671787893) -> $r0(372901870) 
0(671787893) -> $r1(372901870) 
0(372901870) -> 0(1004447144) 
$r0(372901870) -> $r0(1004447144) 
$r1(372901870) -> $r1(1004447144) 
0(1004447144) -> 0(772695105) 
$r0(1004447144) -> $r0(772695105) 
$r1(1004447144) -> $r1(772695105) 
0(1004447144) -> 0(1349651371) 
$r0(1004447144) -> $r0(1349651371) 
$r1(1004447144) -> $r1(1349651371) 
0(1349651371) -> 0(-1349651371) 
$r1(1349651371) -> $r1(-1349651371) 
0(-1349651371) -> 0(227057447) 
$r0(-1349651371) -> $r0(227057447) 
$r1(-1349651371) -> $r1(227057447) 
0(227057447) -> 0(76071010) 
$r0(227057447) -> $r0(76071010) 
$r1(227057447) -> $r1(76071010) 
0(76071010) -> 0(853016326) 
$r0(76071010) -> $r0(853016326) 
$r1(76071010) -> $r1(853016326) 
0(772695105) -> 0(853016326) 
$r0(772695105) -> $r0(853016326) 
$r1(772695105) -> $r1(853016326) 
0(853016326) -> 0(-853016326) 
$r0(853016326) -> $r0(-853016326) 
0(-853016326) -> 0(44563710) 
$r0(-853016326) -> $r0(44563710) 
$r1(-853016326) -> $r1(44563710) 
0(44563710) -> 0(1657964814) 
$r0(44563710) -> $r0(1657964814) 
$r1(44563710) -> $r1(1657964814) 
0(1657964814) -> 0(-671787893) 
$r0(1657964814) -> $r0(-671787893) 
$r1(1657964814) -> $r1(-671787893) 
0(1657964814) -> .return(-671787893) 
