method: org.apache.fop.layoutmgr.inline.InlineLayoutManager.hasTrailingFence:1678531432
0(1678531432) -> 0(1952407295) 
this(1678531432) -> this(1952407295) 
0(1678531432) -> $r0(1952407295) 
0(1952407295) -> 0(559280905) 
this(1952407295) -> this(559280905) 
$r0(1952407295) -> $r0(559280905) 
0(559280905) -> 0(417488614) 
this(559280905) -> this(417488614) 
$r0(559280905) -> $r0(417488614) 
0(417488614) -> 0(902060749) 
this(417488614) -> this(902060749) 
$r0(417488614) -> $r0(902060749) 
0(902060749) -> 0(312161556) 
this(902060749) -> this(312161556) 
$r0(902060749) -> $r0(312161556) 
0(902060749) -> 0(1490842976) 
this(902060749) -> this(1490842976) 
$r0(902060749) -> $r0(1490842976) 
0(1490842976) -> 0(1330468639) 
this(1490842976) -> this(1330468639) 
$r0(1490842976) -> $r0(1330468639) 
0(1330468639) -> 0(-1330468639) 
this(1330468639) -> this(-1330468639) 
$r0(1330468639) -> $r0(-1330468639) 
0(-1330468639) -> 0(1586683109) 
this(-1330468639) -> this(1586683109) 
$r0(-1330468639) -> $r0(1586683109) 
0(1586683109) -> 0(1969054937) 
this(1586683109) -> this(1969054937) 
$r0(1586683109) -> $r0(1969054937) 
0(1586683109) -> 0(1378646599) 
this(1586683109) -> this(1378646599) 
$r0(1586683109) -> $r0(1378646599) 
0(1378646599) -> 0(1353949298) 
this(1378646599) -> this(1353949298) 
$r0(1378646599) -> $r0(1353949298) 
0(1353949298) -> 0(-1353949298) 
this(1353949298) -> this(-1353949298) 
$r0(1353949298) -> $r0(-1353949298) 
0(-1353949298) -> 0(1089127874) 
this(-1353949298) -> this(1089127874) 
$r0(-1353949298) -> $r0(1089127874) 
0(1089127874) -> 0(312161556) 
this(1089127874) -> this(312161556) 
$r0(1089127874) -> $r0(312161556) 
0(1089127874) -> 0(1969054937) 
this(1089127874) -> this(1969054937) 
$r0(1089127874) -> $r0(1969054937) 
0(1969054937) -> 0(1183325889) 
this(1969054937) -> this(1183325889) 
$r0(1969054937) -> $r0(1183325889) 
0(1183325889) -> 0(196722071) 
this(1183325889) -> this(196722071) 
$r0(1183325889) -> $r0(196722071) 
0(312161556) -> 0(196722071) 
this(312161556) -> this(196722071) 
$r0(312161556) -> $r0(196722071) 
0(196722071) -> 0(-1678531432) 
this(196722071) -> this(-1678531432) 
$r0(196722071) -> $r0(-1678531432) 
0(196722071) -> .return(-1678531432) 
