method: org.apache.fop.layoutmgr.inline.InlineLayoutManager.setTraits:1054093435
1174762 -> 1174763
1174764 -> 1174765
1174762 -> 1174766
1174762 -> 1174767
1174762 -> 1174768
1174763 -> 1174769
1174765 -> 1174770
1174766 -> 1174771
1174767 -> 1174772
1174768 -> 1174773
1174769 -> 1174774
1174770 -> 1174775
1174771 -> 1174776
1174772 -> 1174777
1174773 -> 1174778
1174774 -> 1174779
1174775 -> 1174780
1174776 -> 1174781
1174777 -> 1174782
1174778 -> 1174783
1174779 -> 1174784
1174780 -> 1174785
1174781 -> 1174786
1174782 -> 1174787
1174783 -> 1174788
1174784 -> 1174789
1174785 -> 1174790
1174786 -> 1174791
1174787 -> 1174792
1174788 -> 1174793
1174784 -> 1174794
1174785 -> 1174795
1174786 -> 1174796
1174787 -> 1174797
1174788 -> 1174798
1174794 -> 1174799
1174795 -> 1174800
1174796 -> 1174801
1174798 -> 1174802
1174799 -> 1174803
1174800 -> 1174804
1174801 -> 1174805
1174806 -> 1174807
1174802 -> 1174808
1174803 -> 1174809
1174804 -> 1174810
1174805 -> 1174811
1174807 -> 1174812
1174808 -> 1174813
1174809 -> 1174814
1174810 -> 1174815
1174811 -> 1174816
1174812 -> 1174817
1174813 -> 1174818
1174814 -> 1174819
1174815 -> 1174820
1174816 -> 1174821
1174818 -> 1174822
1174819 -> 1174823
1174820 -> 1174824
1174821 -> 1174825
1174826 -> 1174827
1174822 -> 1174828
1174823 -> 1174829
1174824 -> 1174830
1174825 -> 1174831
1174827 -> 1174832
1174828 -> 1174833
1174829 -> 1174789
1174830 -> 1174790
1174831 -> 1174791
1174832 -> 1174792
1174833 -> 1174793
1174789 -> 1174834
1174790 -> 1174835
1174791 -> 1174836
1174792 -> 1174837
1174793 -> 1174838
1174789 -> 1174839
