method: org.apache.fop.layoutmgr.inline.LineLayoutManager$LineBreakingAlgorithm.updateData1:928419850
0(928419850) -> 0(1731034940) 
this(928419850) -> this(1731034940) 
0(928419850) -> $r0(1731034940) 
0(928419850) -> $r1(1731034940) 
0(928419850) -> $r2(1731034940) 
0(928419850) -> $r3(1731034940) 
0(928419850) -> $r4(1731034940) 
0(1731034940) -> 0(1543270671) 
this(1731034940) -> this(1543270671) 
$r0(1731034940) -> $r0(1543270671) 
$r1(1731034940) -> $r1(1543270671) 
$r2(1731034940) -> $r2(1543270671) 
$r3(1731034940) -> $r3(1543270671) 
$r4(1731034940) -> $r4(1543270671) 
0(1543270671) -> 0(442679031) 
this(1543270671) -> this(442679031) 
$r0(1543270671) -> $r0(442679031) 
$r1(1543270671) -> $r1(442679031) 
$r2(1543270671) -> $r2(442679031) 
$r3(1543270671) -> $r3(442679031) 
$r4(1543270671) -> $r4(442679031) 
0(442679031) -> 0(1277967779) 
this(442679031) -> this(1277967779) 
$r0(442679031) -> $r0(1277967779) 
$r1(442679031) -> $r1(1277967779) 
$r2(442679031) -> $r2(1277967779) 
$r3(442679031) -> $r3(1277967779) 
$r4(442679031) -> $r4(1277967779) 
0(1277967779) -> 0(1820508006) 
this(1277967779) -> this(1820508006) 
$r0(1277967779) -> $r0(1820508006) 
$r1(1277967779) -> $r1(1820508006) 
$r2(1277967779) -> $r2(1820508006) 
$r3(1277967779) -> $r3(1820508006) 
$r4(1277967779) -> $r4(1820508006) 
0(1820508006) -> 0(-1820508006) 
this(1820508006) -> this(-1820508006) 
$r0(1820508006) -> $r0(-1820508006) 
$r2(1820508006) -> $r2(-1820508006) 
$r3(1820508006) -> $r3(-1820508006) 
$r4(1820508006) -> $r4(-1820508006) 
0(-1820508006) -> 0(928287352) 
this(-1820508006) -> this(928287352) 
$r0(-1820508006) -> $r0(928287352) 
$r1(-1820508006) -> $r1(928287352) 
$r2(-1820508006) -> $r2(928287352) 
$r3(-1820508006) -> $r3(928287352) 
$r4(-1820508006) -> $r4(928287352) 
0(928287352) -> 0(256829609) 
this(928287352) -> this(256829609) 
$r0(928287352) -> $r0(256829609) 
$r1(928287352) -> $r1(256829609) 
$r2(928287352) -> $r2(256829609) 
$r3(928287352) -> $r3(256829609) 
$r4(928287352) -> $r4(256829609) 
0(256829609) -> 0(93107993) 
this(256829609) -> this(93107993) 
$r0(256829609) -> $r0(93107993) 
$r1(256829609) -> $r1(93107993) 
$r2(256829609) -> $r2(93107993) 
$r3(256829609) -> $r3(93107993) 
$r4(256829609) -> $r4(93107993) 
0(93107993) -> 0(-93107993) 
this(93107993) -> this(-93107993) 
$r0(93107993) -> $r0(-93107993) 
$r1(93107993) -> $r1(-93107993) 
$r2(93107993) -> $r2(-93107993) 
$r3(93107993) -> $r3(-93107993) 
$r4(93107993) -> $r4(-93107993) 
0(-93107993) -> 0(1497943335) 
this(-93107993) -> this(1497943335) 
$r0(-93107993) -> $r0(1497943335) 
$r1(-93107993) -> $r1(1497943335) 
$r2(-93107993) -> $r2(1497943335) 
$r3(-93107993) -> $r3(1497943335) 
$r4(-93107993) -> $r4(1497943335) 
0(1497943335) -> 0(1771644173) 
this(1497943335) -> this(1771644173) 
$r0(1497943335) -> $r0(1771644173) 
$r1(1497943335) -> $r1(1771644173) 
$r2(1497943335) -> $r2(1771644173) 
$r3(1497943335) -> $r3(1771644173) 
$r4(1497943335) -> $r4(1771644173) 
0(1497943335) -> 0(982837564) 
this(1497943335) -> this(982837564) 
$r0(1497943335) -> $r0(982837564) 
$r1(1497943335) -> $r1(982837564) 
$r2(1497943335) -> $r2(982837564) 
$r3(1497943335) -> $r3(982837564) 
$r4(1497943335) -> $r4(982837564) 
0(982837564) -> 0(106725424) 
this(982837564) -> this(106725424) 
$r0(982837564) -> $r0(106725424) 
$r1(982837564) -> $r1(106725424) 
$r2(982837564) -> $r2(106725424) 
$r3(982837564) -> $r3(106725424) 
$r4(982837564) -> $r4(106725424) 
0(106725424) -> 0(454410954) 
this(106725424) -> this(454410954) 
$r0(106725424) -> $r0(454410954) 
$r1(106725424) -> $r1(454410954) 
$r2(106725424) -> $r2(454410954) 
$r4(106725424) -> $r4(454410954) 
0(454410954) -> 0(1711944029) 
this(454410954) -> this(1711944029) 
$r0(454410954) -> $r0(1711944029) 
$r1(454410954) -> $r1(1711944029) 
$r2(454410954) -> $r2(1711944029) 
$r3(454410954) -> $r3(1711944029) 
$r4(454410954) -> $r4(1711944029) 
0(1711944029) -> 0(-1711944029) 
this(1711944029) -> this(-1711944029) 
$r0(1711944029) -> $r0(-1711944029) 
$r1(1711944029) -> $r1(-1711944029) 
$r2(1711944029) -> $r2(-1711944029) 
$r4(1711944029) -> $r4(-1711944029) 
0(-1711944029) -> 0(2146539711) 
this(-1711944029) -> this(2146539711) 
$r0(-1711944029) -> $r0(2146539711) 
$r1(-1711944029) -> $r1(2146539711) 
$r2(-1711944029) -> $r2(2146539711) 
$r3(-1711944029) -> $r3(2146539711) 
$r4(-1711944029) -> $r4(2146539711) 
0(2146539711) -> 0(-2146539711) 
this(2146539711) -> this(-2146539711) 
$r0(2146539711) -> $r0(-2146539711) 
$r1(2146539711) -> $r1(-2146539711) 
$r2(2146539711) -> $r2(-2146539711) 
$r4(2146539711) -> $r4(-2146539711) 
0(-2146539711) -> 0(1602906044) 
this(-2146539711) -> this(1602906044) 
$r0(-2146539711) -> $r0(1602906044) 
$r1(-2146539711) -> $r1(1602906044) 
$r2(-2146539711) -> $r2(1602906044) 
$r3(-2146539711) -> $r3(1602906044) 
$r4(-2146539711) -> $r4(1602906044) 
0(1602906044) -> 0(-1602906044) 
this(1602906044) -> this(-1602906044) 
$r0(1602906044) -> $r0(-1602906044) 
$r1(1602906044) -> $r1(-1602906044) 
$r2(1602906044) -> $r2(-1602906044) 
$r4(1602906044) -> $r4(-1602906044) 
0(-1602906044) -> 0(2007013540) 
this(-1602906044) -> this(2007013540) 
$r0(-1602906044) -> $r0(2007013540) 
$r1(-1602906044) -> $r1(2007013540) 
$r2(-1602906044) -> $r2(2007013540) 
$r3(-1602906044) -> $r3(2007013540) 
$r4(-1602906044) -> $r4(2007013540) 
0(2007013540) -> 0(-2007013540) 
this(2007013540) -> this(-2007013540) 
$r0(2007013540) -> $r0(-2007013540) 
$r1(2007013540) -> $r1(-2007013540) 
