method: org.apache.fop.layoutmgr.inline.PageNumberLayoutManager.getStringWidth:1512027062
0(1512027062) -> 0(724362701) 
this(1512027062) -> this(724362701) 
str(1512027062) -> str(724362701) 
0(1512027062) -> $r0(724362701) 
0(724362701) -> 0(279120864) 
this(724362701) -> this(279120864) 
str(724362701) -> str(279120864) 
$r0(724362701) -> $r0(279120864) 
0(279120864) -> 0(161425309) 
this(279120864) -> this(161425309) 
str(279120864) -> str(161425309) 
$r0(279120864) -> $r0(161425309) 
0(161425309) -> 0(206560325) 
this(161425309) -> this(206560325) 
str(161425309) -> str(206560325) 
$r0(161425309) -> $r0(206560325) 
0(206560325) -> 0(1984995965) 
this(206560325) -> this(1984995965) 
str(206560325) -> str(1984995965) 
$r0(206560325) -> $r0(1984995965) 
0(1984995965) -> 0(-1984995965) 
this(1984995965) -> this(-1984995965) 
str(1984995965) -> str(-1984995965) 
$r0(1984995965) -> $r0(-1984995965) 
0(-1984995965) -> 0(668727610) 
this(-1984995965) -> this(668727610) 
str(-1984995965) -> str(668727610) 
$r0(-1984995965) -> $r0(668727610) 
0(668727610) -> 0(1929610677) 
this(668727610) -> this(1929610677) 
str(668727610) -> str(1929610677) 
$r0(668727610) -> $r0(1929610677) 
0(668727610) -> 0(461203303) 
this(668727610) -> this(461203303) 
str(668727610) -> str(461203303) 
$r0(668727610) -> $r0(461203303) 
0(461203303) -> 0(774658629) 
this(461203303) -> this(774658629) 
str(461203303) -> str(774658629) 
$r0(461203303) -> $r0(774658629) 
0(774658629) -> 0(-774658629) 
this(774658629) -> this(-774658629) 
str(774658629) -> str(-774658629) 
$r0(774658629) -> $r0(-774658629) 
0(-774658629) -> 0(1641709489) 
this(-774658629) -> this(1641709489) 
str(-774658629) -> str(1641709489) 
$r0(-774658629) -> $r0(1641709489) 
0(1641709489) -> 0(-1641709489) 
this(1641709489) -> this(-1641709489) 
str(1641709489) -> str(-1641709489) 
$r0(1641709489) -> $r0(-1641709489) 
0(-1641709489) -> 0(2054514163) 
this(-1641709489) -> this(2054514163) 
str(-1641709489) -> str(2054514163) 
$r0(-1641709489) -> $r0(2054514163) 
0(2054514163) -> 0(829977428) 
this(2054514163) -> this(829977428) 
str(2054514163) -> str(829977428) 
$r0(2054514163) -> $r0(829977428) 
0(829977428) -> 0(1524345131) 
this(829977428) -> this(1524345131) 
str(829977428) -> str(1524345131) 
$r0(829977428) -> $r0(1524345131) 
0(1524345131) -> 0(1984995965) 
this(1524345131) -> this(1984995965) 
str(1524345131) -> str(1984995965) 
$r0(1524345131) -> $r0(1984995965) 
0(1929610677) -> 0(-1512027062) 
this(1929610677) -> this(-1512027062) 
str(1929610677) -> str(-1512027062) 
$r0(1929610677) -> $r0(-1512027062) 
0(1929610677) -> .return(-1512027062) 
