method: org.apache.fop.layoutmgr.inline.TextLayoutManager.addToLetterAdjust:981116409
1283237 -> 1283238
1283239 -> 1283240
1283241 -> 1283242
1283237 -> 1283243
1283237 -> 1283244
1283237 -> 1283245
1283238 -> 1283246
1283240 -> 1283247
1283242 -> 1283248
1283243 -> 1283249
1283244 -> 1283250
1283245 -> 1283251
1283246 -> 1283252
1283247 -> 1283253
1283248 -> 1283254
1283249 -> 1283255
1283250 -> 1283256
1283251 -> 1283257
1283252 -> 1283258
1283253 -> 1283259
1283254 -> 1283260
1283255 -> 1283261
1283256 -> 1283262
1283257 -> 1283263
1283258 -> 1283264
1283259 -> 1283265
1283260 -> 1283266
1283261 -> 1283267
1283262 -> 1283268
1283263 -> 1283269
1283264 -> 1283270
1283265 -> 1283271
1283266 -> 1283272
1283267 -> 1283273
1283268 -> 1283274
1283269 -> 1283275
1283270 -> 1283276
1283271 -> 1283277
1283272 -> 1283278
1283273 -> 1283279
1283274 -> 1283280
1283275 -> 1283281
1283270 -> 1283282
1283271 -> 1283283
1283272 -> 1283284
1283273 -> 1283285
1283274 -> 1283286
1283275 -> 1283287
1283282 -> 1283288
1283283 -> 1283289
1283284 -> 1283290
1283285 -> 1283291
1283286 -> 1283292
1283287 -> 1283293
1283288 -> 1283294
1283289 -> 1283295
1283290 -> 1283296
1283292 -> 1283297
1283293 -> 1283298
1283294 -> 1283299
1283295 -> 1283300
1283296 -> 1283301
1283302 -> 1283303
1283297 -> 1283304
1283298 -> 1283305
1283299 -> 1283306
1283300 -> 1283307
1283301 -> 1283308
1283303 -> 1283309
1283304 -> 1283310
1283305 -> 1283311
1283306 -> 1283312
1283307 -> 1283313
1283308 -> 1283314
1283309 -> 1283315
1283310 -> 1283316
1283311 -> 1283317
1283276 -> 1283318
1283277 -> 1283319
1283278 -> 1283320
1283279 -> 1283321
1283280 -> 1283322
1283281 -> 1283323
1283318 -> 1283324
1283319 -> 1283325
1283320 -> 1283326
1283321 -> 1283327
1283322 -> 1283328
1283323 -> 1283329
1283324 -> 1283312
1283325 -> 1283313
1283326 -> 1283314
1283327 -> 1283315
1283328 -> 1283316
1283329 -> 1283317
1283312 -> 1283330
1283313 -> 1283331
1283314 -> 1283332
1283315 -> 1283333
1283316 -> 1283334
1283317 -> 1283335
1283312 -> 1283336
