method: org.apache.fop.layoutmgr.inline.TextLayoutManager.createElementsForAWordFragment:715711197
1317040 -> 1317041
1317042 -> 1317043
1317044 -> 1317045
1317046 -> 1317047
1317040 -> 1317048
1317040 -> 1317049
1317040 -> 1317050
1317040 -> 1317051
1317040 -> 1317052
1317040 -> 1317053
1317040 -> 1317054
1317040 -> 1317055
1317040 -> 1317056
1317040 -> 1317057
1317040 -> 1317058
1317040 -> 1317059
1317040 -> 1317060
1317040 -> 1317061
1317040 -> 1317062
1317040 -> 1317063
1317040 -> 1317064
1317041 -> 1317065
1317043 -> 1317066
1317045 -> 1317067
1317047 -> 1317068
1317048 -> 1317069
1317049 -> 1317070
1317050 -> 1317071
1317051 -> 1317072
1317052 -> 1317073
1317053 -> 1317074
1317054 -> 1317075
1317055 -> 1317076
1317056 -> 1317077
1317057 -> 1317078
1317058 -> 1317079
1317059 -> 1317080
1317060 -> 1317081
1317061 -> 1317082
1317062 -> 1317083
1317063 -> 1317084
1317064 -> 1317085
1317065 -> 1317086
1317066 -> 1317087
1317067 -> 1317088
1317068 -> 1317089
1317069 -> 1317090
1317070 -> 1317091
1317071 -> 1317092
1317072 -> 1317093
1317073 -> 1317094
1317074 -> 1317095
1317075 -> 1317096
1317076 -> 1317097
1317077 -> 1317098
1317078 -> 1317099
1317079 -> 1317100
1317080 -> 1317101
1317081 -> 1317102
1317082 -> 1317103
1317083 -> 1317104
1317084 -> 1317105
1317085 -> 1317106
1317086 -> 1317107
1317087 -> 1317108
1317088 -> 1317109
1317089 -> 1317110
1317090 -> 1317111
1317091 -> 1317112
1317092 -> 1317113
1317093 -> 1317114
1317094 -> 1317115
1317095 -> 1317116
1317096 -> 1317117
1317097 -> 1317118
1317098 -> 1317119
1317099 -> 1317120
1317100 -> 1317121
1317101 -> 1317122
1317102 -> 1317123
1317103 -> 1317124
1317104 -> 1317125
1317105 -> 1317126
1317106 -> 1317127
1317107 -> 1317128
1317108 -> 1317129
1317109 -> 1317130
1317110 -> 1317131
1317111 -> 1317132
1317112 -> 1317133
1317113 -> 1317134
1317114 -> 1317135
1317115 -> 1317136
1317116 -> 1317137
1317117 -> 1317138
1317118 -> 1317139
1317119 -> 1317140
1317120 -> 1317141
1317121 -> 1317142
1317122 -> 1317143
1317123 -> 1317144
1317124 -> 1317145
1317125 -> 1317146
1317126 -> 1317147
1317127 -> 1317148
1317128 -> 1317149
1317129 -> 1317150
1317130 -> 1317151
1317131 -> 1317152
1317132 -> 1317153
1317133 -> 1317154
1317134 -> 1317155
1317135 -> 1317156
1317136 -> 1317157
1317137 -> 1317158
1317138 -> 1317159
1317139 -> 1317160
1317140 -> 1317161
1317141 -> 1317162
1317142 -> 1317163
1317143 -> 1317164
1317144 -> 1317165
1317145 -> 1317166
1317146 -> 1317167
1317147 -> 1317168
1317148 -> 1317169
1317149 -> 1317170
1317150 -> 1317171
1317151 -> 1317172
1317152 -> 1317173
1317154 -> 1317174
1317155 -> 1317175
1317156 -> 1317176
1317157 -> 1317177
1317158 -> 1317178
1317159 -> 1317179
1317160 -> 1317180
1317161 -> 1317181
1317162 -> 1317182
1317163 -> 1317183
1317164 -> 1317184
1317165 -> 1317185
1317166 -> 1317186
1317167 -> 1317187
1317168 -> 1317188
1317169 -> 1317189
1317170 -> 1317190
1317171 -> 1317191
1317172 -> 1317192
1317173 -> 1317193
1317194 -> 1317195
1317174 -> 1317196
1317175 -> 1317197
1317176 -> 1317198
1317177 -> 1317199
1317178 -> 1317200
1317179 -> 1317201
1317180 -> 1317202
1317181 -> 1317203
1317182 -> 1317204
1317183 -> 1317205
1317184 -> 1317206
1317185 -> 1317207
1317186 -> 1317208
1317187 -> 1317209
1317188 -> 1317210
1317189 -> 1317211
1317190 -> 1317212
1317191 -> 1317213
1317192 -> 1317214
1317193 -> 1317215
1317195 -> 1317216
1317195 -> 1317217
1317197 -> 1317218
1317198 -> 1317219
1317199 -> 1317220
1317200 -> 1317221
1317201 -> 1317222
1317202 -> 1317223
1317203 -> 1317224
1317204 -> 1317225
1317205 -> 1317226
1317206 -> 1317227
1317207 -> 1317228
1317208 -> 1317229
1317209 -> 1317230
1317210 -> 1317231
1317211 -> 1317232
1317212 -> 1317233
1317213 -> 1317234
1317214 -> 1317235
1317215 -> 1317236
1317217 -> 1317237
1317216 -> 1317238
1317218 -> 1317239
1317219 -> 1317240
1317221 -> 1317241
1317222 -> 1317242
1317223 -> 1317243
1317224 -> 1317244
1317225 -> 1317245
