method: org.apache.fop.layoutmgr.list.ListBlockLayoutManager.class$:69779030
0(69779030) -> 0(1026759578) 
x0(69779030) -> x0(1026759578) 
0(69779030) -> l1(1026759578) 
0(69779030) -> $r0(1026759578) 
0(69779030) -> $r1(1026759578) 
0(69779030) -> $r2(1026759578) 
0(69779030) -> $r3(1026759578) 
0(1026759578) -> 0(1814475021) 
x0(1026759578) -> x0(1814475021) 
l1(1026759578) -> l1(1814475021) 
$r0(1026759578) -> $r0(1814475021) 
$r1(1026759578) -> $r1(1814475021) 
$r2(1026759578) -> $r2(1814475021) 
$r3(1026759578) -> $r3(1814475021) 
0(1814475021) -> 0(-1814475021) 
x0(1814475021) -> x0(-1814475021) 
l1(1814475021) -> l1(-1814475021) 
$r1(1814475021) -> $r1(-1814475021) 
$r2(1814475021) -> $r2(-1814475021) 
$r3(1814475021) -> $r3(-1814475021) 
0(-1814475021) -> 0(1613890547) 
x0(-1814475021) -> x0(1613890547) 
l1(-1814475021) -> l1(1613890547) 
$r0(-1814475021) -> $r0(1613890547) 
$r1(-1814475021) -> $r1(1613890547) 
$r2(-1814475021) -> $r2(1613890547) 
$r3(-1814475021) -> $r3(1613890547) 
0(1613890547) -> 0(-69779030) 
x0(1613890547) -> x0(-69779030) 
l1(1613890547) -> l1(-69779030) 
$r0(1613890547) -> $r0(-69779030) 
$r1(1613890547) -> $r1(-69779030) 
$r2(1613890547) -> $r2(-69779030) 
$r3(1613890547) -> $r3(-69779030) 
$r0(1613890547) -> .return(-69779030) 
0(1939961819) -> 0(1841563179) 
x0(1939961819) -> x0(1841563179) 
$r0(1939961819) -> $r0(1841563179) 
$r1(1939961819) -> l1(1841563179) 
$r1(1939961819) -> $r1(1841563179) 
$r2(1939961819) -> $r2(1841563179) 
$r3(1939961819) -> $r3(1841563179) 
0(1841563179) -> 0(626115462) 
x0(1841563179) -> x0(626115462) 
l1(1841563179) -> l1(626115462) 
$r0(1841563179) -> $r0(626115462) 
$r1(1841563179) -> $r1(626115462) 
$r3(1841563179) -> $r3(626115462) 
0(626115462) -> 0(2133990264) 
x0(626115462) -> x0(2133990264) 
l1(626115462) -> l1(2133990264) 
$r0(626115462) -> $r0(2133990264) 
$r1(626115462) -> $r1(2133990264) 
$r2(626115462) -> $r2(2133990264) 
$r3(626115462) -> $r3(2133990264) 
0(2133990264) -> 0(-2133990264) 
x0(2133990264) -> x0(-2133990264) 
l1(2133990264) -> l1(-2133990264) 
$r0(2133990264) -> $r0(-2133990264) 
$r1(2133990264) -> $r1(-2133990264) 
$r2(2133990264) -> $r2(-2133990264) 
0(-2133990264) -> 0(849978501) 
x0(-2133990264) -> x0(849978501) 
l1(-2133990264) -> l1(849978501) 
$r0(-2133990264) -> $r0(849978501) 
$r1(-2133990264) -> $r1(849978501) 
$r2(-2133990264) -> $r2(849978501) 
$r3(-2133990264) -> $r3(849978501) 
