method: org.apache.fop.layoutmgr.list.ListBlockLayoutManager.notifyBorder:1277975800
0(1277975800) -> 0(199197955) 
this(1277975800) -> this(199197955) 
side(1277975800) -> side(199197955) 
effectiveLength(1277975800) -> effectiveLength(199197955) 
0(1277975800) -> $r0(199197955) 
0(1277975800) -> $r1(199197955) 
0(1277975800) -> $r2(199197955) 
0(1277975800) -> $r3(199197955) 
0(199197955) -> 0(2140507659) 
this(199197955) -> this(2140507659) 
side(199197955) -> side(2140507659) 
effectiveLength(199197955) -> effectiveLength(2140507659) 
$r0(199197955) -> $r0(2140507659) 
$r1(199197955) -> $r1(2140507659) 
$r2(199197955) -> $r2(2140507659) 
$r3(199197955) -> $r3(2140507659) 
0(2140507659) -> 0(866170269) 
this(2140507659) -> this(866170269) 
side(2140507659) -> side(866170269) 
effectiveLength(2140507659) -> effectiveLength(866170269) 
$r0(2140507659) -> $r0(866170269) 
$r1(2140507659) -> $r1(866170269) 
$r2(2140507659) -> $r2(866170269) 
$r3(2140507659) -> $r3(866170269) 
0(866170269) -> 0(729352694) 
this(866170269) -> this(729352694) 
side(866170269) -> side(729352694) 
effectiveLength(866170269) -> effectiveLength(729352694) 
$r0(866170269) -> $r0(729352694) 
$r1(866170269) -> $r1(729352694) 
$r2(866170269) -> $r2(729352694) 
$r3(866170269) -> $r3(729352694) 
0(729352694) -> 0(798489729) 
this(729352694) -> this(798489729) 
side(729352694) -> side(798489729) 
effectiveLength(729352694) -> effectiveLength(798489729) 
$r0(729352694) -> $r0(798489729) 
$r1(729352694) -> $r1(798489729) 
$r2(729352694) -> $r2(798489729) 
$r3(729352694) -> $r3(798489729) 
0(729352694) -> 0(394070982) 
this(729352694) -> this(394070982) 
side(729352694) -> side(394070982) 
effectiveLength(729352694) -> effectiveLength(394070982) 
$r0(729352694) -> $r0(394070982) 
$r1(729352694) -> $r1(394070982) 
$r2(729352694) -> $r2(394070982) 
$r3(729352694) -> $r3(394070982) 
0(394070982) -> 0(738058943) 
this(394070982) -> this(738058943) 
side(394070982) -> side(738058943) 
effectiveLength(394070982) -> effectiveLength(738058943) 
$r0(394070982) -> $r0(738058943) 
$r1(394070982) -> $r1(738058943) 
$r2(394070982) -> $r2(738058943) 
$r3(394070982) -> $r3(738058943) 
0(738058943) -> 0(1539969739) 
this(738058943) -> this(1539969739) 
side(738058943) -> side(1539969739) 
effectiveLength(738058943) -> effectiveLength(1539969739) 
$r0(738058943) -> $r0(1539969739) 
$r1(738058943) -> $r1(1539969739) 
$r2(738058943) -> $r2(1539969739) 
$r3(738058943) -> $r3(1539969739) 
0(738058943) -> 0(911479384) 
this(738058943) -> this(911479384) 
side(738058943) -> side(911479384) 
effectiveLength(738058943) -> effectiveLength(911479384) 
$r0(738058943) -> $r0(911479384) 
$r1(738058943) -> $r1(911479384) 
$r2(738058943) -> $r2(911479384) 
$r3(738058943) -> $r3(911479384) 
0(911479384) -> 0(1233152837) 
this(911479384) -> this(1233152837) 
side(911479384) -> side(1233152837) 
effectiveLength(911479384) -> effectiveLength(1233152837) 
$r0(911479384) -> $r0(1233152837) 
$r1(911479384) -> $r1(1233152837) 
$r2(911479384) -> $r2(1233152837) 
$r3(911479384) -> $r3(1233152837) 
0(1233152837) -> 0(798489729) 
this(1233152837) -> this(798489729) 
side(1233152837) -> side(798489729) 
effectiveLength(1233152837) -> effectiveLength(798489729) 
$r0(1233152837) -> $r0(798489729) 
$r1(1233152837) -> $r1(798489729) 
$r2(1233152837) -> $r2(798489729) 
$r3(1233152837) -> $r3(798489729) 
0(1539969739) -> 0(798489729) 
this(1539969739) -> this(798489729) 
side(1539969739) -> side(798489729) 
effectiveLength(1539969739) -> effectiveLength(798489729) 
$r0(1539969739) -> $r0(798489729) 
$r1(1539969739) -> $r1(798489729) 
$r2(1539969739) -> $r2(798489729) 
$r3(1539969739) -> $r3(798489729) 
0(798489729) -> 0(591565200) 
this(798489729) -> this(591565200) 
side(798489729) -> side(591565200) 
effectiveLength(798489729) -> effectiveLength(591565200) 
$r0(798489729) -> $r0(591565200) 
$r1(798489729) -> $r1(591565200) 
$r2(798489729) -> $r2(591565200) 
$r3(798489729) -> $r3(591565200) 
0(591565200) -> 0(-591565200) 
this(591565200) -> this(-591565200) 
side(591565200) -> side(-591565200) 
effectiveLength(591565200) -> effectiveLength(-591565200) 
$r0(591565200) -> $r0(-591565200) 
$r1(591565200) -> $r1(-591565200) 
$r2(591565200) -> $r2(-591565200) 
$r3(591565200) -> $r3(-591565200) 
0(-591565200) -> 0(1734514437) 
this(-591565200) -> this(1734514437) 
side(-591565200) -> side(1734514437) 
effectiveLength(-591565200) -> effectiveLength(1734514437) 
$r0(-591565200) -> $r0(1734514437) 
$r1(-591565200) -> $r1(1734514437) 
$r2(-591565200) -> $r2(1734514437) 
$r3(-591565200) -> $r3(1734514437) 
0(1734514437) -> 0(140949387) 
this(1734514437) -> this(140949387) 
side(1734514437) -> side(140949387) 
effectiveLength(1734514437) -> effectiveLength(140949387) 
$r0(1734514437) -> $r0(140949387) 
$r1(1734514437) -> $r1(140949387) 
$r2(1734514437) -> $r2(140949387) 
$r3(1734514437) -> $r3(140949387) 
0(1734514437) -> 0(2041118281) 
this(1734514437) -> this(2041118281) 
side(1734514437) -> side(2041118281) 
effectiveLength(1734514437) -> effectiveLength(2041118281) 
$r0(1734514437) -> $r0(2041118281) 
$r1(1734514437) -> $r1(2041118281) 
$r2(1734514437) -> $r2(2041118281) 
$r3(1734514437) -> $r3(2041118281) 
0(2041118281) -> 0(1171171589) 
this(2041118281) -> this(1171171589) 
side(2041118281) -> side(1171171589) 
effectiveLength(2041118281) -> effectiveLength(1171171589) 
$r0(2041118281) -> $r0(1171171589) 
$r1(2041118281) -> $r1(1171171589) 
$r2(2041118281) -> $r2(1171171589) 
$r3(2041118281) -> $r3(1171171589) 
0(1171171589) -> 0(758442621) 
this(1171171589) -> this(758442621) 
side(1171171589) -> side(758442621) 
effectiveLength(1171171589) -> effectiveLength(758442621) 
$r0(1171171589) -> $r0(758442621) 
$r1(1171171589) -> $r1(758442621) 
$r3(1171171589) -> $r3(758442621) 
0(758442621) -> 0(1717655621) 
this(758442621) -> this(1717655621) 
side(758442621) -> side(1717655621) 
effectiveLength(758442621) -> effectiveLength(1717655621) 
$r0(758442621) -> $r0(1717655621) 
$r1(758442621) -> $r1(1717655621) 
$r2(758442621) -> $r2(1717655621) 
$r3(758442621) -> $r3(1717655621) 
0(1717655621) -> 0(-1717655621) 
this(1717655621) -> this(-1717655621) 
side(1717655621) -> side(-1717655621) 
effectiveLength(1717655621) -> effectiveLength(-1717655621) 
$r0(1717655621) -> $r0(-1717655621) 
$r1(1717655621) -> $r1(-1717655621) 
$r3(1717655621) -> $r3(-1717655621) 
0(-1717655621) -> 0(382287842) 
this(-1717655621) -> this(382287842) 
side(-1717655621) -> side(382287842) 
effectiveLength(-1717655621) -> effectiveLength(382287842) 
$r0(-1717655621) -> $r0(382287842) 
$r1(-1717655621) -> $r1(382287842) 
$r2(-1717655621) -> $r2(382287842) 
$r3(-1717655621) -> $r3(382287842) 
0(382287842) -> 0(-382287842) 
this(382287842) -> this(-382287842) 
side(382287842) -> side(-382287842) 
effectiveLength(382287842) -> effectiveLength(-382287842) 
$r0(382287842) -> $r0(-382287842) 
$r1(382287842) -> $r1(-382287842) 
$r3(382287842) -> $r3(-382287842) 
0(-382287842) -> 0(366584499) 
this(-382287842) -> this(366584499) 
side(-382287842) -> side(366584499) 
effectiveLength(-382287842) -> effectiveLength(366584499) 
$r0(-382287842) -> $r0(366584499) 
$r1(-382287842) -> $r1(366584499) 
$r2(-382287842) -> $r2(366584499) 
$r3(-382287842) -> $r3(366584499) 
0(366584499) -> 0(-366584499) 
this(366584499) -> this(-366584499) 
side(366584499) -> side(-366584499) 
effectiveLength(366584499) -> effectiveLength(-366584499) 
$r0(366584499) -> $r0(-366584499) 
$r1(366584499) -> $r1(-366584499) 
$r3(366584499) -> $r3(-366584499) 
0(-366584499) -> 0(356548293) 
this(-366584499) -> this(356548293) 
side(-366584499) -> side(356548293) 
effectiveLength(-366584499) -> effectiveLength(356548293) 
$r0(-366584499) -> $r0(356548293) 
$r1(-366584499) -> $r1(356548293) 
$r2(-366584499) -> $r2(356548293) 
$r3(-366584499) -> $r3(356548293) 
0(356548293) -> 0(-356548293) 
