method: org.apache.fop.layoutmgr.list.ListBlockLayoutManager.notifyPadding:1955316953
0(1955316953) -> 0(1807733039) 
this(1955316953) -> this(1807733039) 
side(1955316953) -> side(1807733039) 
effectiveLength(1955316953) -> effectiveLength(1807733039) 
0(1955316953) -> $r0(1807733039) 
0(1955316953) -> $r1(1807733039) 
0(1955316953) -> $r2(1807733039) 
0(1955316953) -> $r3(1807733039) 
0(1807733039) -> 0(2118032364) 
this(1807733039) -> this(2118032364) 
side(1807733039) -> side(2118032364) 
effectiveLength(1807733039) -> effectiveLength(2118032364) 
$r0(1807733039) -> $r0(2118032364) 
$r1(1807733039) -> $r1(2118032364) 
$r2(1807733039) -> $r2(2118032364) 
$r3(1807733039) -> $r3(2118032364) 
0(2118032364) -> 0(1081009076) 
this(2118032364) -> this(1081009076) 
side(2118032364) -> side(1081009076) 
effectiveLength(2118032364) -> effectiveLength(1081009076) 
$r0(2118032364) -> $r0(1081009076) 
$r1(2118032364) -> $r1(1081009076) 
$r2(2118032364) -> $r2(1081009076) 
$r3(2118032364) -> $r3(1081009076) 
0(1081009076) -> 0(1760352250) 
this(1081009076) -> this(1760352250) 
side(1081009076) -> side(1760352250) 
effectiveLength(1081009076) -> effectiveLength(1760352250) 
$r0(1081009076) -> $r0(1760352250) 
$r1(1081009076) -> $r1(1760352250) 
$r2(1081009076) -> $r2(1760352250) 
$r3(1081009076) -> $r3(1760352250) 
0(1760352250) -> 0(2123750632) 
this(1760352250) -> this(2123750632) 
side(1760352250) -> side(2123750632) 
effectiveLength(1760352250) -> effectiveLength(2123750632) 
$r0(1760352250) -> $r0(2123750632) 
$r1(1760352250) -> $r1(2123750632) 
$r2(1760352250) -> $r2(2123750632) 
$r3(1760352250) -> $r3(2123750632) 
0(1760352250) -> 0(358061031) 
this(1760352250) -> this(358061031) 
side(1760352250) -> side(358061031) 
effectiveLength(1760352250) -> effectiveLength(358061031) 
$r0(1760352250) -> $r0(358061031) 
$r1(1760352250) -> $r1(358061031) 
$r2(1760352250) -> $r2(358061031) 
$r3(1760352250) -> $r3(358061031) 
0(358061031) -> 0(81607987) 
this(358061031) -> this(81607987) 
side(358061031) -> side(81607987) 
effectiveLength(358061031) -> effectiveLength(81607987) 
$r0(358061031) -> $r0(81607987) 
$r1(358061031) -> $r1(81607987) 
$r2(358061031) -> $r2(81607987) 
$r3(358061031) -> $r3(81607987) 
0(81607987) -> 0(920093176) 
this(81607987) -> this(920093176) 
side(81607987) -> side(920093176) 
effectiveLength(81607987) -> effectiveLength(920093176) 
$r0(81607987) -> $r0(920093176) 
$r1(81607987) -> $r1(920093176) 
$r2(81607987) -> $r2(920093176) 
$r3(81607987) -> $r3(920093176) 
0(81607987) -> 0(667487488) 
this(81607987) -> this(667487488) 
side(81607987) -> side(667487488) 
effectiveLength(81607987) -> effectiveLength(667487488) 
$r0(81607987) -> $r0(667487488) 
$r1(81607987) -> $r1(667487488) 
$r2(81607987) -> $r2(667487488) 
$r3(81607987) -> $r3(667487488) 
0(667487488) -> 0(7638888) 
this(667487488) -> this(7638888) 
side(667487488) -> side(7638888) 
effectiveLength(667487488) -> effectiveLength(7638888) 
$r0(667487488) -> $r0(7638888) 
$r1(667487488) -> $r1(7638888) 
$r2(667487488) -> $r2(7638888) 
