method: org.apache.fop.pdf.PDFEncoding$DifferencesBuilder.toPDFArray:444241392
0(444241392) -> 0(1501775256) 
this(444241392) -> this(1501775256) 
0(444241392) -> $r0(1501775256) 
0(1501775256) -> 0(992947579) 
this(1501775256) -> this(992947579) 
$r0(1501775256) -> $r0(992947579) 
0(992947579) -> 0(374539416) 
this(992947579) -> this(374539416) 
$r0(992947579) -> $r0(374539416) 
0(374539416) -> 0(-444241392) 
this(374539416) -> this(-444241392) 
$r0(374539416) -> $r0(-444241392) 
$r0(374539416) -> .return(-444241392) 
