method: org.apache.fop.pdf.PDFFontType3.<init>:2139284381
1612205 -> 1612206
1612207 -> 1612208
1612209 -> 1612210
1612211 -> 1612212
1612213 -> 1612214
1612215 -> 1612216
1612217 -> 1612218
1612219 -> 1612220
1612205 -> 1612221
1612206 -> 1612222
1612208 -> 1612223
1612210 -> 1612224
1612212 -> 1612225
1612214 -> 1612226
1612216 -> 1612227
1612218 -> 1612228
1612220 -> 1612229
1612221 -> 1612230
1612222 -> 1612231
1612223 -> 1612232
1612224 -> 1612233
1612225 -> 1612234
1612226 -> 1612235
1612227 -> 1612236
1612228 -> 1612237
1612229 -> 1612238
1612230 -> 1612239
1612231 -> 1612240
1612232 -> 1612241
1612233 -> 1612242
1612234 -> 1612243
1612235 -> 1612244
1612236 -> 1612245
1612237 -> 1612246
1612238 -> 1612247
1612239 -> 1612248
1612240 -> 1612249
1612241 -> 1612250
1612242 -> 1612251
1612243 -> 1612252
1612244 -> 1612253
1612245 -> 1612254
1612246 -> 1612255
1612247 -> 1612256
1612248 -> 1612257
1612249 -> 1612258
1612250 -> 1612259
1612251 -> 1612260
1612252 -> 1612261
1612253 -> 1612262
1612254 -> 1612263
1612255 -> 1612264
1612256 -> 1612265
1612257 -> 1612266
1612258 -> 1612267
1612259 -> 1612268
1612260 -> 1612269
1612261 -> 1612270
1612262 -> 1612271
1612263 -> 1612272
1612264 -> 1612273
1612265 -> 1612274
1612266 -> 1612275
1612267 -> 1612276
1612268 -> 1612277
1612269 -> 1612278
1612270 -> 1612279
1612271 -> 1612280
1612272 -> 1612281
1612273 -> 1612282
1612274 -> 1612283
1612275 -> 1612284
1612276 -> 1612285
1612277 -> 1612286
1612278 -> 1612287
1612279 -> 1612288
1612280 -> 1612289
1612281 -> 1612290
1612282 -> 1612291
1612283 -> 1612292
1612284 -> 1612293
1612285 -> 1612294
1612286 -> 1612295
1612287 -> 1612296
1612288 -> 1612297
1612289 -> 1612298
1612290 -> 1612299
1612291 -> 1612300
1612292 -> 1612301
1612293 -> 1612302
1612294 -> 1612303
1612295 -> 1612304
1612296 -> 1612305
1612297 -> 1612306
1612298 -> 1612307
1612299 -> 1612308
1612300 -> 1612309
1612301 -> 1612310
1612302 -> 1612311
1612303 -> 1612312
1612304 -> 1612313
1612305 -> 1612314
1612306 -> 1612315
1612307 -> 1612316
1612308 -> 1612317
1612309 -> 1612318
1612310 -> 1612319
1612311 -> 1612320
1612312 -> 1612321
1612313 -> 1612322
1612314 -> 1612323
1612315 -> 1612324
1612316 -> 1612325
1612317 -> 1612326
1612318 -> 1612327
1612319 -> 1612328
1612320 -> 1612329
1612321 -> 1612330
1612322 -> 1612331
1612323 -> 1612332
1612324 -> 1612333
1612325 -> 1612334
1612326 -> 1612335
1612327 -> 1612336
1612328 -> 1612337
1612329 -> 1612338
1612321 -> 1612339
