method: org.apache.fop.pdf.PDFNames.setDests:1580486872
0(1580486872) -> 0(1211401227) 
this(1580486872) -> this(1211401227) 
dests(1580486872) -> dests(1211401227) 
0(1211401227) -> 0(1875448629) 
this(1211401227) -> this(1875448629) 
dests(1211401227) -> dests(1875448629) 
0(1875448629) -> 0(228711515) 
this(1875448629) -> this(228711515) 
dests(1875448629) -> dests(228711515) 
0(228711515) -> 0(2106188122) 
this(228711515) -> this(2106188122) 
dests(228711515) -> dests(2106188122) 
0(2106188122) -> 0(-1580486872) 
this(2106188122) -> this(-1580486872) 
dests(2106188122) -> dests(-1580486872) 
0(2106188122) -> .return(-1580486872) 
