method: org.apache.fop.pdf.PDFResourceContext.addGState:454182063
0(454182063) -> 0(917534468) 
this(454182063) -> this(917534468) 
gstate(454182063) -> gstate(917534468) 
0(454182063) -> $r0(917534468) 
0(917534468) -> 0(2069218216) 
this(917534468) -> this(2069218216) 
gstate(917534468) -> gstate(2069218216) 
$r0(917534468) -> $r0(2069218216) 
0(2069218216) -> 0(683304395) 
this(2069218216) -> this(683304395) 
gstate(2069218216) -> gstate(683304395) 
$r0(2069218216) -> $r0(683304395) 
0(683304395) -> 0(-683304395) 
this(683304395) -> this(-683304395) 
gstate(683304395) -> gstate(-683304395) 
0(-683304395) -> 0(1603750199) 
this(-683304395) -> this(1603750199) 
gstate(-683304395) -> gstate(1603750199) 
$r0(-683304395) -> $r0(1603750199) 
0(1603750199) -> 0(1162341096) 
this(1603750199) -> this(1162341096) 
gstate(1603750199) -> gstate(1162341096) 
$r0(1603750199) -> $r0(1162341096) 
0(1162341096) -> 0(-454182063) 
this(1162341096) -> this(-454182063) 
gstate(1162341096) -> gstate(-454182063) 
$r0(1162341096) -> $r0(-454182063) 
0(1162341096) -> .return(-454182063) 
