method: org.apache.fop.pdf.PDFStream.getDataLength:744327084
0(744327084) -> 0(988167279) 
this(744327084) -> this(988167279) 
0(744327084) -> e(988167279) 
0(744327084) -> $r0(988167279) 
0(744327084) -> $r1(988167279) 
0(988167279) -> 0(418997785) 
this(988167279) -> this(418997785) 
e(988167279) -> e(418997785) 
$r0(988167279) -> $r0(418997785) 
$r1(988167279) -> $r1(418997785) 
0(418997785) -> 0(496893982) 
this(418997785) -> this(496893982) 
e(418997785) -> e(496893982) 
$r0(418997785) -> $r0(496893982) 
$r1(418997785) -> $r1(496893982) 
0(496893982) -> 0(-496893982) 
this(496893982) -> this(-496893982) 
e(496893982) -> e(-496893982) 
$r0(496893982) -> $r0(-496893982) 
$r1(496893982) -> $r1(-496893982) 
0(-496893982) -> 0(1880735938) 
this(-496893982) -> this(1880735938) 
e(-496893982) -> e(1880735938) 
$r0(-496893982) -> $r0(1880735938) 
$r1(-496893982) -> $r1(1880735938) 
0(1880735938) -> 0(-744327084) 
this(1880735938) -> this(-744327084) 
e(1880735938) -> e(-744327084) 
$r0(1880735938) -> $r0(-744327084) 
$r1(1880735938) -> $r1(-744327084) 
0(1880735938) -> .return(-744327084) 
0(717109773) -> 0(850979126) 
this(717109773) -> this(850979126) 
$r0(717109773) -> $r0(850979126) 
$r1(717109773) -> e(850979126) 
$r1(717109773) -> $r1(850979126) 
0(850979126) -> 0(2126104957) 
this(850979126) -> this(2126104957) 
e(850979126) -> e(2126104957) 
$r0(850979126) -> $r0(2126104957) 
$r1(850979126) -> $r1(2126104957) 
0(2126104957) -> 0(-744327084) 
this(2126104957) -> this(-744327084) 
e(2126104957) -> e(-744327084) 
$r0(2126104957) -> $r0(-744327084) 
$r1(2126104957) -> $r1(-744327084) 
0(2126104957) -> .return(-744327084) 
