method: org.apache.fop.render.afp.fonts.AFPFont.getFontName:1623444832
0(1623444832) -> 0(1546679613) 
this(1623444832) -> this(1546679613) 
0(1623444832) -> $r0(1546679613) 
0(1546679613) -> 0(558664332) 
this(1546679613) -> this(558664332) 
$r0(1546679613) -> $r0(558664332) 
0(558664332) -> 0(672923240) 
this(558664332) -> this(672923240) 
$r0(558664332) -> $r0(672923240) 
0(672923240) -> 0(-1623444832) 
this(672923240) -> this(-1623444832) 
$r0(672923240) -> $r0(-1623444832) 
$r0(672923240) -> .return(-1623444832) 
