method: org.apache.fop.render.afp.modca.ResourceGroup.writeDataStream:1629484171
1839299 -> 1839300
1839301 -> 1839302
1839303 -> 1839304
1839299 -> 1839305
1839300 -> 1839306
1839302 -> 1839307
1839304 -> 1839308
1839305 -> 1839309
1839306 -> 1839310
1839307 -> 1839311
1839308 -> 1839312
1839309 -> 1839313
1839310 -> 1839314
1839311 -> 1839315
1839312 -> 1839316
1839313 -> 1839317
1839314 -> 1839318
1839315 -> 1839319
1839316 -> 1839320
1839317 -> 1839321
1839318 -> 1839322
1839319 -> 1839323
1839320 -> 1839324
1839321 -> 1839325
1839322 -> 1839326
1839323 -> 1839327
1839324 -> 1839328
1839325 -> 1839329
1839326 -> 1839330
1839327 -> 1839331
1839328 -> 1839332
1839329 -> 1839333
1839326 -> 1839334
