method: org.apache.fop.render.awt.viewer.PreviewDialog$25.doit:2133832017
0(2133832017) -> 0(865282064) 
this(2133832017) -> this(865282064) 
0(2133832017) -> $r0(865282064) 
0(865282064) -> 0(1757744600) 
this(865282064) -> this(1757744600) 
$r0(865282064) -> $r0(1757744600) 
0(1757744600) -> 0(1727853508) 
this(1757744600) -> this(1727853508) 
$r0(1757744600) -> $r0(1727853508) 
0(1727853508) -> 0(1760034222) 
this(1727853508) -> this(1760034222) 
$r0(1727853508) -> $r0(1760034222) 
0(1760034222) -> 0(-2133832017) 
this(1760034222) -> this(-2133832017) 
$r0(1760034222) -> $r0(-2133832017) 
0(1760034222) -> .return(-2133832017) 
