method: org.apache.fop.render.java2d.FontSetup.convertToAWTFontStyle:1082097462
1900482 -> 1900483
1900484 -> 1900485
1900482 -> 1900486
1900483 -> 1900487
1900485 -> 1900488
1900486 -> 1900489
1900487 -> 1900490
1900488 -> 1900491
1900489 -> 1900492
1900490 -> 1900493
1900491 -> 1900494
1900492 -> 1900495
1900493 -> 1900496
1900494 -> 1900497
1900495 -> 1900498
1900493 -> 1900499
1900494 -> 1900500
1900495 -> 1900501
1900499 -> 1900496
1900500 -> 1900497
1900501 -> 1900498
1900496 -> 1900502
1900497 -> 1900503
1900498 -> 1900504
1900502 -> 1900505
1900503 -> 1900506
1900504 -> 1900507
1900505 -> 1900508
1900506 -> 1900509
1900507 -> 1900510
1900508 -> 1900511
1900509 -> 1900512
1900510 -> 1900513
1900508 -> 1900514
1900509 -> 1900515
1900510 -> 1900516
1900514 -> 1900511
1900515 -> 1900512
1900516 -> 1900513
1900511 -> 1900517
1900512 -> 1900518
1900513 -> 1900519
1900511 -> 1900520
