method: org.apache.fop.render.java2d.Java2DFontMetrics.getWidths:1553713552
1901189 -> 1901190
1901191 -> 1901192
1901193 -> 1901194
1901189 -> 1901195
1901189 -> 1901196
1901190 -> 1901197
1901192 -> 1901198
1901194 -> 1901199
1901195 -> 1901200
1901196 -> 1901201
1901197 -> 1901202
1901198 -> 1901203
1901199 -> 1901204
1901200 -> 1901205
1901201 -> 1901206
1901202 -> 1901207
1901203 -> 1901208
1901204 -> 1901209
1901205 -> 1901210
1901206 -> 1901211
1901207 -> 1901212
1901208 -> 1901213
1901209 -> 1901214
1901210 -> 1901215
1901211 -> 1901216
1901212 -> 1901217
1901213 -> 1901218
1901214 -> 1901219
1901215 -> 1901220
1901216 -> 1901221
1901217 -> 1901222
1901218 -> 1901223
1901219 -> 1901224
1901220 -> 1901225
1901221 -> 1901226
1901217 -> 1901227
1901218 -> 1901228
1901219 -> 1901229
1901220 -> 1901230
1901221 -> 1901231
1901227 -> 1901232
1901228 -> 1901233
1901229 -> 1901234
1901230 -> 1901235
1901232 -> 1901222
1901233 -> 1901223
1901234 -> 1901224
1901235 -> 1901225
1901236 -> 1901226
1901222 -> 1901237
1901223 -> 1901238
1901224 -> 1901239
1901225 -> 1901240
1901226 -> 1901241
1901237 -> 1901242
1901238 -> 1901243
1901239 -> 1901244
1901240 -> 1901245
1901241 -> 1901246
1901242 -> 1901247
1901243 -> 1901248
1901244 -> 1901249
1901245 -> 1901250
1901246 -> 1901251
1901242 -> 1901252
1901243 -> 1901253
1901244 -> 1901254
1901245 -> 1901255
1901246 -> 1901256
1901252 -> 1901257
1901253 -> 1901258
1901254 -> 1901259
1901255 -> 1901260
1901256 -> 1901261
1901257 -> 1901262
1901258 -> 1901263
1901259 -> 1901264
1901260 -> 1901265
1901261 -> 1901266
1901262 -> 1901267
1901263 -> 1901268
1901264 -> 1901269
1901265 -> 1901270
1901266 -> 1901271
1901267 -> 1901272
1901268 -> 1901273
1901269 -> 1901274
1901270 -> 1901275
1901271 -> 1901276
1901272 -> 1901277
1901273 -> 1901278
1901274 -> 1901279
1901275 -> 1901280
1901276 -> 1901281
1901277 -> 1901282
1901278 -> 1901283
1901279 -> 1901284
1901280 -> 1901285
1901281 -> 1901286
1901282 -> 1901242
1901283 -> 1901243
1901284 -> 1901244
1901285 -> 1901245
1901286 -> 1901246
1901247 -> 1901287
1901248 -> 1901288
1901249 -> 1901289
1901250 -> 1901290
1901251 -> 1901291
1901287 -> 1901292
1901288 -> 1901293
1901289 -> 1901294
1901290 -> 1901295
1901291 -> 1901296
1901290 -> 1901297
